gap,mcb_mode,strategy,metric,observed,missing,maximum,p50,p75,p90,p95,p99
IFCGR,confirmation_tag,ATRDR,participation_daily,37273,0,0.18429798158413963,2.4000264274578187e-05,0.0001351418102861496,0.0005935887867818673,0.0014090712869473034,0.006104245080680105
IFCGR,confirmation_tag,ATRDR,participation_ADV20,37271,2,0.07133863949618938,2.6218476447613972e-05,0.0001520976330661088,0.0006790258347255638,0.001549370030509708,0.006210750470279543
IFCGR,confirmation_tag,ATRDR,order_over_minute_amount,36244,1029,1319.3029066499482,0.005175381913541563,0.033921043663451285,0.179757432983075,0.48121875435558553,3.1316932052001727
IFCGR,confirmation_tag,ATRDR,position_over_daily_turnover,37273,0,0.1434169266128904,0.0004412183938178573,0.001155743224993422,0.0025004318542225807,0.004172812175964734,0.012032794871500751
IFCGR,confirmation_tag,IFCGR,participation_daily,7047,0,0.05071835154241534,1.1323804944437721e-06,1.5033025637339182e-05,0.00011603023070366753,0.00043962514376881317,0.004370888441428405
IFCGR,confirmation_tag,IFCGR,participation_ADV20,7046,1,0.043172269659243215,1.2176429032190945e-06,1.4676710542297998e-05,0.00012346952835769106,0.0004206308179509107,0.003586163788305227
IFCGR,confirmation_tag,IFCGR,order_over_minute_amount,6928,119,32.93855566862761,0.0003287812480055425,0.003526478613234712,0.03255910470966722,0.11892087775220815,1.4257496773742104
IFCGR,confirmation_tag,IFCGR,position_over_daily_turnover,7047,0,0.05077213558434791,0.00010202972336742539,0.00023841622196104452,0.0005028891247908871,0.0010004402434994238,0.005104914172573827
IFCGR,confirmation_tag,MCB,participation_daily,3302,0,0.0761500497913781,1.25047707630382e-05,6.632165117800754e-05,0.00031439150171768825,0.000861438171089008,0.004105478403223097
IFCGR,confirmation_tag,MCB,participation_ADV20,3302,0,0.039470215472556566,1.5423249846468084e-05,9.29475522046693e-05,0.0004261434650267898,0.0008586002420095122,0.0030621887324520976
IFCGR,confirmation_tag,MCB,order_over_minute_amount,3209,93,264.21745277759845,0.002901213588743325,0.017834216906978298,0.09621545084929657,0.27813682205318635,1.6537490412077067
IFCGR,confirmation_tag,MCB,position_over_daily_turnover,3302,0,0.07238513552263555,0.00021493826021110204,0.0005372263433000468,0.0010542045661937971,0.0016677925214493795,0.004459173263552906
IFCGR,independent,ATRDR,participation_daily,37488,0,0.18517902138825545,2.145434359876154e-05,0.00012064004454715855,0.000520225642626829,0.0012404459671912485,0.005726831827542274
IFCGR,independent,ATRDR,participation_ADV20,37486,2,0.07167967514089565,2.339942446966945e-05,0.00013694851950177034,0.0006018095456881013,0.0013472743676930204,0.005528373736210698
IFCGR,independent,ATRDR,order_over_minute_amount,36451,1037,1395.4322540551352,0.0046219453641578225,0.030469786911597053,0.16052015823912047,0.43853164822945995,2.8391517274517706
IFCGR,independent,ATRDR,position_over_daily_turnover,37488,0,0.14410253380100943,0.0003963256181284162,0.001043497305860279,0.0022796500264952216,0.003822549213547911,0.011858432564495282
IFCGR,independent,IFCGR,participation_daily,7020,0,0.050819797061632595,1.1369916851969556e-06,1.4994904886433041e-05,0.0001158922931150766,0.00043733635089807473,0.004453166752831838
IFCGR,independent,IFCGR,participation_ADV20,7019,1,0.04325338956249402,1.217924164431169e-06,1.4527913099081648e-05,0.00012427808502363006,0.00042184026907551007,0.0036607236316903817
IFCGR,independent,IFCGR,order_over_minute_amount,6901,119,33.42886609710308,0.0003291172178063146,0.0035467477739955676,0.03284258996917058,0.12129413750581555,1.4349610898002712
IFCGR,independent,IFCGR,position_over_daily_turnover,7020,0,0.050873688680998064,0.00010090480495846732,0.0002384189138759025,0.0004964293736679309,0.0010138089468372585,0.005195306115981002
IFCGR,independent,MCB,participation_daily,13484,0,0.07736849026514328,1.0640874611860843e-05,5.6336192974499746e-05,0.00025201079914764947,0.0005981896768414854,0.002139911198946513
IFCGR,independent,MCB,participation_ADV20,13484,0,0.04010175948561695,1.3600439718774076e-05,7.474822047594899e-05,0.00032951371210804004,0.0006934393759313159,0.0022017120066623267
IFCGR,independent,MCB,order_over_minute_amount,13204,280,268.44506968948934,0.0022444080141659655,0.013239424412241792,0.07162006380435336,0.1871827188784316,1.3156041386582447
IFCGR,independent,MCB,position_over_daily_turnover,13484,0,0.07354333540643579,0.00014353580065392174,0.0003922750887822861,0.0008605301503576358,0.0014233460705953827,0.0038959501801025223
OGR,confirmation_tag,ATRDR,participation_daily,37406,0,0.18514653853233445,2.395412015289519e-05,0.00013517892653986776,0.0005934453978518885,0.001407671006439526,0.006114661993603775
OGR,confirmation_tag,ATRDR,participation_ADV20,37404,2,0.0716671015753664,2.613169413526853e-05,0.00015191797983141184,0.0006803990280487175,0.0015496743239433886,0.006217903705210597
OGR,confirmation_tag,ATRDR,order_over_minute_amount,36377,1029,1319.288300477091,0.005160886104669065,0.033815583790720125,0.17995325112453583,0.4814480629502965,3.139800936549192
OGR,confirmation_tag,ATRDR,position_over_daily_turnover,37406,0,0.14407725630570667,0.0004438590865728406,0.0011614536485845565,0.0025121585615653814,0.004192005482363832,0.01220071225067024
OGR,confirmation_tag,MCB,participation_daily,3302,0,0.07631166500743616,1.2570530654677912e-05,6.655800900350902e-05,0.0003177538084422484,0.0008637746934606156,0.0041152469435895836
OGR,confirmation_tag,MCB,participation_ADV20,3302,0,0.03955398412955589,1.5489992162838066e-05,9.327091542553334e-05,0.00042802267434116544,0.0008604218525214301,0.0030741758099293885
OGR,confirmation_tag,MCB,order_over_minute_amount,3209,93,264.77820829691785,0.002914518667943188,0.0179464394063083,0.09644230984815791,0.2798086922863832,1.661335041678419
OGR,confirmation_tag,MCB,position_over_daily_turnover,3302,0,0.07253876036397096,0.00021544446910983544,0.0005394435575323021,0.0010574277969260279,0.0016716267190475115,0.004476823643160266
OGR,confirmation_tag,OGR,participation_daily,7152,0,0.05095271374008246,1.1703374271076206e-06,1.557791733188934e-05,0.0001155799871121462,0.00040348019623558025,0.004187725282557481
