gap,mcb_mode,strategy,metric,observed,missing,maximum,p50,p75,p90,p95,p99
OGR,confirmation_tag,OGR,participation_ADV20,7151,1,0.04334430296505398,1.2481327382014362e-06,1.4940540209905864e-05,0.0001233209315979282,0.00040974463040152116,0.003384164872933802
OGR,confirmation_tag,OGR,order_over_minute_amount,7032,120,33.09167258273955,0.00034285362550063773,0.003571016660223571,0.03193352583292066,0.11381858545490721,1.4076768208034525
OGR,confirmation_tag,OGR,position_over_daily_turnover,7152,0,0.051006746310326444,0.00010229390159749037,0.0002407076808727202,0.000506337176988986,0.00100026643764693,0.004627599891925169
OGR,independent,ATRDR,participation_daily,37552,0,0.17842995639394343,2.1056744837435608e-05,0.00011786712915060879,0.0005105948241147053,0.0012155465593500093,0.0056256899540676674
OGR,independent,ATRDR,participation_ADV20,37550,2,0.0690672259408171,2.2846762680121018e-05,0.0001332413451746712,0.0005873229774576884,0.0013208402941091112,0.005442699371889855
OGR,independent,ATRDR,order_over_minute_amount,36510,1042,1395.4133107655914,0.0045182690829310545,0.02979844295522393,0.1576255925454913,0.4295804812113774,2.8131773489608642
OGR,independent,ATRDR,position_over_daily_turnover,37552,0,0.1388505492123829,0.0003881548161831714,0.0010249347466414235,0.0022404497936498267,0.0037782617878901704,0.011671610819123239
OGR,independent,MCB,participation_daily,13484,0,0.07434548788843896,1.0521864346718297e-05,5.5110818483729624e-05,0.0002458812483457851,0.0005799991248429373,0.0020959804403874066
OGR,independent,MCB,participation_ADV20,13484,0,0.038534872063882404,1.3475974393396182e-05,7.26654978264274e-05,0.00032389756847703413,0.0006792857631303428,0.0021788243019895365
OGR,independent,MCB,order_over_minute_amount,13201,283,257.9561732291239,0.002194400502488493,0.012992974095222785,0.06959191852857946,0.18187613656455207,1.2753613852210721
OGR,independent,MCB,position_over_daily_turnover,13484,0,0.07066979248266259,0.0001407466695168303,0.00038281414008082583,0.0008435373340821848,0.0013922912675053123,0.003783761864744421
OGR,independent,OGR,participation_daily,7127,0,0.048965991951346766,1.1591390715628022e-06,1.5021888898241876e-05,0.00011284823321172101,0.0003876595469487105,0.004084185026035008
OGR,independent,OGR,participation_ADV20,7126,1,0.043425895952652394,1.237821464834818e-06,1.4493982170869535e-05,0.00012174600760826669,0.00039843264184294104,0.003403528195835533
OGR,independent,OGR,order_over_minute_amount,7006,121,32.201758176217325,0.0003404425245745232,0.0035139175687831387,0.03148307834403946,0.11205112763606176,1.3627105455465902
OGR,independent,OGR,position_over_daily_turnover,7127,0,0.049017917711634516,0.00010141048642750261,0.00024002296115882704,0.0004953358139042653,0.0009948533032715797,0.004555246328155078
