year,strategy,route,pnl_scaled,pnl_native,gap,mcb_mode,target,mechanic,incremental_pnl
2018,ATRDR,BULL,38800.04427445495,-23377.885945315284,IFCGR,confirmation_tag,G100,ENTRY_ONLY,62177.930219770235
2018,ATRDR,SLOW_BEAR,616119.3862380881,244538.4691879087,IFCGR,confirmation_tag,G100,ENTRY_ONLY,371580.91705017944
2018,IFCGR,FIXED_BELOW_L_REPAIR,-102158.14033247037,87460.77183940033,IFCGR,confirmation_tag,G100,ENTRY_ONLY,-189618.9121718707
2018,MCB,MCB,86972.97660734526,33476.11853456644,IFCGR,confirmation_tag,G100,ENTRY_ONLY,53496.85807277882
2018,SMV6,NATIVE_CALLBACK,2581.1019357215555,22037.74926284229,IFCGR,confirmation_tag,G100,ENTRY_ONLY,-19456.647327120736
2019,ATRDR,BULL,682052.2136556298,245447.47698634237,IFCGR,confirmation_tag,G100,ENTRY_ONLY,436604.73666928743
2019,ATRDR,FAST_BEAR,0.0,4300.582713448923,IFCGR,confirmation_tag,G100,ENTRY_ONLY,-4300.582713448923
2019,ATRDR,SLOW_BEAR,-2560172.6278455416,3453.283503774573,IFCGR,confirmation_tag,G100,ENTRY_ONLY,-2563625.911349316
2019,IFCGR,FIXED_BELOW_L_REPAIR,1945076.3549694177,7730.883573860368,IFCGR,confirmation_tag,G100,ENTRY_ONLY,1937345.4713955573
2019,MCB,MCB,-0.29068239217955316,80814.8695064485,IFCGR,confirmation_tag,G100,ENTRY_ONLY,-80815.16018884067
2019,SMV6,NATIVE_CALLBACK,131463.335692312,27905.10637949992,IFCGR,confirmation_tag,G100,ENTRY_ONLY,103558.22931281207
2020,ATRDR,BULL,786871.8905170156,192843.8297891357,IFCGR,confirmation_tag,G100,ENTRY_ONLY,594028.0607278799
2020,ATRDR,FAST_BEAR,352124.93938914285,52368.00943257643,IFCGR,confirmation_tag,G100,ENTRY_ONLY,299756.9299565664
2020,ATRDR,SLOW_BEAR,1780769.6525433725,6141.289210562751,IFCGR,confirmation_tag,G100,ENTRY_ONLY,1774628.3633328096
2020,IFCGR,FIXED_BELOW_L_REPAIR,646564.5946276914,4202.940944051678,IFCGR,confirmation_tag,G100,ENTRY_ONLY,642361.6536836397
2020,MCB,MCB,22008.32951895467,3073.629161994255,IFCGR,confirmation_tag,G100,ENTRY_ONLY,18934.700356960413
2020,SMV6,NATIVE_CALLBACK,480659.35293252947,169138.00508529018,IFCGR,confirmation_tag,G100,ENTRY_ONLY,311521.3478472393
2021,ATRDR,BULL,853281.9459064095,260092.7081599194,IFCGR,confirmation_tag,G100,ENTRY_ONLY,593189.2377464902
2021,ATRDR,FAST_BEAR,2786106.698458154,25537.424389361637,IFCGR,confirmation_tag,G100,ENTRY_ONLY,2760569.2740687924
2021,ATRDR,SLOW_BEAR,-888069.9179586752,93000.07341768114,IFCGR,confirmation_tag,G100,ENTRY_ONLY,-981069.9913763563
2021,IFCGR,FIXED_BELOW_L_REPAIR,1820672.4815200432,5782.611785829486,IFCGR,confirmation_tag,G100,ENTRY_ONLY,1814889.8697342137
2021,MCB,MCB,0.0,9715.12458983369,IFCGR,confirmation_tag,G100,ENTRY_ONLY,-9715.12458983369
2021,SMV6,NATIVE_CALLBACK,273266.1843417998,41175.11735871985,IFCGR,confirmation_tag,G100,ENTRY_ONLY,232091.06698307997
2022,ATRDR,BULL,4401884.744965768,19322.04575624994,IFCGR,confirmation_tag,G100,ENTRY_ONLY,4382562.699209519
2022,ATRDR,FAST_BEAR,126342.0544957682,67274.00460192299,IFCGR,confirmation_tag,G100,ENTRY_ONLY,59068.04989384521
2022,ATRDR,SLOW_BEAR,333439.6412028129,121998.84125622097,IFCGR,confirmation_tag,G100,ENTRY_ONLY,211440.79994659193
2022,IFCGR,FIXED_BELOW_L_REPAIR,-1295306.640727049,16907.873267857733,IFCGR,confirmation_tag,G100,ENTRY_ONLY,-1312214.5139949068
2022,MCB,MCB,3807.5356491569237,4700.969031382894,IFCGR,confirmation_tag,G100,ENTRY_ONLY,-893.4333822259705
2022,SMV6,NATIVE_CALLBACK,37643.81712740817,34415.49890170461,IFCGR,confirmation_tag,G100,ENTRY_ONLY,3228.3182257035587
2023,ATRDR,BULL,2135176.5662419773,130639.01730977702,IFCGR,confirmation_tag,G100,ENTRY_ONLY,2004537.5489322003
2023,ATRDR,FAST_BEAR,552091.8333427142,-6708.822500369286,IFCGR,confirmation_tag,G100,ENTRY_ONLY,558800.6558430835
2023,ATRDR,SLOW_BEAR,2316921.6067638597,83027.10275216492,IFCGR,confirmation_tag,G100,ENTRY_ONLY,2233894.504011695
2023,IFCGR,FIXED_BELOW_L_REPAIR,-98898.62118273228,1088.3488236568667,IFCGR,confirmation_tag,G100,ENTRY_ONLY,-99986.97000638915
2023,MCB,MCB,34171.150475742674,60514.057820771486,IFCGR,confirmation_tag,G100,ENTRY_ONLY,-26342.907345028812
2023,SMV6,NATIVE_CALLBACK,41370.75835593706,70387.31365555695,IFCGR,confirmation_tag,G100,ENTRY_ONLY,-29016.55529961989
2024,ATRDR,BULL,4129414.147684119,277768.5107477528,IFCGR,confirmation_tag,G100,ENTRY_ONLY,3851645.6369363666
2024,ATRDR,FAST_BEAR,1257812.1747314585,18306.45056220863,IFCGR,confirmation_tag,G100,ENTRY_ONLY,1239505.7241692499
2024,ATRDR,SLOW_BEAR,-167955.6329528355,121879.47217018402,IFCGR,confirmation_tag,G100,ENTRY_ONLY,-289835.10512301954
2024,IFCGR,FIXED_BELOW_L_REPAIR,2947849.5672909943,29140.707772993228,IFCGR,confirmation_tag,G100,ENTRY_ONLY,2918708.8595180013
2024,MCB,MCB,-414601.29731694504,87471.67851813014,IFCGR,confirmation_tag,G100,ENTRY_ONLY,-502072.9758350752
2024,SMV6,NATIVE_CALLBACK,10177958.590900984,466833.41609049734,IFCGR,confirmation_tag,G100,ENTRY_ONLY,9711125.174810486
2025,ATRDR,BULL,1616763.0552037086,226731.03631247435,IFCGR,confirmation_tag,G100,ENTRY_ONLY,1390032.0188912342
2025,ATRDR,FAST_BEAR,3277375.3375934726,91080.67797400487,IFCGR,confirmation_tag,G100,ENTRY_ONLY,3186294.659619468
2025,ATRDR,SLOW_BEAR,128911.35647716012,33842.49731452232,IFCGR,confirmation_tag,G100,ENTRY_ONLY,95068.8591626378
2025,IFCGR,FIXED_BELOW_L_REPAIR,3906300.77173083,6743.981085751679,IFCGR,confirmation_tag,G100,ENTRY_ONLY,3899556.7906450783
2025,MCB,MCB,101781.94715755878,23467.513634033254,IFCGR,confirmation_tag,G100,ENTRY_ONLY,78314.43352352553
2025,SMV6,NATIVE_CALLBACK,827105.2041730195,384178.6856417313,IFCGR,confirmation_tag,G100,ENTRY_ONLY,442926.5185312882
2026,ATRDR,BULL,745295.5523930924,233540.61734368885,IFCGR,confirmation_tag,G100,ENTRY_ONLY,511754.9350494036
2026,ATRDR,FAST_BEAR,5721701.533124792,36925.318701336946,IFCGR,confirmation_tag,G100,ENTRY_ONLY,5684776.214423455
2026,ATRDR,SLOW_BEAR,-342926.74827699177,-3910.9643316901347,IFCGR,confirmation_tag,G100,ENTRY_ONLY,-339015.78394530166
2026,IFCGR,FIXED_BELOW_L_REPAIR,7217056.493744104,12143.623981578541,IFCGR,confirmation_tag,G100,ENTRY_ONLY,7204912.869762526
2026,MCB,MCB,0.0,8660.237690092468,IFCGR,confirmation_tag,G100,ENTRY_ONLY,-8660.237690092468
2026,SMV6,NATIVE_CALLBACK,324547.69650030404,622044.8254142485,IFCGR,confirmation_tag,G100,ENTRY_ONLY,-297497.12891394447
2018,ATRDR,BULL,-90311.3253103726,-23377.885945315284,IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,-66933.43936505732
2018,ATRDR,SLOW_BEAR,376892.68126516556,244538.4691879087,IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,132354.21207725687
2018,IFCGR,FIXED_BELOW_L_REPAIR,143254.2245774622,87460.77183940033,IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,55793.45273806188
2018,MCB,MCB,68668.52709306058,33476.11853456644,IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,35192.408558494135
2018,SMV6,NATIVE_CALLBACK,89136.37987424339,22037.74926284229,IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,67098.6306114011
2019,ATRDR,BULL,1156895.3599698676,245447.47698634237,IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,911447.8829835253
2019,ATRDR,FAST_BEAR,814769.6685683331,4300.582713448923,IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,810469.0858548842
2019,ATRDR,SLOW_BEAR,-186452.40930104797,3453.283503774573,IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,-189905.69280482255
2019,IFCGR,FIXED_BELOW_L_REPAIR,39117.76962200685,7730.883573860368,IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,31386.88604814648
2019,MCB,MCB,109858.433854671,80814.8695064485,IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,29043.564348222513
2019,SMV6,NATIVE_CALLBACK,146822.99779052226,27905.10637949992,IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,118917.89141102234
2020,ATRDR,BULL,1155639.6219962891,192843.8297891357,IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,962795.7922071534
2020,ATRDR,FAST_BEAR,1742601.5653180974,52368.00943257643,IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,1690233.555885521
2020,ATRDR,SLOW_BEAR,911017.7078415577,6141.289210562751,IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,904876.418630995
2020,IFCGR,FIXED_BELOW_L_REPAIR,989219.84675198,4202.940944051678,IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,985016.9058079283
2020,MCB,MCB,83751.36527934638,3073.629161994255,IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,80677.73611735213
2020,SMV6,NATIVE_CALLBACK,76731.0896929483,169138.00508529018,IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,-92406.91539234188
2021,ATRDR,BULL,5059442.589751865,260092.7081599194,IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,4799349.881591945
2021,ATRDR,FAST_BEAR,5396831.170767641,25537.424389361637,IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,5371293.746378279
2021,ATRDR,SLOW_BEAR,2492558.342240821,93000.07341768114,IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2399558.26882314
2021,IFCGR,FIXED_BELOW_L_REPAIR,2831616.3563418947,5782.611785829486,IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2825833.744556065
2021,MCB,MCB,-141611.28282583528,9715.12458983369,IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,-151326.40741566897
2021,SMV6,NATIVE_CALLBACK,278494.5717980516,41175.11735871985,IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,237319.45443933175
2022,ATRDR,BULL,5388269.385319909,19322.04575624994,IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,5368947.339563659
2022,ATRDR,FAST_BEAR,1525206.331048722,67274.00460192299,IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,1457932.3264467989
2022,ATRDR,SLOW_BEAR,997432.3490609326,121998.84125622097,IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,875433.5078047117
2022,IFCGR,FIXED_BELOW_L_REPAIR,-437414.7588337664,16907.873267857733,IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,-454322.6321016241
2022,MCB,MCB,126398.86366199961,4700.969031382894,IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,121697.89463061672
2022,SMV6,NATIVE_CALLBACK,128303.59564489158,34415.49890170461,IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,93888.09674318696
2023,ATRDR,BULL,2929333.3440920073,130639.01730977702,IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2798694.3267822303
2023,ATRDR,FAST_BEAR,-1942690.0001813904,-6708.822500369286,IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,-1935981.1776810212
2023,ATRDR,SLOW_BEAR,9398050.88555012,83027.10275216492,IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,9315023.782797957
2023,IFCGR,FIXED_BELOW_L_REPAIR,257758.19630058366,1088.3488236568667,IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,256669.84747692678
2023,MCB,MCB,465195.3271684232,60514.057820771486,IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,404681.26934765175
2023,SMV6,NATIVE_CALLBACK,526372.945527834,70387.31365555695,IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,455985.63187227707
2024,ATRDR,BULL,-263273.8625694599,277768.5107477528,IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,-541042.3733172127
