rank,days,cash,gross_exposure,nav,status,fills_identity
1,973,9.173527359962463e-08,8.195638656616211e-08,3.725290298461914e-08,PASS,PASS
2,973,4.842877388000488e-08,5.587935447692871e-08,5.21540641784668e-08,PASS,PASS
3,973,6.717164069414139e-08,1.043081283569336e-07,4.0978193283081055e-08,PASS,PASS
4,973,5.098991096019745e-08,5.587935447692871e-08,3.3527612686157227e-08,PASS,PASS
5,973,8.568167686462402e-08,7.264316082000732e-08,1.0803341865539551e-07,PASS,PASS
