strategy,historical_events,historical_prefix,authoritative_events,legacy_events,added_events,removed_events,compared_fields
ATRDR,4046,PASS,6229,6218,11,0,event_id|symbol|signal_date|entry_date|entry_price|route|lane|source_rank_order|rank1|rank2|rank3
MCB,1899,PASS,3003,3003,0,0,event_id|symbol|signal_date|entry_date|entry_price|industry_positive_ret20_share|stock_minus_industry_ret20|turnover_expansion
