year,strategy,pnl_scaled,pnl_native,gap,mcb_mode,target,mechanic,incremental_pnl
2018,ATRDR,654919.4305125431,221160.5832425934,IFCGR,confirmation_tag,G100,ENTRY_ONLY,433758.8472699497
2018,IFCGR,-102158.14033247037,87460.77183940033,IFCGR,confirmation_tag,G100,ENTRY_ONLY,-189618.9121718707
2018,MCB,86972.97660734526,33476.11853456644,IFCGR,confirmation_tag,G100,ENTRY_ONLY,53496.85807277882
2018,SMV6,2581.1019357215555,22037.74926284229,IFCGR,confirmation_tag,G100,ENTRY_ONLY,-19456.647327120736
2019,ATRDR,-1878120.414189912,253201.34320356586,IFCGR,confirmation_tag,G100,ENTRY_ONLY,-2131321.757393478
2019,IFCGR,1945076.3549694177,7730.883573860368,IFCGR,confirmation_tag,G100,ENTRY_ONLY,1937345.4713955573
2019,MCB,-0.29068239217955316,80814.8695064485,IFCGR,confirmation_tag,G100,ENTRY_ONLY,-80815.16018884067
2019,SMV6,131463.335692312,27905.10637949992,IFCGR,confirmation_tag,G100,ENTRY_ONLY,103558.22931281207
2020,ATRDR,2919766.4824495306,251353.12843227488,IFCGR,confirmation_tag,G100,ENTRY_ONLY,2668413.354017256
2020,IFCGR,646564.5946276914,4202.940944051678,IFCGR,confirmation_tag,G100,ENTRY_ONLY,642361.6536836397
2020,MCB,22008.32951895467,3073.629161994255,IFCGR,confirmation_tag,G100,ENTRY_ONLY,18934.700356960413
2020,SMV6,480659.35293252947,169138.00508529018,IFCGR,confirmation_tag,G100,ENTRY_ONLY,311521.3478472393
2021,ATRDR,2751318.726405889,378630.20596696215,IFCGR,confirmation_tag,G100,ENTRY_ONLY,2372688.5204389268
2021,IFCGR,1820672.4815200432,5782.611785829486,IFCGR,confirmation_tag,G100,ENTRY_ONLY,1814889.8697342137
2021,MCB,0.0,9715.12458983369,IFCGR,confirmation_tag,G100,ENTRY_ONLY,-9715.12458983369
2021,SMV6,273266.1843417998,41175.11735871985,IFCGR,confirmation_tag,G100,ENTRY_ONLY,232091.06698307997
2022,ATRDR,4861666.44066435,208594.8916143939,IFCGR,confirmation_tag,G100,ENTRY_ONLY,4653071.549049956
2022,IFCGR,-1295306.640727049,16907.873267857733,IFCGR,confirmation_tag,G100,ENTRY_ONLY,-1312214.5139949068
2022,MCB,3807.5356491569237,4700.969031382894,IFCGR,confirmation_tag,G100,ENTRY_ONLY,-893.4333822259705
2022,SMV6,37643.81712740817,34415.49890170461,IFCGR,confirmation_tag,G100,ENTRY_ONLY,3228.3182257035587
2023,ATRDR,5004190.006348551,206957.29756157266,IFCGR,confirmation_tag,G100,ENTRY_ONLY,4797232.708786978
