year,strategy,pnl_scaled,pnl_native,gap,mcb_mode,target,mechanic,incremental_pnl
2023,IFCGR,-98898.62118273228,1088.3488236568667,IFCGR,confirmation_tag,G100,ENTRY_ONLY,-99986.97000638915
2023,MCB,34171.150475742674,60514.057820771486,IFCGR,confirmation_tag,G100,ENTRY_ONLY,-26342.907345028812
2023,SMV6,41370.75835593706,70387.31365555695,IFCGR,confirmation_tag,G100,ENTRY_ONLY,-29016.55529961989
2024,ATRDR,5219270.689462742,417954.43348014547,IFCGR,confirmation_tag,G100,ENTRY_ONLY,4801316.255982596
2024,IFCGR,2947849.5672909943,29140.707772993228,IFCGR,confirmation_tag,G100,ENTRY_ONLY,2918708.8595180013
2024,MCB,-414601.29731694504,87471.67851813014,IFCGR,confirmation_tag,G100,ENTRY_ONLY,-502072.9758350752
2024,SMV6,10177958.590900984,466833.41609049734,IFCGR,confirmation_tag,G100,ENTRY_ONLY,9711125.174810486
2025,ATRDR,5023049.749274341,351654.21160100156,IFCGR,confirmation_tag,G100,ENTRY_ONLY,4671395.53767334
2025,IFCGR,3906300.77173083,6743.981085751679,IFCGR,confirmation_tag,G100,ENTRY_ONLY,3899556.7906450783
2025,MCB,101781.94715755878,23467.513634033254,IFCGR,confirmation_tag,G100,ENTRY_ONLY,78314.43352352553
2025,SMV6,827105.2041730195,384178.6856417313,IFCGR,confirmation_tag,G100,ENTRY_ONLY,442926.5185312882
2026,ATRDR,6124070.3372408915,266554.97171333566,IFCGR,confirmation_tag,G100,ENTRY_ONLY,5857515.365527556
2026,IFCGR,7217056.493744104,12143.623981578541,IFCGR,confirmation_tag,G100,ENTRY_ONLY,7204912.869762526
2026,MCB,0.0,8660.237690092468,IFCGR,confirmation_tag,G100,ENTRY_ONLY,-8660.237690092468
2026,SMV6,324547.69650030404,622044.8254142485,IFCGR,confirmation_tag,G100,ENTRY_ONLY,-297497.12891394447
2018,ATRDR,286581.355954793,221160.5832425934,IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,65420.7727121996
2018,IFCGR,143254.2245774622,87460.77183940033,IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,55793.45273806188
2018,MCB,68668.52709306058,33476.11853456644,IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,35192.408558494135
2018,SMV6,89136.37987424339,22037.74926284229,IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,67098.6306114011
2019,ATRDR,1785212.6192371529,253201.34320356586,IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,1532011.276033587
2019,IFCGR,39117.76962200685,7730.883573860368,IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,31386.88604814648
2019,MCB,109858.433854671,80814.8695064485,IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,29043.564348222513
2019,SMV6,146822.99779052226,27905.10637949992,IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,118917.89141102234
2020,ATRDR,3809258.895155944,251353.12843227488,IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,3557905.766723669
2020,IFCGR,989219.84675198,4202.940944051678,IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,985016.9058079283
2020,MCB,83751.36527934638,3073.629161994255,IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,80677.73611735213
2020,SMV6,76731.0896929483,169138.00508529018,IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,-92406.91539234188
2021,ATRDR,12948832.102760326,378630.20596696215,IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,12570201.896793364
2021,IFCGR,2831616.3563418947,5782.611785829486,IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2825833.744556065
2021,MCB,-141611.28282583528,9715.12458983369,IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,-151326.40741566897
2021,SMV6,278494.5717980516,41175.11735871985,IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,237319.45443933175
2022,ATRDR,7910908.065429564,208594.8916143939,IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,7702313.173815169
2022,IFCGR,-437414.7588337664,16907.873267857733,IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,-454322.6321016241
2022,MCB,126398.86366199961,4700.969031382894,IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,121697.89463061672
2022,SMV6,128303.59564489158,34415.49890170461,IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,93888.09674318696
2023,ATRDR,10384694.229460737,206957.29756157266,IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,10177736.931899164
2023,IFCGR,257758.19630058366,1088.3488236568667,IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,256669.84747692678
2023,MCB,465195.3271684232,60514.057820771486,IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,404681.26934765175
2023,SMV6,526372.945527834,70387.31365555695,IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,455985.63187227707
2024,ATRDR,1742603.9417082143,417954.43348014547,IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,1324649.508228069
2024,IFCGR,-9861637.412331786,29140.707772993228,IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,-9890778.120104779
2024,MCB,-433315.2036423973,87471.67851813014,IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,-520786.88216052746
2024,SMV6,4917239.4221186,466833.41609049734,IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,4450406.006028103
2025,ATRDR,8809094.745919185,351654.21160100156,IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,8457440.534318183
2025,IFCGR,8192512.934315495,6743.981085751679,IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,8185768.953229743
2025,MCB,98061.75353487629,23467.513634033254,IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,74594.23990084304
2025,SMV6,6291535.914611196,384178.6856417313,IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,5907357.228969465
2026,ATRDR,-10250235.827458404,266554.97171333566,IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,-10516790.79917174
2026,IFCGR,-5018177.848003193,12143.623981578541,IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,-5030321.471984771
2026,MCB,-86982.31938776305,8660.237690092468,IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,-95642.55707785553
2026,SMV6,8609786.636809427,622044.8254142485,IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,7987741.811395179
2018,ATRDR,196738.77133506013,221160.5832425934,IFCGR,confirmation_tag,G25,ENTRY_ONLY,-24421.811907533265
2018,IFCGR,-17507.91511526532,87460.77183940033,IFCGR,confirmation_tag,G25,ENTRY_ONLY,-104968.68695466565
2018,MCB,18640.302190804265,33476.11853456644,IFCGR,confirmation_tag,G25,ENTRY_ONLY,-14835.816343762177
2018,SMV6,2719.995313428546,22037.74926284229,IFCGR,confirmation_tag,G25,ENTRY_ONLY,-19317.753949413745
2019,ATRDR,-346113.67583969666,253201.34320356586,IFCGR,confirmation_tag,G25,ENTRY_ONLY,-599315.0190432626
2019,IFCGR,415515.2522248524,7730.883573860368,IFCGR,confirmation_tag,G25,ENTRY_ONLY,407784.368650992
2019,MCB,0.18688798829180586,80814.8695064485,IFCGR,confirmation_tag,G25,ENTRY_ONLY,-80814.6826184602
2019,SMV6,63579.460758069414,27905.10637949992,IFCGR,confirmation_tag,G25,ENTRY_ONLY,35674.35437856949
2020,ATRDR,662172.6049510733,251353.12843227488,IFCGR,confirmation_tag,G25,ENTRY_ONLY,410819.4765187984
2020,IFCGR,97365.90625723131,4202.940944051678,IFCGR,confirmation_tag,G25,ENTRY_ONLY,93162.96531317964
2020,MCB,4001.436817193236,3073.629161994255,IFCGR,confirmation_tag,G25,ENTRY_ONLY,927.8076551989811
2020,SMV6,120898.079906356,169138.00508529018,IFCGR,confirmation_tag,G25,ENTRY_ONLY,-48239.92517893418
2021,ATRDR,521452.4614059633,378630.20596696215,IFCGR,confirmation_tag,G25,ENTRY_ONLY,142822.25543900114
2021,IFCGR,250973.06099579317,5782.611785829486,IFCGR,confirmation_tag,G25,ENTRY_ONLY,245190.4492099637
2021,MCB,-5.846970265229516,9715.12458983369,IFCGR,confirmation_tag,G25,ENTRY_ONLY,-9720.971560098918
2021,SMV6,110340.85366811174,41175.11735871985,IFCGR,confirmation_tag,G25,ENTRY_ONLY,69165.73630939188
2022,ATRDR,612001.909756318,208594.8916143939,IFCGR,confirmation_tag,G25,ENTRY_ONLY,403407.01814192405
2022,IFCGR,-145285.18064351392,16907.873267857733,IFCGR,confirmation_tag,G25,ENTRY_ONLY,-162193.05391137165
2022,MCB,642.4856319037331,4700.969031382894,IFCGR,confirmation_tag,G25,ENTRY_ONLY,-4058.483399479161
2022,SMV6,5673.972566948189,34415.49890170461,IFCGR,confirmation_tag,G25,ENTRY_ONLY,-28741.52633475642
2023,ATRDR,421554.5835927511,206957.29756157266,IFCGR,confirmation_tag,G25,ENTRY_ONLY,214597.28603117846
2023,IFCGR,-3350.3665659154867,1088.3488236568667,IFCGR,confirmation_tag,G25,ENTRY_ONLY,-4438.715389572353
2023,MCB,2715.375817258187,60514.057820771486,IFCGR,confirmation_tag,G25,ENTRY_ONLY,-57798.6820035133
2023,SMV6,59275.03956974493,70387.31365555695,IFCGR,confirmation_tag,G25,ENTRY_ONLY,-11112.274085812023
2024,ATRDR,493810.3595409765,417954.43348014547,IFCGR,confirmation_tag,G25,ENTRY_ONLY,75855.92606083106
2024,IFCGR,334668.24362784135,29140.707772993228,IFCGR,confirmation_tag,G25,ENTRY_ONLY,305527.5358548481
2024,MCB,-31281.965412295696,87471.67851813014,IFCGR,confirmation_tag,G25,ENTRY_ONLY,-118753.64393042584
2024,SMV6,647335.2886611358,466833.41609049734,IFCGR,confirmation_tag,G25,ENTRY_ONLY,180501.8725706385
2025,ATRDR,605512.0136699033,351654.21160100156,IFCGR,confirmation_tag,G25,ENTRY_ONLY,253857.8020689017
2025,IFCGR,404483.7089481212,6743.981085751679,IFCGR,confirmation_tag,G25,ENTRY_ONLY,397739.7278623695
2025,MCB,1941.3832081884448,23467.513634033254,IFCGR,confirmation_tag,G25,ENTRY_ONLY,-21526.130425844807
2025,SMV6,456822.45577737514,384178.6856417313,IFCGR,confirmation_tag,G25,ENTRY_ONLY,72643.77013564383
2026,ATRDR,-257262.3849180133,266554.97171333566,IFCGR,confirmation_tag,G25,ENTRY_ONLY,-523817.35663134896
2026,IFCGR,440747.2598018223,12143.623981578541,IFCGR,confirmation_tag,G25,ENTRY_ONLY,428603.63582024374
2026,MCB,0.0,8660.237690092468,IFCGR,confirmation_tag,G25,ENTRY_ONLY,-8660.237690092468
2026,SMV6,250249.76152569588,622044.8254142485,IFCGR,confirmation_tag,G25,ENTRY_ONLY,-371795.0638885526
2018,ATRDR,90978.46887435502,221160.5832425934,IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,-130182.11436823837
2018,IFCGR,36362.73815477878,87460.77183940033,IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,-51098.03368462155
2018,MCB,18880.421461011698,33476.11853456644,IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,-14595.697073554744
2018,SMV6,26201.46030634872,22037.74926284229,IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,4163.711043506428
2019,ATRDR,476217.6850789282,253201.34320356586,IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,223016.34187536233
2019,IFCGR,3644.2818374367143,7730.883573860368,IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,-4086.601736423654
2019,MCB,22936.803590550713,80814.8695064485,IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,-57878.06591589778
2019,SMV6,108244.6234322384,27905.10637949992,IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,80339.51705273848
2020,ATRDR,582141.1736438719,251353.12843227488,IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,330788.045211597
2020,IFCGR,155259.08036211497,4202.940944051678,IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,151056.13941806328
2020,MCB,15756.4787043723,3073.629161994255,IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,12682.849542378046
2020,SMV6,152762.89994012285,169138.00508529018,IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,-16375.105145167327
2021,ATRDR,1228382.1553926505,378630.20596696215,IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,849751.9494256884
2021,IFCGR,301163.5632692771,5782.611785829486,IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,295380.9514834476
2021,MCB,-8014.415826317792,9715.12458983369,IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,-17729.54041615148
2021,SMV6,94994.0993557208,41175.11735871985,IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,53818.98199700095
2022,ATRDR,650560.3467620456,208594.8916143939,IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,441965.4551476517
2022,IFCGR,-26757.647105718686,16907.873267857733,IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,-43665.52037357642
2022,MCB,8260.572293675683,4700.969031382894,IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,3559.6032622927887
2022,SMV6,13146.004473273199,34415.49890170461,IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,-21269.49442843141
2023,ATRDR,564822.6600472109,206957.29756157266,IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,357865.36248563824
2023,IFCGR,13966.685165250208,1088.3488236568667,IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,12878.336341593342
2023,MCB,32618.06901630926,60514.057820771486,IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,-27895.988804462228
2023,SMV6,88244.03460951595,70387.31365555695,IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,17856.720953958997
2024,ATRDR,66633.18401964004,417954.43348014547,IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,-351321.24946050544
2024,IFCGR,-412120.0510099363,29140.707772993228,IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,-441260.75878292957
2024,MCB,-20132.45842792108,87471.67851813014,IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,-107604.13694605122
2024,SMV6,228862.98253993815,466833.41609049734,IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,-237970.4335505592
2025,ATRDR,129597.89411171344,351654.21160100156,IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,-222056.3174892881
2025,IFCGR,364058.97411636275,6743.981085751679,IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,357314.9930306111
2025,MCB,5403.5966292135445,23467.513634033254,IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,-18063.91700481971
2025,SMV6,438910.63239711785,384178.6856417313,IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,54731.94675538654
2026,ATRDR,-823104.5717245461,266554.97171333566,IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,-1089659.5434378819
2026,IFCGR,-154534.5684406485,12143.623981578541,IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,-166678.19242222703
2026,MCB,-3526.30720314144,8660.237690092468,IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,-12186.544893233908
2026,SMV6,625259.2746636493,622044.8254142485,IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,3214.4492494007573
2018,ATRDR,169122.83314627997,221160.5832425934,IFCGR,confirmation_tag,G50,FULL_BOOK_NORMALIZATION,-52037.75009631342
2018,IFCGR,73918.54438069084,87460.77183940033,IFCGR,confirmation_tag,G50,FULL_BOOK_NORMALIZATION,-13542.227458709487
2018,MCB,35897.308531051574,33476.11853456644,IFCGR,confirmation_tag,G50,FULL_BOOK_NORMALIZATION,2421.1899964851327
2018,SMV6,52148.88750206759,22037.74926284229,IFCGR,confirmation_tag,G50,FULL_BOOK_NORMALIZATION,30111.1382392253
2019,ATRDR,1031055.3794882424,253201.34320356586,IFCGR,confirmation_tag,G50,FULL_BOOK_NORMALIZATION,777854.0362846765
2019,IFCGR,10011.092958669607,7730.883573860368,IFCGR,confirmation_tag,G50,FULL_BOOK_NORMALIZATION,2280.209384809239
2019,MCB,49159.85342868911,80814.8695064485,IFCGR,confirmation_tag,G50,FULL_BOOK_NORMALIZATION,-31655.016077759385
2019,SMV6,143780.05224980545,27905.10637949992,IFCGR,confirmation_tag,G50,FULL_BOOK_NORMALIZATION,115874.94587030553
2020,ATRDR,902254.0175974378,251353.12843227488,IFCGR,confirmation_tag,G50,FULL_BOOK_NORMALIZATION,650900.8891651629
2020,IFCGR,375700.1299549658,4202.940944051678,IFCGR,confirmation_tag,G50,FULL_BOOK_NORMALIZATION,371497.1890109141
2020,MCB,29469.168890013458,3073.629161994255,IFCGR,confirmation_tag,G50,FULL_BOOK_NORMALIZATION,26395.539728019205
2020,SMV6,97588.32986477442,169138.00508529018,IFCGR,confirmation_tag,G50,FULL_BOOK_NORMALIZATION,-71549.67522051575
2021,ATRDR,3324722.570661432,378630.20596696215,IFCGR,confirmation_tag,G50,FULL_BOOK_NORMALIZATION,2946092.36469447
2021,IFCGR,772911.5897663235,5782.611785829486,IFCGR,confirmation_tag,G50,FULL_BOOK_NORMALIZATION,767128.9779804939
2021,MCB,-18555.39053680152,9715.12458983369,IFCGR,confirmation_tag,G50,FULL_BOOK_NORMALIZATION,-28270.515126635208
2021,SMV6,120157.1065383663,41175.11735871985,IFCGR,confirmation_tag,G50,FULL_BOOK_NORMALIZATION,78981.98917964645
2022,ATRDR,1732842.450387471,208594.8916143939,IFCGR,confirmation_tag,G50,FULL_BOOK_NORMALIZATION,1524247.558773077
2022,IFCGR,-83319.60467658847,16907.873267857733,IFCGR,confirmation_tag,G50,FULL_BOOK_NORMALIZATION,-100227.4779444462
2022,MCB,25170.83399647329,4700.969031382894,IFCGR,confirmation_tag,G50,FULL_BOOK_NORMALIZATION,20469.864965090397
2022,SMV6,77514.51018868168,34415.49890170461,IFCGR,confirmation_tag,G50,FULL_BOOK_NORMALIZATION,43099.011286977075
2023,ATRDR,1922912.1817552322,206957.29756157266,IFCGR,confirmation_tag,G50,FULL_BOOK_NORMALIZATION,1715954.8841936595
2023,IFCGR,37409.19905726399,1088.3488236568667,IFCGR,confirmation_tag,G50,FULL_BOOK_NORMALIZATION,36320.850233607125
2023,MCB,99289.79571814873,60514.057820771486,IFCGR,confirmation_tag,G50,FULL_BOOK_NORMALIZATION,38775.73789737724
2023,SMV6,267203.94154947624,70387.31365555695,IFCGR,confirmation_tag,G50,FULL_BOOK_NORMALIZATION,196816.6278939193
2024,ATRDR,100042.67210435687,417954.43348014547,IFCGR,confirmation_tag,G50,FULL_BOOK_NORMALIZATION,-317911.7613757886
2024,IFCGR,-1480575.460378836,29140.707772993228,IFCGR,confirmation_tag,G50,FULL_BOOK_NORMALIZATION,-1509716.1681518292
2024,MCB,-73406.9837573695,87471.67851813014,IFCGR,confirmation_tag,G50,FULL_BOOK_NORMALIZATION,-160878.66227549964
2024,SMV6,778984.2668932491,466833.41609049734,IFCGR,confirmation_tag,G50,FULL_BOOK_NORMALIZATION,312150.8508027518
2025,ATRDR,812684.6837326221,351654.21160100156,IFCGR,confirmation_tag,G50,FULL_BOOK_NORMALIZATION,461030.4721316205
2025,IFCGR,1420255.9374997334,6743.981085751679,IFCGR,confirmation_tag,G50,FULL_BOOK_NORMALIZATION,1413511.9564139817
2025,MCB,18413.8270740341,23467.513634033254,IFCGR,confirmation_tag,G50,FULL_BOOK_NORMALIZATION,-5053.686559999154
2025,SMV6,1367710.9460570936,384178.6856417313,IFCGR,confirmation_tag,G50,FULL_BOOK_NORMALIZATION,983532.2604153622
2026,ATRDR,-2848829.513456707,266554.97171333566,IFCGR,confirmation_tag,G50,FULL_BOOK_NORMALIZATION,-3115384.4851700426
2026,IFCGR,-591640.3897319849,12143.623981578541,IFCGR,confirmation_tag,G50,FULL_BOOK_NORMALIZATION,-603784.0137135634
2026,MCB,-23282.37450675379,8660.237690092468,IFCGR,confirmation_tag,G50,FULL_BOOK_NORMALIZATION,-31942.612196846258
2026,SMV6,2115080.514932888,622044.8254142485,IFCGR,confirmation_tag,G50,FULL_BOOK_NORMALIZATION,1493035.6895186396
2018,ATRDR,234965.9279810987,221160.5832425934,IFCGR,confirmation_tag,G75,FULL_BOOK_NORMALIZATION,13805.344738505315
2018,IFCGR,109337.35172436974,87460.77183940033,IFCGR,confirmation_tag,G75,FULL_BOOK_NORMALIZATION,21876.57988496941
2018,MCB,52528.85210081316,33476.11853456644,IFCGR,confirmation_tag,G75,FULL_BOOK_NORMALIZATION,19052.733566246716
2018,SMV6,76658.74892063186,22037.74926284229,IFCGR,confirmation_tag,G75,FULL_BOOK_NORMALIZATION,54620.999657789565
2019,ATRDR,1456309.4254200119,253201.34320356586,IFCGR,confirmation_tag,G75,FULL_BOOK_NORMALIZATION,1203108.082216446
2019,IFCGR,18136.25965061038,7730.883573860368,IFCGR,confirmation_tag,G75,FULL_BOOK_NORMALIZATION,10405.376076750012
2019,MCB,77403.78219603293,80814.8695064485,IFCGR,confirmation_tag,G75,FULL_BOOK_NORMALIZATION,-3411.0873104155617
2019,SMV6,140656.6813136766,27905.10637949992,IFCGR,confirmation_tag,G75,FULL_BOOK_NORMALIZATION,112751.5749341767
2020,ATRDR,1789699.605159772,251353.12843227488,IFCGR,confirmation_tag,G75,FULL_BOOK_NORMALIZATION,1538346.4767274973
2020,IFCGR,653899.497785914,4202.940944051678,IFCGR,confirmation_tag,G75,FULL_BOOK_NORMALIZATION,649696.5568418623
2020,MCB,51033.66521306416,3073.629161994255,IFCGR,confirmation_tag,G75,FULL_BOOK_NORMALIZATION,47960.0360510699
2020,SMV6,203462.13540523368,169138.00508529018,IFCGR,confirmation_tag,G75,FULL_BOOK_NORMALIZATION,34324.130319943506
2021,ATRDR,6876312.868685963,378630.20596696215,IFCGR,confirmation_tag,G75,FULL_BOOK_NORMALIZATION,6497682.662719
2021,IFCGR,1550388.719254875,5782.611785829486,IFCGR,confirmation_tag,G75,FULL_BOOK_NORMALIZATION,1544606.1074690456
2021,MCB,-62848.10651050406,9715.12458983369,IFCGR,confirmation_tag,G75,FULL_BOOK_NORMALIZATION,-72563.23110033775
2021,SMV6,248195.979644406,41175.11735871985,IFCGR,confirmation_tag,G75,FULL_BOOK_NORMALIZATION,207020.86228568616
2022,ATRDR,3861346.9437939334,208594.8916143939,IFCGR,confirmation_tag,G75,FULL_BOOK_NORMALIZATION,3652752.0521795396
2022,IFCGR,-200625.10761430504,16907.873267857733,IFCGR,confirmation_tag,G75,FULL_BOOK_NORMALIZATION,-217532.98088216278
2022,MCB,59408.619130927575,4700.969031382894,IFCGR,confirmation_tag,G75,FULL_BOOK_NORMALIZATION,54707.650099544684
2022,SMV6,124368.58676909877,34415.49890170461,IFCGR,confirmation_tag,G75,FULL_BOOK_NORMALIZATION,89953.08786739415
2023,ATRDR,4768513.667060666,206957.29756157266,IFCGR,confirmation_tag,G75,FULL_BOOK_NORMALIZATION,4561556.369499093
2023,IFCGR,137285.7792268622,1088.3488236568667,IFCGR,confirmation_tag,G75,FULL_BOOK_NORMALIZATION,136197.43040320533
2023,MCB,229417.0515207281,60514.057820771486,IFCGR,confirmation_tag,G75,FULL_BOOK_NORMALIZATION,168902.99369995663
2023,SMV6,576900.0099163606,70387.31365555695,IFCGR,confirmation_tag,G75,FULL_BOOK_NORMALIZATION,506512.69626080367
2024,ATRDR,533172.4708413864,417954.43348014547,IFCGR,confirmation_tag,G75,FULL_BOOK_NORMALIZATION,115218.03736124089
2024,IFCGR,-4073652.3507487345,29140.707772993228,IFCGR,confirmation_tag,G75,FULL_BOOK_NORMALIZATION,-4102793.0585217276
2024,MCB,-210325.80092022687,87471.67851813014,IFCGR,confirmation_tag,G75,FULL_BOOK_NORMALIZATION,-297797.479438357
2024,SMV6,2052911.646615993,466833.41609049734,IFCGR,confirmation_tag,G75,FULL_BOOK_NORMALIZATION,1586078.2305254957
2025,ATRDR,3216042.0213728617,351654.21160100156,IFCGR,confirmation_tag,G75,FULL_BOOK_NORMALIZATION,2864387.80977186
2025,IFCGR,3599277.9939075243,6743.981085751679,IFCGR,confirmation_tag,G75,FULL_BOOK_NORMALIZATION,3592534.0128217726
2025,MCB,43742.88102262471,23467.513634033254,IFCGR,confirmation_tag,G75,FULL_BOOK_NORMALIZATION,20275.367388591454
2025,SMV6,2322375.8387227007,384178.6856417313,IFCGR,confirmation_tag,G75,FULL_BOOK_NORMALIZATION,1938197.1530809694
