gap,mcb_mode,target,mechanic,state_family,state,year,dates,incremental_pnl,mean_daily_incremental_return
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,market_regime,BEAR,2018,163,217267.04194427468,0.0004113695493955128
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,market_regime,BEAR,2019,88,1129232.519466022,0.0020715120743519905
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,market_regime,BEAR,2020,91,691269.6336566126,0.0010630300410108397
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,market_regime,BEAR,2021,83,6465374.679397063,0.004386790589711286
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,market_regime,BEAR,2022,98,-1055203.4922003392,-4.962920114903452e-05
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,market_regime,BEAR,2023,94,7300615.0057058735,0.001743638245667919
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,market_regime,BEAR,2024,123,-6135881.304544112,-0.0012593415465977093
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,market_regime,BEAR,2025,59,9758766.80167861,0.0031584185093804637
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,market_regime,BEAR,2026,74,-23571880.725421283,-0.00441528293761739
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,market_regime,BULL,2018,10,-104754.07549449243,-0.0019335150165646505
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,market_regime,BULL,2019,67,828226.9575086115,0.0019926662319194755
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,market_regime,BULL,2020,86,1527834.327922985,0.0012798558720798498
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,market_regime,BULL,2021,65,3192866.98511923,0.0023828785919985866
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,market_regime,BULL,2022,38,346605.17246268876,0.0003827829579896764
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,market_regime,BULL,2023,59,-356618.75763845164,-0.00017245389957885817
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,market_regime,BULL,2024,65,5190552.00267093,0.0012616349198975674
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,market_regime,BULL,2025,85,-41524.51194403041,-0.00014041803110966027
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,market_regime,BULL,2026,25,10715836.987670645,0.005225785961604688
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,market_regime,TRANSITION,2018,70,110992.29817036632,0.00041703487809813516
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,market_regime,TRANSITION,2019,89,-246099.8591336403,-0.0002950925267395887
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,market_regime,TRANSITION,2020,66,2312089.5316770244,0.0040609746283953385
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,market_regime,TRANSITION,2021,95,5823787.023856781,0.0026927192027479748
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,market_regime,TRANSITION,2022,106,8172174.852824999,0.0022758572302307716
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,market_regime,TRANSITION,2023,89,4351077.432528602,0.001062714562030482
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,market_regime,TRANSITION,2024,54,-3691180.186135933,-0.001513077564916838
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,market_regime,TRANSITION,2025,99,12907918.666683607,0.0018739800471866085
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,market_regime,TRANSITION,2026,65,5201030.720911406,0.0003506065370662742
IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,market_regime,BEAR,2018,163,-94071.2456439957,-0.00010561008545098474
IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,market_regime,BEAR,2019,88,227610.14283208456,0.0004845218745593219
IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,market_regime,BEAR,2020,91,226009.5753243817,0.00040642976631590416
IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,market_regime,BEAR,2021,83,617732.0678401031,0.0010180388774301248
IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,market_regime,BEAR,2022,98,-93934.38046312425,-0.00012485813115788104
IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,market_regime,BEAR,2023,94,317905.71274888236,0.00033741959161114776
