gap,mcb_mode,target,mechanic,state_family,state,omitted_year,independent_dates,incremental_pnl,pnl_ex_frozen_top5_events,direction_positive
OGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,market_regime,BEAR,2023,523,898090.3904094268,330765.4639667465,True
OGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,market_regime,BULL,2018,315,-2882.214297373779,-213998.54334158567,False
OGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,market_regime,BULL,2019,258,156573.04821676388,63768.69178638527,True
OGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,market_regime,BULL,2020,239,73528.58112980891,-88278.82309528746,False
OGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,market_regime,BULL,2021,260,-221658.03896684386,-384399.25947950425,False
OGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,market_regime,BULL,2022,287,-55984.640483816154,-271514.16741494474,False
OGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,market_regime,BULL,2023,266,125838.21416940913,-85744.59390820774,False
OGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,market_regime,TRANSITION,2018,445,1372053.0008791154,514831.08742876194,True
OGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,market_regime,TRANSITION,2019,426,1090068.0119918557,419529.0027187729,True
OGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,market_regime,TRANSITION,2020,449,943408.7292218562,218011.4436357302,True
OGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,market_regime,TRANSITION,2021,420,925644.7744544363,169224.08325228747,True
OGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,market_regime,TRANSITION,2022,409,849993.4814786697,310669.61766533053,True
OGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,market_regime,TRANSITION,2023,426,1101312.9935841784,364106.1896575209,True
OGR,independent,G25,FULL_BOOK_NORMALIZATION,market_regime,BEAR,2018,454,1002183.9820214547,358787.288411163,True
OGR,independent,G25,FULL_BOOK_NORMALIZATION,market_regime,BEAR,2019,529,703409.0090084961,174075.14573223356,True
OGR,independent,G25,FULL_BOOK_NORMALIZATION,market_regime,BEAR,2020,526,971227.2392621655,327830.5456518814,True
OGR,independent,G25,FULL_BOOK_NORMALIZATION,market_regime,BEAR,2021,534,324985.0249905195,-6866.65239490458,False
OGR,independent,G25,FULL_BOOK_NORMALIZATION,market_regime,BEAR,2022,519,999978.1192840114,482585.66214095964,True
OGR,independent,G25,FULL_BOOK_NORMALIZATION,market_regime,BEAR,2023,523,600786.9532788107,49174.87025275183,True
OGR,independent,G25,FULL_BOOK_NORMALIZATION,market_regime,BULL,2018,315,-321577.6732614627,-509210.3431901585,False
OGR,independent,G25,FULL_BOOK_NORMALIZATION,market_regime,BULL,2019,258,-12907.786196437664,-94566.44011100546,False
OGR,independent,G25,FULL_BOOK_NORMALIZATION,market_regime,BULL,2020,239,-93049.07250964828,-241397.60604482048,False
OGR,independent,G25,FULL_BOOK_NORMALIZATION,market_regime,BULL,2021,260,-484231.61482452136,-624975.2992697112,False
OGR,independent,G25,FULL_BOOK_NORMALIZATION,market_regime,BULL,2022,287,-334837.1239258023,-526595.793501289,False
OGR,independent,G25,FULL_BOOK_NORMALIZATION,market_regime,BULL,2023,266,-196978.89481860306,-385000.033063002,False
OGR,independent,G25,FULL_BOOK_NORMALIZATION,market_regime,TRANSITION,2018,445,1281867.815631386,444092.6280746175,True
OGR,independent,G25,FULL_BOOK_NORMALIZATION,market_regime,TRANSITION,2019,426,958529.9477222702,306251.34797206667,True
OGR,independent,G25,FULL_BOOK_NORMALIZATION,market_regime,TRANSITION,2020,449,850500.6267126501,144801.99287978938,True
OGR,independent,G25,FULL_BOOK_NORMALIZATION,market_regime,TRANSITION,2021,420,907244.0247934135,166673.89963314173,True
OGR,independent,G25,FULL_BOOK_NORMALIZATION,market_regime,TRANSITION,2022,409,807787.7910324065,276881.65687996836,True
OGR,independent,G25,FULL_BOOK_NORMALIZATION,market_regime,TRANSITION,2023,426,1008944.2461363627,287296.988805105,True
IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,breadth_bucket,MAJORITY_POSITIVE_20D,2018,552,517800.7769301301,101336.65195488141,True
IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,breadth_bucket,MAJORITY_POSITIVE_20D,2019,511,553447.2675285628,229588.1847428769,True
IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,breadth_bucket,MAJORITY_POSITIVE_20D,2020,511,279222.6041069189,67630.11856023737,True
IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,breadth_bucket,MAJORITY_POSITIVE_20D,2021,509,90284.41516259313,-326179.7098126581,False
IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,breadth_bucket,MAJORITY_POSITIVE_20D,2022,520,303313.1963474611,-113150.9286277733,False
IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,breadth_bucket,MAJORITY_POSITIVE_20D,2023,527,411179.4092915561,113702.72767346897,True
IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,breadth_bucket,MINORITY_POSITIVE_20D,2018,662,2124259.160447169,1128182.8736671747,True
IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,breadth_bucket,MINORITY_POSITIVE_20D,2019,702,1655509.3444899954,845525.016125949,True
IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,breadth_bucket,MINORITY_POSITIVE_20D,2020,703,1692973.2701605689,696896.9833806102,True
IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,breadth_bucket,MINORITY_POSITIVE_20D,2021,705,1178841.045641777,676344.4538829689,True
IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,breadth_bucket,MINORITY_POSITIVE_20D,2022,695,1766444.5633389382,1086772.9099018686,True
IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,breadth_bucket,MINORITY_POSITIVE_20D,2023,688,1678463.9630260859,682387.6762461354,True
IFCGR,independent,G25,FULL_BOOK_NORMALIZATION,breadth_bucket,MAJORITY_POSITIVE_20D,2018,552,192143.84781028982,-210708.41146334264,False
IFCGR,independent,G25,FULL_BOOK_NORMALIZATION,breadth_bucket,MAJORITY_POSITIVE_20D,2019,511,334251.9918237282,14666.445182810741,True
IFCGR,independent,G25,FULL_BOOK_NORMALIZATION,breadth_bucket,MAJORITY_POSITIVE_20D,2020,511,99580.19148450438,-103903.04868488623,False
IFCGR,independent,G25,FULL_BOOK_NORMALIZATION,breadth_bucket,MAJORITY_POSITIVE_20D,2021,509,-146017.7755918866,-548870.0348654836,False
IFCGR,independent,G25,FULL_BOOK_NORMALIZATION,breadth_bucket,MAJORITY_POSITIVE_20D,2022,520,25478.767870781943,-377373.4914028454,False
IFCGR,independent,G25,FULL_BOOK_NORMALIZATION,breadth_bucket,MAJORITY_POSITIVE_20D,2023,527,79354.56089762133,-203281.17083938862,False
IFCGR,independent,G25,FULL_BOOK_NORMALIZATION,breadth_bucket,MINORITY_POSITIVE_20D,2018,662,2136809.00802176,1136546.498560826,True
IFCGR,independent,G25,FULL_BOOK_NORMALIZATION,breadth_bucket,MINORITY_POSITIVE_20D,2019,702,1682023.8986131195,866666.0556544408,True
