horizon,status,actions
1,ACTUAL_LOT_PNL_WITH_ACTUAL_EXITS_AND_CA,585192
1,COUNTERFACTUAL_SIGNED_COORDINATE_OR_PRE_ADJUSTED_ETF_RETURN;NO_EXIT_REPLAY;NOT_ADDITIVE_ACTUAL_PNL,854784
1,COUNTERFACTUAL_SIGNED_COORDINATE_RETURN;NO_EXIT_REPLAY;NOT_ADDITIVE_ACTUAL_PNL,127804
1,COUNTERFACTUAL_SIGNED_PRE_ADJUSTED_ETF_RETURN;NO_EXIT_REPLAY;NOT_ADDITIVE_ACTUAL_PNL,5401
1,RIGHT_CENSORED,20
1,UNRESOLVED_STOCK_COORDINATE_LINEAGE_OR_UNAVAILABLE_MARK;COUNTERFACTUAL_NOT_ESTIMATED,558
1,,35188
3,ACTUAL_LOT_PNL_WITH_ACTUAL_EXITS_AND_CA,584877
3,COUNTERFACTUAL_SIGNED_COORDINATE_OR_PRE_ADJUSTED_ETF_RETURN;NO_EXIT_REPLAY;NOT_ADDITIVE_ACTUAL_PNL,853216
3,COUNTERFACTUAL_SIGNED_COORDINATE_RETURN;NO_EXIT_REPLAY;NOT_ADDITIVE_ACTUAL_PNL,127561
3,COUNTERFACTUAL_SIGNED_PRE_ADJUSTED_ETF_RETURN;NO_EXIT_REPLAY;NOT_ADDITIVE_ACTUAL_PNL,5400
3,RIGHT_CENSORED,1372
3,UNRESOLVED_STOCK_COORDINATE_LINEAGE_OR_UNAVAILABLE_MARK;COUNTERFACTUAL_NOT_ESTIMATED,1333
3,,35188
5,ACTUAL_LOT_PNL_WITH_ACTUAL_EXITS_AND_CA,584877
5,COUNTERFACTUAL_SIGNED_COORDINATE_OR_PRE_ADJUSTED_ETF_RETURN;NO_EXIT_REPLAY;NOT_ADDITIVE_ACTUAL_PNL,852618
5,COUNTERFACTUAL_SIGNED_COORDINATE_RETURN;NO_EXIT_REPLAY;NOT_ADDITIVE_ACTUAL_PNL,127462
5,COUNTERFACTUAL_SIGNED_PRE_ADJUSTED_ETF_RETURN;NO_EXIT_REPLAY;NOT_ADDITIVE_ACTUAL_PNL,5400
5,RIGHT_CENSORED,1372
5,UNRESOLVED_STOCK_COORDINATE_LINEAGE_OR_UNAVAILABLE_MARK;COUNTERFACTUAL_NOT_ESTIMATED,2030
5,,35188
10,ACTUAL_LOT_PNL_WITH_ACTUAL_EXITS_AND_CA,584493
10,COUNTERFACTUAL_RETAINED_EXPOSURE_REQUIRES_SEPARATE_PRICE_DIAGNOSTIC,16
10,COUNTERFACTUAL_SIGNED_COORDINATE_OR_PRE_ADJUSTED_ETF_RETURN;NO_EXIT_REPLAY;NOT_ADDITIVE_ACTUAL_PNL,851202
10,COUNTERFACTUAL_SIGNED_COORDINATE_RETURN;NO_EXIT_REPLAY;NOT_ADDITIVE_ACTUAL_PNL,127252
10,COUNTERFACTUAL_SIGNED_PRE_ADJUSTED_ETF_RETURN;NO_EXIT_REPLAY;NOT_ADDITIVE_ACTUAL_PNL,5398
10,RIGHT_CENSORED,2308
10,UNRESOLVED_STOCK_COORDINATE_LINEAGE_OR_UNAVAILABLE_MARK;COUNTERFACTUAL_NOT_ESTIMATED,3090
10,,35188
20,ACTUAL_LOT_PNL_WITH_ACTUAL_EXITS_AND_CA,582489
20,COUNTERFACTUAL_SIGNED_COORDINATE_OR_PRE_ADJUSTED_ETF_RETURN;NO_EXIT_REPLAY;NOT_ADDITIVE_ACTUAL_PNL,844090
20,COUNTERFACTUAL_SIGNED_COORDINATE_RETURN;NO_EXIT_REPLAY;NOT_ADDITIVE_ACTUAL_PNL,126240
20,COUNTERFACTUAL_SIGNED_PRE_ADJUSTED_ETF_RETURN;NO_EXIT_REPLAY;NOT_ADDITIVE_ACTUAL_PNL,5400
20,RIGHT_CENSORED,9048
20,UNRESOLVED_STOCK_COORDINATE_LINEAGE_OR_UNAVAILABLE_MARK;COUNTERFACTUAL_NOT_ESTIMATED,6492
20,,35188
