gap,mcb_mode,days,cash,nav,gross_exposure,status
OGR,independent,973,0.0,0.0,0.0,PASS
OGR,confirmation_tag,973,0.0,0.0,0.0,PASS
IFCGR,independent,973,0.0,0.0,0.0,PASS
IFCGR,confirmation_tag,973,0.0,0.0,0.0,PASS
