gap,mcb_mode,target,mechanic,year,state_family,state,family,pnl_scaled,pnl_native,incremental_pnl
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2018,breadth_bucket,MAJORITY_POSITIVE_20D,SMV6,-42443.794876683576,-3188.358562542824,-39255.43631414075
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2018,breadth_bucket,MINORITY_POSITIVE_20D,SMV6,131580.17475092696,25226.107825385116,106354.06692554185
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2018,market_regime,BEAR,SMV6,131580.17475092696,25226.107825385116,106354.06692554185
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2018,market_regime,TRANSITION,SMV6,-42443.794876683576,-3188.358562542824,-39255.43631414075
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2019,breadth_bucket,MAJORITY_POSITIVE_20D,SMV6,428135.4708539994,50492.38753899986,377643.0833149996
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2019,breadth_bucket,MINORITY_POSITIVE_20D,SMV6,-281312.47306347714,-22587.281159499937,-258725.1919039772
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2019,market_regime,BEAR,SMV6,-8485.377994587374,-6569.658516532826,-1915.719478054547
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2019,market_regime,BULL,SMV6,280459.3068419275,11777.906061636857,268681.40078029066
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2019,market_regime,TRANSITION,SMV6,-125150.93105681786,22696.85883439589,-147847.78989121376
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2020,breadth_bucket,MAJORITY_POSITIVE_20D,SMV6,655098.7762840388,141472.59962389237,513626.17666014645
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2020,breadth_bucket,MINORITY_POSITIVE_20D,SMV6,-578367.6865910905,27665.405461397815,-606033.0920524884
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2020,market_regime,BEAR,SMV6,-411029.1929624567,41387.377134837814,-452416.5700972946
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2020,market_regime,BULL,SMV6,705996.5779205019,150765.3939929221,555231.1839275799
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2020,market_regime,TRANSITION,SMV6,-218236.29526509694,-23014.76604246972,-195221.52922262723
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2021,breadth_bucket,MAJORITY_POSITIVE_20D,SMV6,40141.32694590677,-4186.2200284405535,44327.54697434729
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2021,breadth_bucket,MINORITY_POSITIVE_20D,SMV6,238353.24485214485,45361.337387160405,192991.90746498446
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2021,market_regime,BEAR,SMV6,214389.09503464148,30037.21828825074,184351.87674639074
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2021,market_regime,BULL,SMV6,120573.48905605599,875.589543187034,119697.89951286893
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2021,market_regime,TRANSITION,SMV6,-56468.01229264586,10262.309527282077,-66730.32181992794
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2022,breadth_bucket,MAJORITY_POSITIVE_20D,SMV6,140448.8685684277,34912.746934584604,105536.12163384311
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2022,breadth_bucket,MINORITY_POSITIVE_20D,SMV6,-12145.272923536128,-497.2480328799961,-11648.024890656134
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2022,market_regime,BEAR,SMV6,9774.134251936019,-497.2480328799961,10271.382284816014
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2022,market_regime,BULL,SMV6,-474353.98164000595,-29797.408679175496,-444556.57296083047
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2022,market_regime,TRANSITION,SMV6,592883.4430329615,64710.1556137601,528173.2874192013
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2023,breadth_bucket,MAJORITY_POSITIVE_20D,SMV6,-1733218.4645747112,-76835.10907183707,-1656383.3555028741
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2023,breadth_bucket,MINORITY_POSITIVE_20D,SMV6,2259591.4101025453,147222.42272739403,2112368.987375151
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2023,market_regime,BEAR,SMV6,-673100.5698531767,-6093.868231655657,-667006.7016215211
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2023,market_regime,BULL,SMV6,-1731622.507578103,-76300.35207522905,-1655322.1555028742
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2023,market_regime,TRANSITION,SMV6,2931096.022959114,152781.53396244167,2778314.488996672
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2024,breadth_bucket,MAJORITY_POSITIVE_20D,SMV6,4934731.532791932,457842.5126481544,4476889.020143778
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2024,breadth_bucket,MINORITY_POSITIVE_20D,SMV6,-17492.110673331936,8990.903442342937,-26483.01411567487
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2024,market_regime,BEAR,SMV6,1125.5803729316576,11888.50344234289,-10762.92306941123
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2024,market_regime,BULL,SMV6,3989346.940780796,358760.0138870134,3630586.9268937823
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2024,market_regime,TRANSITION,SMV6,926766.9009648726,96184.898761141,830582.0022037316
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2025,breadth_bucket,MAJORITY_POSITIVE_20D,SMV6,1280347.637878959,191213.34321809124,1089134.2946608677
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2025,breadth_bucket,MINORITY_POSITIVE_20D,SMV6,5011188.276732237,192965.3424236401,4818222.934308597
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2025,market_regime,BEAR,SMV6,-283013.6713389852,35106.803078128076,-318120.4744171133
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2025,market_regime,BULL,SMV6,1143952.6386560153,138918.52710218498,1005034.1115538301
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2025,market_regime,TRANSITION,SMV6,5430596.947294165,210153.35546141828,5220443.591832748
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2026,breadth_bucket,MAJORITY_POSITIVE_20D,SMV6,2607809.6882955735,269656.21909394435,2338153.469201629
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2026,breadth_bucket,MINORITY_POSITIVE_20D,SMV6,6001976.948513854,352388.60632030416,5649588.34219355
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2026,market_regime,BEAR,SMV6,5999889.158624622,348804.2197061281,5651084.938918494
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2026,market_regime,BULL,SMV6,-48260.81222579214,131547.56848212788,-179808.38070792003
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2026,market_regime,TRANSITION,SMV6,2658158.290410598,141693.03722599248,2516465.253184605
IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,2018,breadth_bucket,MAJORITY_POSITIVE_20D,SMV6,-10278.49241237545,-3188.358562542824,-7090.133849832626
IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,2018,breadth_bucket,MINORITY_POSITIVE_20D,SMV6,36479.95271872417,25226.107825385116,11253.844893339054
IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,2018,market_regime,BEAR,SMV6,36479.95271872417,25226.107825385116,11253.844893339054
IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,2018,market_regime,TRANSITION,SMV6,-10278.49241237545,-3188.358562542824,-7090.133849832626
IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,2019,breadth_bucket,MAJORITY_POSITIVE_20D,SMV6,152845.75823948634,50492.38753899986,102353.37070048648
IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,2019,breadth_bucket,MINORITY_POSITIVE_20D,SMV6,-44601.134807247945,-22587.281159499937,-22013.85364774801
IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,2019,market_regime,BEAR,SMV6,-14378.512000102224,-6569.658516532826,-7808.853483569398
IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,2019,market_regime,BULL,SMV6,91806.24591354611,11777.906061636857,80028.33985190924
IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,2019,market_regime,TRANSITION,SMV6,30816.889518794513,22696.85883439589,8120.03068439862
IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,2020,breadth_bucket,MAJORITY_POSITIVE_20D,SMV6,87292.15390387006,141472.59962389237,-54180.44572002231
IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,2020,breadth_bucket,MINORITY_POSITIVE_20D,SMV6,65470.74603625278,27665.405461397815,37805.34057485496
IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,2020,market_regime,BEAR,SMV6,80853.71486506877,41387.377134837814,39466.33773023096
IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,2020,market_regime,BULL,SMV6,110831.0764456401,150765.3939929221,-39934.317547282
IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,2020,market_regime,TRANSITION,SMV6,-38921.89137058603,-23014.76604246972,-15907.125328116312
IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,2021,breadth_bucket,MAJORITY_POSITIVE_20D,SMV6,21073.579831471063,-4186.2200284405535,25259.799859911618
IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,2021,breadth_bucket,MINORITY_POSITIVE_20D,SMV6,73920.51952424973,45361.337387160405,28559.182137089323
IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,2021,market_regime,BEAR,SMV6,49854.9880322315,30037.21828825074,19817.769743980763
IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,2021,market_regime,BULL,SMV6,36524.286353796706,875.589543187034,35648.696810609676
IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,2021,market_regime,TRANSITION,SMV6,8614.824969692578,10262.309527282077,-1647.4845575894997
IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,2022,breadth_bucket,MAJORITY_POSITIVE_20D,SMV6,13945.182822841198,34912.746934584604,-20967.564111743406
IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,2022,breadth_bucket,MINORITY_POSITIVE_20D,SMV6,-799.1783495679992,-497.2480328799961,-301.93031668800313
IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,2022,market_regime,BEAR,SMV6,-799.1783495679992,-497.2480328799961,-301.93031668800313
IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,2022,market_regime,BULL,SMV6,-51507.91708101494,-29797.408679175496,-21710.50840183944
IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,2022,market_regime,TRANSITION,SMV6,65453.099903856135,64710.1556137601,742.9442900960335
IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,2023,breadth_bucket,MAJORITY_POSITIVE_20D,SMV6,-142858.00617097414,-76835.10907183707,-66022.89709913707
IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,2023,breadth_bucket,MINORITY_POSITIVE_20D,SMV6,231102.0407804901,147222.42272739403,83879.61805309606
IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,2023,market_regime,BEAR,SMV6,-29539.03188857031,-6093.868231655657,-23445.163656914654
IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,2023,market_regime,BULL,SMV6,-141262.0491743661,-76300.35207522905,-64961.69709913706
IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,2023,market_regime,TRANSITION,SMV6,259045.11567245235,152781.53396244167,106263.58171001071
IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,2024,breadth_bucket,MAJORITY_POSITIVE_20D,SMV6,220647.6181099457,457842.5126481544,-237194.8945382087
IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,2024,breadth_bucket,MINORITY_POSITIVE_20D,SMV6,8215.364429992449,8990.903442342937,-775.5390123504867
IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,2024,market_regime,BEAR,SMV6,10094.228736491415,11888.50344234289,-1794.2747058514733
IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,2024,market_regime,BULL,SMV6,152350.24112967908,358760.0138870134,-206409.77275733434
IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,2024,market_regime,TRANSITION,SMV6,66418.51267376763,96184.898761141,-29766.38608737336
IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,2025,breadth_bucket,MAJORITY_POSITIVE_20D,SMV6,191400.09543715123,191213.34321809124,186.75221905999206
IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,2025,breadth_bucket,MINORITY_POSITIVE_20D,SMV6,247510.53695996662,192965.3424236401,54545.194536326526
IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,2025,market_regime,BEAR,SMV6,64515.10993029458,35106.803078128076,29408.306852166505
IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,2025,market_regime,BULL,SMV6,111163.00253170007,138918.52710218498,-27755.524570484926
IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,2025,market_regime,TRANSITION,SMV6,263232.5199351232,210153.35546141828,53079.16447370495
IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,2026,breadth_bucket,MAJORITY_POSITIVE_20D,SMV6,272021.108462057,269656.21909394435,2364.8893681126283
IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,2026,breadth_bucket,MINORITY_POSITIVE_20D,SMV6,353238.16620159225,352388.60632030416,849.5598812881069
IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,2026,market_regime,BEAR,SMV6,351150.3763123602,348804.2197061281,2346.156606232107
IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,2026,market_regime,BULL,SMV6,140437.9729236322,131547.56848212788,8890.404441504306
IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,2026,market_regime,TRANSITION,SMV6,133670.9254276568,141693.03722599248,-8022.111798335689
IFCGR,confirmation_tag,G50,FULL_BOOK_NORMALIZATION,2018,breadth_bucket,MAJORITY_POSITIVE_20D,SMV6,-20773.62761248611,-3188.358562542824,-17585.269049943287
IFCGR,confirmation_tag,G50,FULL_BOOK_NORMALIZATION,2018,breadth_bucket,MINORITY_POSITIVE_20D,SMV6,72922.51511455371,25226.107825385116,47696.40728916859
IFCGR,confirmation_tag,G50,FULL_BOOK_NORMALIZATION,2018,market_regime,BEAR,SMV6,72922.51511455371,25226.107825385116,47696.40728916859
IFCGR,confirmation_tag,G50,FULL_BOOK_NORMALIZATION,2018,market_regime,TRANSITION,SMV6,-20773.62761248611,-3188.358562542824,-17585.269049943287
IFCGR,confirmation_tag,G50,FULL_BOOK_NORMALIZATION,2019,breadth_bucket,MAJORITY_POSITIVE_20D,SMV6,257924.99433033855,50492.38753899986,207432.6067913387
IFCGR,confirmation_tag,G50,FULL_BOOK_NORMALIZATION,2019,breadth_bucket,MINORITY_POSITIVE_20D,SMV6,-114144.9420805331,-22587.281159499937,-91557.66092103317
