trade_date,cash,gross_exposure,nav,fees,max_security_exposure,virtual_nav,ATRDR_exposure,ATRDR_nav,MCB_exposure,MCB_nav,OGR_exposure,OGR_nav,SMV6_exposure,SMV6_nav,shared_exposure,gap,mcb_mode,target,mechanic,IFCGR_exposure,IFCGR_nav
2018-01-02,4629567.758958624,279137.2764331221,4908705.035391746,0.0,32135.19266262778,4908705.035391746,279137.2764331221,1595727.801372573,0.0,1312977.2340191728,0.0,1000000.0,0.0,1000000.0,0,OGR,independent,NATIVE,FULL_BOOK_NORMALIZATION,,
2018-01-03,4651034.00577438,258774.2042644216,4909808.210038802,43.01853069289703,31915.204508539227,4909808.210038801,258774.2042644216,1596830.9760196283,0.0,1312977.2340191728,0.0,1000000.0,0.0,1000000.0,0,OGR,independent,NATIVE,FULL_BOOK_NORMALIZATION,,
2018-01-04,4503810.6900505815,406713.0224173142,4910523.712467896,467.1409657408502,53542.39873170065,4910523.712467893,362790.36197592405,1597389.7258079688,43922.660441390115,1313133.9866599238,0.0,1000000.0,0.0,1000000.0,0,OGR,independent,NATIVE,FULL_BOOK_NORMALIZATION,,
2018-01-05,4326222.396478267,585076.7044085237,4911299.100886791,821.608617581796,53256.31111003517,4911299.100886789,541096.9383780904,1598108.0086378208,43979.766030433355,1313191.0922489672,0.0,1000000.0,0.0,1000000.0,0,OGR,independent,NATIVE,FULL_BOOK_NORMALIZATION,,
2018-01-08,4237441.340821432,670795.3432234828,4908236.684044914,998.8163135036237,52288.01454439817,4908236.684044912,627224.289995103,1595454.3045979978,43571.05322837981,1312782.3794469135,0.0,1000000.0,0.0,1000000.0,0,OGR,independent,NATIVE,FULL_BOOK_NORMALIZATION,,
2018-01-09,4237441.340821432,672983.2613160715,4910424.602137503,998.8163135036237,51847.87974183589,4910424.602137501,629735.6716903206,1597965.6862932155,43247.58962575093,1312458.9158442847,0.0,1000000.0,0.0,1000000.0,0,OGR,independent,NATIVE,FULL_BOOK_NORMALIZATION,,
2018-01-10,4207838.514996857,696842.4418156246,4904680.956812482,1057.903790199381,52376.04150491062,4904680.9568124795,653261.2386285482,1591888.4274068687,43581.20318707639,1312792.5294056102,0.0,1000000.0,0.0,1000000.0,0,OGR,independent,NATIVE,FULL_BOOK_NORMALIZATION,,
2018-01-11,4207838.514996857,700062.349098509,4907900.864095367,1057.903790199381,52155.97410362948,4907900.864095364,656194.8478834358,1594822.0366617562,43867.50121507314,1313078.8274336068,0.0,1000000.0,0.0,1000000.0,0,OGR,independent,NATIVE,FULL_BOOK_NORMALIZATION,,
2018-01-12,4207838.514996857,700589.2741848266,4908427.789181684,1057.903790199381,51759.85278132344,4908427.789181681,656743.098336643,1595370.2871149634,43846.17584818368,1313057.5020667175,0.0,1000000.0,0.0,1000000.0,0,OGR,independent,NATIVE,FULL_BOOK_NORMALIZATION,,
2018-01-15,3766255.6244023717,1129843.1778729628,4896098.8022753345,1275.5646235994893,503252.16536312836,4896098.802275333,583666.4260300974,1580988.6202052338,42924.58647973706,1312135.9126982708,0.0,1000000.0,503252.16536312836,1002974.2693718268,0,OGR,independent,NATIVE,FULL_BOOK_NORMALIZATION,,
