year,strategy,symbol,pnl_scaled,pnl_native,gap,mcb_mode,target,mechanic,incremental_pnl
2018,ATRDR,002262.SZ,-21.710500062252322,-118.15588394697988,IFCGR,confirmation_tag,G100,ENTRY_ONLY,96.44538388472756
2018,ATRDR,002277.SZ,393.2437037303753,143.34798632911406,IFCGR,confirmation_tag,G100,ENTRY_ONLY,249.8957174012612
2018,ATRDR,002283.SZ,0.0,187.20177736502592,IFCGR,confirmation_tag,G100,ENTRY_ONLY,-187.20177736502592
2018,ATRDR,002286.SZ,0.0,-673.1585605983892,IFCGR,confirmation_tag,G100,ENTRY_ONLY,673.1585605983892
2018,ATRDR,002287.SZ,0.0,5818.061701296021,IFCGR,confirmation_tag,G100,ENTRY_ONLY,-5818.061701296021
2018,ATRDR,002290.SZ,0.0,2899.960687991883,IFCGR,confirmation_tag,G100,ENTRY_ONLY,-2899.960687991883
2018,ATRDR,002293.SZ,12576.714423670492,2983.5256981301245,IFCGR,confirmation_tag,G100,ENTRY_ONLY,9593.188725540367
2018,ATRDR,002304.SZ,508.3654868777576,2766.696911538118,IFCGR,confirmation_tag,G100,ENTRY_ONLY,-2258.3314246603604
2018,ATRDR,002331.SZ,0.0,1897.8577671431267,IFCGR,confirmation_tag,G100,ENTRY_ONLY,-1897.8577671431267
2018,ATRDR,002349.SZ,-17155.133609926794,-1042.373874836332,IFCGR,confirmation_tag,G100,ENTRY_ONLY,-16112.759735090462
2018,ATRDR,002375.SZ,-6286.678314979319,-1710.9585573866461,IFCGR,confirmation_tag,G100,ENTRY_ONLY,-4575.719757592673
2018,ATRDR,002385.SZ,0.0,1093.1853752985808,IFCGR,confirmation_tag,G100,ENTRY_ONLY,-1093.1853752985808
2018,ATRDR,002396.SZ,0.0,-3212.7001108701006,IFCGR,confirmation_tag,G100,ENTRY_ONLY,3212.7001108701006
2018,ATRDR,002415.SZ,0.0,-4940.232143626334,IFCGR,confirmation_tag,G100,ENTRY_ONLY,4940.232143626334
2018,ATRDR,002421.SZ,0.0,-4197.964121956487,IFCGR,confirmation_tag,G100,ENTRY_ONLY,4197.964121956487
2018,ATRDR,002444.SZ,5833.751080805145,433.35844167627147,IFCGR,confirmation_tag,G100,ENTRY_ONLY,5400.392639128873
2018,ATRDR,002448.SZ,0.0,55.43674440776107,IFCGR,confirmation_tag,G100,ENTRY_ONLY,-55.43674440776107
2018,ATRDR,002458.SZ,0.0,-5671.153762889593,IFCGR,confirmation_tag,G100,ENTRY_ONLY,5671.153762889593
2018,ATRDR,002484.SZ,0.0,-2511.1826619233725,IFCGR,confirmation_tag,G100,ENTRY_ONLY,2511.1826619233725
2018,ATRDR,002492.SZ,0.0,1342.5109059970273,IFCGR,confirmation_tag,G100,ENTRY_ONLY,-1342.5109059970273
2018,ATRDR,002519.SZ,1525.1274935159017,546.2704882828257,IFCGR,confirmation_tag,G100,ENTRY_ONLY,978.857005233076
2018,ATRDR,002550.SZ,0.0,248.8804071632112,IFCGR,confirmation_tag,G100,ENTRY_ONLY,-248.8804071632112
2018,ATRDR,002631.SZ,0.0,2810.5049866221234,IFCGR,confirmation_tag,G100,ENTRY_ONLY,-2810.5049866221234
2018,ATRDR,002638.SZ,247.65041610869957,247.65041610869957,IFCGR,confirmation_tag,G100,ENTRY_ONLY,0.0
2018,ATRDR,002647.SZ,194704.0280961839,2869.696059591781,IFCGR,confirmation_tag,G100,ENTRY_ONLY,191834.33203659212
2018,ATRDR,002654.SZ,0.0,2899.9606879918865,IFCGR,confirmation_tag,G100,ENTRY_ONLY,-2899.9606879918865
2018,ATRDR,002658.SZ,109.06855244627286,933.7887772856739,IFCGR,confirmation_tag,G100,ENTRY_ONLY,-824.720224839401
2018,ATRDR,002674.SZ,1841.5226192066038,675.046832016742,IFCGR,confirmation_tag,G100,ENTRY_ONLY,1166.4757871898619
2018,ATRDR,002701.SZ,-31968.102136543777,-2374.7408371302226,IFCGR,confirmation_tag,G100,ENTRY_ONLY,-29593.361299413555
2018,ATRDR,002728.SZ,0.0,2899.960687991894,IFCGR,confirmation_tag,G100,ENTRY_ONLY,-2899.960687991894
2018,ATRDR,002732.SZ,-8008.179502455634,-594.8852019529586,IFCGR,confirmation_tag,G100,ENTRY_ONLY,-7413.2943005026755
2018,ATRDR,002768.SZ,1989.4658250445937,712.5872901049879,IFCGR,confirmation_tag,G100,ENTRY_ONLY,1276.8785349396057
2018,ATRDR,002793.SZ,0.0,-286.83527049499753,IFCGR,confirmation_tag,G100,ENTRY_ONLY,286.83527049499753
2018,ATRDR,002795.SZ,0.0,2806.8825352144086,IFCGR,confirmation_tag,G100,ENTRY_ONLY,-2806.8825352144086
2018,ATRDR,002799.SZ,0.0,2765.2027236245813,IFCGR,confirmation_tag,G100,ENTRY_ONLY,-2765.2027236245813
2018,ATRDR,002817.SZ,0.0,2853.028876014334,IFCGR,confirmation_tag,G100,ENTRY_ONLY,-2853.028876014334
2018,ATRDR,002829.SZ,0.0,2816.251537099961,IFCGR,confirmation_tag,G100,ENTRY_ONLY,-2816.251537099961
2018,ATRDR,002836.SZ,0.0,2806.882535214412,IFCGR,confirmation_tag,G100,ENTRY_ONLY,-2806.882535214412
2018,ATRDR,002861.SZ,0.0,-207.23903314198827,IFCGR,confirmation_tag,G100,ENTRY_ONLY,207.23903314198827
2018,ATRDR,002863.SZ,0.0,2830.2901337267795,IFCGR,confirmation_tag,G100,ENTRY_ONLY,-2830.2901337267795
2018,ATRDR,002868.SZ,0.0,2899.96068799189,IFCGR,confirmation_tag,G100,ENTRY_ONLY,-2899.96068799189
2018,ATRDR,002876.SZ,8271.933115483,3015.343777675829,IFCGR,confirmation_tag,G100,ENTRY_ONLY,5256.5893378071705
2018,ATRDR,002880.SZ,0.0,318.31044073594603,IFCGR,confirmation_tag,G100,ENTRY_ONLY,-318.31044073594603
2018,ATRDR,002897.SZ,0.0,-1817.1213822245081,IFCGR,confirmation_tag,G100,ENTRY_ONLY,1817.1213822245081
2018,ATRDR,002901.SZ,0.0,2820.220991822178,IFCGR,confirmation_tag,G100,ENTRY_ONLY,-2820.220991822178
2018,ATRDR,002902.SZ,0.0,2820.2209918221815,IFCGR,confirmation_tag,G100,ENTRY_ONLY,-2820.2209918221815
2018,ATRDR,300005.SZ,-1499.241116765843,-408.02778348057836,IFCGR,confirmation_tag,G100,ENTRY_ONLY,-1091.2133332852645
2018,ATRDR,300007.SZ,0.0,352.10974231965156,IFCGR,confirmation_tag,G100,ENTRY_ONLY,-352.10974231965156
2018,ATRDR,300008.SZ,-18918.37114307366,-1149.5110607932875,IFCGR,confirmation_tag,G100,ENTRY_ONLY,-17768.86008228037
2018,ATRDR,300011.SZ,0.0,-3367.105672850663,IFCGR,confirmation_tag,G100,ENTRY_ONLY,3367.105672850663
2018,ATRDR,300012.SZ,-547.0078511980537,-148.87158481371807,IFCGR,confirmation_tag,G100,ENTRY_ONLY,-398.1362663843356
2018,ATRDR,300017.SZ,-1366.6835926820058,-324.21310388548955,IFCGR,confirmation_tag,G100,ENTRY_ONLY,-1042.4704887965163
2018,ATRDR,300020.SZ,0.0,2293.1250013149147,IFCGR,confirmation_tag,G100,ENTRY_ONLY,-2293.1250013149147
2018,ATRDR,300034.SZ,0.0,2916.998892706273,IFCGR,confirmation_tag,G100,ENTRY_ONLY,-2916.998892706273
2018,ATRDR,300045.SZ,-8116.556386340802,-437.91265346713044,IFCGR,confirmation_tag,G100,ENTRY_ONLY,-7678.643732873672
