gap,mcb_mode,target,mechanic,state_family,state,discovery_pnl,confirmation_pnl,diagnostic_pnl,all_blocks_unit_return_increment_positive,all_leave_year_directions_positive,both_historical_blocks_positive_ex_top5,both_historical_blocks_positive_ex_best5_dates,numerical_stability_gate,qualification
IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,market_regime,BEAR,977280.5403525736,223971.3322857581,-1211491.5905207703,False,True,False,False,FAIL,FAIL_STABILITY_OR_EVENT_CONCENTRATION
IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,market_regime,BULL,51418.88983658701,-40188.733237248845,-610083.9893458802,False,False,False,False,FAIL,FAIL_STABILITY_OR_EVENT_CONCENTRATION
IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,market_regime,TRANSITION,680353.8985205293,557511.8755361522,-409964.1250854591,False,True,False,True,FAIL,FAIL_STABILITY_OR_EVENT_CONCENTRATION
IFCGR,independent,G25,FULL_BOOK_NORMALIZATION,market_regime,BEAR,967372.597295301,255839.49849988334,-1142946.8476520805,False,True,False,False,FAIL,FAIL_STABILITY_OR_EVENT_CONCENTRATION
IFCGR,independent,G25,FULL_BOOK_NORMALIZATION,market_regime,BULL,-232496.92530428153,-43482.2239637617,-768535.8484872263,False,False,False,False,FAIL,FAIL_STABILITY_OR_EVENT_CONCENTRATION
IFCGR,independent,G25,FULL_BOOK_NORMALIZATION,market_regime,TRANSITION,662215.6909261746,542529.9292289438,-483372.37700388953,False,True,False,True,FAIL,FAIL_STABILITY_OR_EVENT_CONCENTRATION
OGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,market_regime,BEAR,992220.0171831818,225480.21388774924,-1094677.785509929,False,True,False,False,FAIL,FAIL_STABILITY_OR_EVENT_CONCENTRATION
OGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,market_regime,BULL,54770.583732003346,-39687.59377841372,-595080.712891777,False,False,False,False,FAIL,FAIL_STABILITY_OR_EVENT_CONCENTRATION
OGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,market_regime,TRANSITION,694810.2767408257,561685.9215811966,-411483.0452466747,False,True,False,True,FAIL,FAIL_STABILITY_OR_EVENT_CONCENTRATION
OGR,independent,G25,FULL_BOOK_NORMALIZATION,market_regime,BEAR,680251.0069937306,240263.05857536104,-1015127.2356833778,False,False,False,False,FAIL,FAIL_STABILITY_OR_EVENT_CONCENTRATION
OGR,independent,G25,FULL_BOOK_NORMALIZATION,market_regime,BULL,-243099.5856371103,-45616.84747018479,-771013.613168777,False,False,False,False,FAIL,FAIL_STABILITY_OR_EVENT_CONCENTRATION
OGR,independent,G25,FULL_BOOK_NORMALIZATION,market_regime,TRANSITION,653757.1467630714,509217.74364262633,-501620.49192561023,False,True,False,False,FAIL,FAIL_STABILITY_OR_EVENT_CONCENTRATION
IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,breadth_bucket,MAJORITY_POSITIVE_20D,283443.07176557276,147606.46210787166,-1202333.0823927075,False,False,False,False,FAIL,FAIL_STABILITY_OR_EVENT_CONCENTRATION
IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,breadth_bucket,MINORITY_POSITIVE_20D,1425610.2569441171,593688.0124767898,-1029206.6225594021,False,True,False,False,FAIL,FAIL_STABILITY_OR_EVENT_CONCENTRATION
IFCGR,independent,G25,FULL_BOOK_NORMALIZATION,breadth_bucket,MAJORITY_POSITIVE_20D,-12124.988090604544,129083.30494961236,-1464410.9392688526,False,False,False,False,FAIL,FAIL_STABILITY_OR_EVENT_CONCENTRATION
IFCGR,independent,G25,FULL_BOOK_NORMALIZATION,breadth_bucket,MINORITY_POSITIVE_20D,1409216.3510077987,625803.898815453,-930444.1338743437,False,True,False,False,FAIL,FAIL_STABILITY_OR_EVENT_CONCENTRATION
OGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,breadth_bucket,MAJORITY_POSITIVE_20D,299457.1402310496,150080.79649717454,-1185938.6338660624,False,False,False,False,FAIL,FAIL_STABILITY_OR_EVENT_CONCENTRATION
OGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,breadth_bucket,MINORITY_POSITIVE_20D,1442343.7374249613,597397.7451933576,-915302.9097823184,False,True,False,False,FAIL,FAIL_STABILITY_OR_EVENT_CONCENTRATION
OGR,independent,G25,FULL_BOOK_NORMALIZATION,breadth_bucket,MAJORITY_POSITIVE_20D,-23997.227982701734,110609.43486075848,-1472899.6426972533,False,False,False,False,FAIL,FAIL_STABILITY_OR_EVENT_CONCENTRATION
OGR,independent,G25,FULL_BOOK_NORMALIZATION,breadth_bucket,MINORITY_POSITIVE_20D,1114905.7961023934,593254.5198870441,-814861.6980805118,False,True,False,False,FAIL,FAIL_STABILITY_OR_EVENT_CONCENTRATION
