gap,mcb_mode,target,mechanic,year,strategy,route,state_family,state,capital_days
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2018,ATRDR,BULL,breadth_bucket,MAJORITY_POSITIVE_20D,239716880.3962087
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2018,ATRDR,BULL,breadth_bucket,MINORITY_POSITIVE_20D,282052056.48674107
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2018,ATRDR,BULL,market_regime,BEAR,282052056.48674107
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2018,ATRDR,BULL,market_regime,BULL,28329111.133231055
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2018,ATRDR,BULL,market_regime,TRANSITION,211387769.26297763
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2018,ATRDR,SLOW_BEAR,breadth_bucket,MAJORITY_POSITIVE_20D,188403998.735197
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2018,ATRDR,SLOW_BEAR,breadth_bucket,MINORITY_POSITIVE_20D,621878770.0301319
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2018,ATRDR,SLOW_BEAR,market_regime,BEAR,594948239.735085
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2018,ATRDR,SLOW_BEAR,market_regime,BULL,25240536.904710226
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2018,ATRDR,SLOW_BEAR,market_regime,TRANSITION,190093992.12553376
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2018,IFCGR,FIXED_BELOW_L_REPAIR,breadth_bucket,MAJORITY_POSITIVE_20D,14845764.286871344
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2018,IFCGR,FIXED_BELOW_L_REPAIR,breadth_bucket,MINORITY_POSITIVE_20D,61617535.46999907
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2018,IFCGR,FIXED_BELOW_L_REPAIR,market_regime,BEAR,59119921.046216525
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2018,IFCGR,FIXED_BELOW_L_REPAIR,market_regime,BULL,1890670.1029452954
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2018,IFCGR,FIXED_BELOW_L_REPAIR,market_regime,TRANSITION,15452708.607708592
