gap,mcb_mode,target,mechanic,year,strategy,category,pnl
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2018,ATRDR,EXISTING_POSITION_INCREASE,-35738.96200014986
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2018,ATRDR,INHERITED_POSITION,-18.705267697794625
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2018,ATRDR,NEW_ENTRY_INCREASE,322339.02322264045
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2018,IFCGR,EXISTING_POSITION_INCREASE,-5098.92999280439
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2018,IFCGR,NEW_ENTRY_INCREASE,148353.1545702666
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2018,MCB,EXISTING_POSITION_INCREASE,18012.013961628
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2018,MCB,NEW_ENTRY_INCREASE,50656.51313143258
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2018,SMV6,EXISTING_POSITION_INCREASE,-8980.2170276018
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2018,SMV6,NEW_ENTRY_INCREASE,98116.59690184519
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2019,ATRDR,EXISTING_POSITION_INCREASE,222778.56423813227
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2019,ATRDR,NEW_ENTRY_INCREASE,1562434.0549990204
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2019,IFCGR,EXISTING_POSITION_INCREASE,157445.20472515086
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2019,IFCGR,NEW_ENTRY_INCREASE,-118327.435103144
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2019,MCB,EXISTING_POSITION_INCREASE,38996.475935089446
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2019,MCB,NEW_ENTRY_INCREASE,70861.95791958157
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2019,SMV6,EXISTING_POSITION_INCREASE,103924.84534618346
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2019,SMV6,NEW_ENTRY_INCREASE,42898.152444338746
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2020,ATRDR,EXISTING_POSITION_INCREASE,3164625.9674483803
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2020,ATRDR,NEW_ENTRY_INCREASE,644632.9277075639
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2020,IFCGR,EXISTING_POSITION_INCREASE,921778.1457817886
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2020,IFCGR,NEW_ENTRY_INCREASE,67441.70097019136
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2020,MCB,EXISTING_POSITION_INCREASE,-3605.6424693920744
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2020,MCB,NEW_ENTRY_INCREASE,87357.00774873846
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2020,SMV6,EXISTING_POSITION_INCREASE,274247.4873293386
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2020,SMV6,NEW_ENTRY_INCREASE,-197516.39763639026
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2021,ATRDR,EXISTING_POSITION_INCREASE,1662574.6263122754
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2021,ATRDR,NEW_ENTRY_INCREASE,11286257.476448052
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2021,IFCGR,EXISTING_POSITION_INCREASE,2114656.783109775
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2021,IFCGR,NEW_ENTRY_INCREASE,716959.5732321201
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2021,MCB,EXISTING_POSITION_INCREASE,-52386.58984906738
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2021,MCB,NEW_ENTRY_INCREASE,-89224.69297676788
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2021,SMV6,EXISTING_POSITION_INCREASE,174174.3953798
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2021,SMV6,NEW_ENTRY_INCREASE,104320.17641825153
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2022,ATRDR,EXISTING_POSITION_INCREASE,7053036.172212833
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2022,ATRDR,NEW_ENTRY_INCREASE,857871.8932167315
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2022,IFCGR,EXISTING_POSITION_INCREASE,1326.4129106362284
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2022,IFCGR,NEW_ENTRY_INCREASE,-438741.1717444027
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2022,MCB,EXISTING_POSITION_INCREASE,15121.181718649757
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2022,MCB,NEW_ENTRY_INCREASE,111277.68194334987
