year,state,capital_days,state_family,gap,mcb_mode,target,mechanic
2019,BEAR,145814208.35048786,market_regime,OGR,independent,G25,FULL_BOOK_NORMALIZATION
2019,BULL,120022848.50822793,market_regime,OGR,independent,G25,FULL_BOOK_NORMALIZATION
2019,TRANSITION,146794378.72611955,market_regime,OGR,independent,G25,FULL_BOOK_NORMALIZATION
2020,BEAR,170062386.98537,market_regime,OGR,independent,G25,FULL_BOOK_NORMALIZATION
2020,BULL,188683259.48660323,market_regime,OGR,independent,G25,FULL_BOOK_NORMALIZATION
2020,TRANSITION,107830391.09321222,market_regime,OGR,independent,G25,FULL_BOOK_NORMALIZATION
2021,BEAR,155384841.55246276,market_regime,OGR,independent,G25,FULL_BOOK_NORMALIZATION
2021,BULL,143300416.72117764,market_regime,OGR,independent,G25,FULL_BOOK_NORMALIZATION
2021,TRANSITION,198603212.54564568,market_regime,OGR,independent,G25,FULL_BOOK_NORMALIZATION
2022,BEAR,281385486.566331,market_regime,OGR,independent,G25,FULL_BOOK_NORMALIZATION
2022,BULL,99673639.64247324,market_regime,OGR,independent,G25,FULL_BOOK_NORMALIZATION
2022,TRANSITION,280904638.4598325,market_regime,OGR,independent,G25,FULL_BOOK_NORMALIZATION
2023,BEAR,226427970.5889447,market_regime,OGR,independent,G25,FULL_BOOK_NORMALIZATION
2023,BULL,179395986.9260341,market_regime,OGR,independent,G25,FULL_BOOK_NORMALIZATION
2023,TRANSITION,235305505.00679803,market_regime,OGR,independent,G25,FULL_BOOK_NORMALIZATION
2024,BEAR,320662351.75545865,market_regime,OGR,independent,G25,FULL_BOOK_NORMALIZATION
2024,BULL,189854511.5027075,market_regime,OGR,independent,G25,FULL_BOOK_NORMALIZATION
2024,TRANSITION,151844126.63111535,market_regime,OGR,independent,G25,FULL_BOOK_NORMALIZATION
2025,BEAR,180462727.67497602,market_regime,OGR,independent,G25,FULL_BOOK_NORMALIZATION
2025,BULL,254768425.2356377,market_regime,OGR,independent,G25,FULL_BOOK_NORMALIZATION
2025,TRANSITION,324410708.1928143,market_regime,OGR,independent,G25,FULL_BOOK_NORMALIZATION
2026,BEAR,241073466.00327975,market_regime,OGR,independent,G25,FULL_BOOK_NORMALIZATION
2026,BULL,79261086.66818254,market_regime,OGR,independent,G25,FULL_BOOK_NORMALIZATION
2026,TRANSITION,218277111.2776445,market_regime,OGR,independent,G25,FULL_BOOK_NORMALIZATION
2018,MAJORITY_POSITIVE_20D,126278399.02184227,breadth_bucket,OGR,independent,G25,FULL_BOOK_NORMALIZATION
2018,MINORITY_POSITIVE_20D,251632055.09425125,breadth_bucket,OGR,independent,G25,FULL_BOOK_NORMALIZATION
2019,MAJORITY_POSITIVE_20D,217057950.65189645,breadth_bucket,OGR,independent,G25,FULL_BOOK_NORMALIZATION
2019,MINORITY_POSITIVE_20D,195573484.9329389,breadth_bucket,OGR,independent,G25,FULL_BOOK_NORMALIZATION
2020,MAJORITY_POSITIVE_20D,246712035.58021417,breadth_bucket,OGR,independent,G25,FULL_BOOK_NORMALIZATION
2020,MINORITY_POSITIVE_20D,219864001.98497128,breadth_bucket,OGR,independent,G25,FULL_BOOK_NORMALIZATION
2021,MAJORITY_POSITIVE_20D,276096188.0304077,breadth_bucket,OGR,independent,G25,FULL_BOOK_NORMALIZATION
2021,MINORITY_POSITIVE_20D,221192282.78887835,breadth_bucket,OGR,independent,G25,FULL_BOOK_NORMALIZATION
2022,MAJORITY_POSITIVE_20D,289385547.89648455,breadth_bucket,OGR,independent,G25,FULL_BOOK_NORMALIZATION
2022,MINORITY_POSITIVE_20D,372578216.7721522,breadth_bucket,OGR,independent,G25,FULL_BOOK_NORMALIZATION
2023,MAJORITY_POSITIVE_20D,309451391.90565234,breadth_bucket,OGR,independent,G25,FULL_BOOK_NORMALIZATION
2023,MINORITY_POSITIVE_20D,331678070.61612445,breadth_bucket,OGR,independent,G25,FULL_BOOK_NORMALIZATION
2024,MAJORITY_POSITIVE_20D,303739346.3302154,breadth_bucket,OGR,independent,G25,FULL_BOOK_NORMALIZATION
2024,MINORITY_POSITIVE_20D,358621643.5590661,breadth_bucket,OGR,independent,G25,FULL_BOOK_NORMALIZATION
2025,MAJORITY_POSITIVE_20D,428997206.75822794,breadth_bucket,OGR,independent,G25,FULL_BOOK_NORMALIZATION
2025,MINORITY_POSITIVE_20D,330644654.34520006,breadth_bucket,OGR,independent,G25,FULL_BOOK_NORMALIZATION
2026,MAJORITY_POSITIVE_20D,238785695.63649276,breadth_bucket,OGR,independent,G25,FULL_BOOK_NORMALIZATION
2026,MINORITY_POSITIVE_20D,299825968.312614,breadth_bucket,OGR,independent,G25,FULL_BOOK_NORMALIZATION
2018,BEAR,490037488.4817729,market_regime,OGR,independent,G50,FULL_BOOK_NORMALIZATION
2018,BULL,29321409.870118707,market_regime,OGR,independent,G50,FULL_BOOK_NORMALIZATION
2018,TRANSITION,241532699.82102263,market_regime,OGR,independent,G50,FULL_BOOK_NORMALIZATION
2019,BEAR,322052107.7815582,market_regime,OGR,independent,G50,FULL_BOOK_NORMALIZATION
2019,BULL,248134757.32133502,market_regime,OGR,independent,G50,FULL_BOOK_NORMALIZATION
2019,TRANSITION,316856412.6944178,market_regime,OGR,independent,G50,FULL_BOOK_NORMALIZATION
2020,BEAR,412706186.76104397,market_regime,OGR,independent,G50,FULL_BOOK_NORMALIZATION
2020,BULL,470598171.1864513,market_regime,OGR,independent,G50,FULL_BOOK_NORMALIZATION
2020,TRANSITION,261147943.6526962,market_regime,OGR,independent,G50,FULL_BOOK_NORMALIZATION
2021,BEAR,401179719.43168634,market_regime,OGR,independent,G50,FULL_BOOK_NORMALIZATION
2021,BULL,397625229.04637164,market_regime,OGR,independent,G50,FULL_BOOK_NORMALIZATION
2021,TRANSITION,544998158.3987423,market_regime,OGR,independent,G50,FULL_BOOK_NORMALIZATION
2022,BEAR,897343776.8252693,market_regime,OGR,independent,G50,FULL_BOOK_NORMALIZATION
2022,BULL,307302605.61488104,market_regime,OGR,independent,G50,FULL_BOOK_NORMALIZATION
2022,TRANSITION,897446882.6836357,market_regime,OGR,independent,G50,FULL_BOOK_NORMALIZATION
2023,BEAR,796352241.7052854,market_regime,OGR,independent,G50,FULL_BOOK_NORMALIZATION
2023,BULL,604151888.5319327,market_regime,OGR,independent,G50,FULL_BOOK_NORMALIZATION
2023,TRANSITION,749725399.7259718,market_regime,OGR,independent,G50,FULL_BOOK_NORMALIZATION
2024,BEAR,1085356213.0829093,market_regime,OGR,independent,G50,FULL_BOOK_NORMALIZATION
2024,BULL,663986644.9047982,market_regime,OGR,independent,G50,FULL_BOOK_NORMALIZATION
2024,TRANSITION,527206578.8794016,market_regime,OGR,independent,G50,FULL_BOOK_NORMALIZATION
2025,BEAR,652667976.4176812,market_regime,OGR,independent,G50,FULL_BOOK_NORMALIZATION
2025,BULL,927315864.6279399,market_regime,OGR,independent,G50,FULL_BOOK_NORMALIZATION
2025,TRANSITION,1175660600.7411232,market_regime,OGR,independent,G50,FULL_BOOK_NORMALIZATION
2026,BEAR,951302073.6926317,market_regime,OGR,independent,G50,FULL_BOOK_NORMALIZATION
2026,BULL,304152083.8205791,market_regime,OGR,independent,G50,FULL_BOOK_NORMALIZATION
2026,TRANSITION,860139797.0725386,market_regime,OGR,independent,G50,FULL_BOOK_NORMALIZATION
2018,MAJORITY_POSITIVE_20D,256476591.91200423,breadth_bucket,OGR,independent,G50,FULL_BOOK_NORMALIZATION
2018,MINORITY_POSITIVE_20D,504415006.26091003,breadth_bucket,OGR,independent,G50,FULL_BOOK_NORMALIZATION
2019,MAJORITY_POSITIVE_20D,456510330.604329,breadth_bucket,OGR,independent,G50,FULL_BOOK_NORMALIZATION
2019,MINORITY_POSITIVE_20D,430532947.192982,breadth_bucket,OGR,independent,G50,FULL_BOOK_NORMALIZATION
2020,MAJORITY_POSITIVE_20D,609499755.7493328,breadth_bucket,OGR,independent,G50,FULL_BOOK_NORMALIZATION
2020,MINORITY_POSITIVE_20D,534952545.85085875,breadth_bucket,OGR,independent,G50,FULL_BOOK_NORMALIZATION
2021,MAJORITY_POSITIVE_20D,767418138.6571795,breadth_bucket,OGR,independent,G50,FULL_BOOK_NORMALIZATION
2021,MINORITY_POSITIVE_20D,576384968.2196208,breadth_bucket,OGR,independent,G50,FULL_BOOK_NORMALIZATION
2022,MAJORITY_POSITIVE_20D,915166560.7052387,breadth_bucket,OGR,independent,G50,FULL_BOOK_NORMALIZATION
2022,MINORITY_POSITIVE_20D,1186926704.4185476,breadth_bucket,OGR,independent,G50,FULL_BOOK_NORMALIZATION
2023,MAJORITY_POSITIVE_20D,1055853904.3280876,breadth_bucket,OGR,independent,G50,FULL_BOOK_NORMALIZATION
