gap,mcb_mode,target,mechanic,year,state_family,state,family,pnl_scaled,pnl_native,incremental_pnl
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2024,market_regime,BEAR,IFCGR,-9629911.686844341,33171.66261612264,-9663083.349460464
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2024,market_regime,BULL,IFCGR,-10196.10100017365,-936.1405638393571,-9259.960436334291
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2024,market_regime,TRANSITION,IFCGR,-221529.62448727072,-3094.8142792900526,-218434.81020798068
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2025,breadth_bucket,MAJORITY_POSITIVE_20D,IFCGR,801063.3535203731,-299.7343664000646,801363.0878867732
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2025,breadth_bucket,MINORITY_POSITIVE_20D,IFCGR,7391449.580795121,7043.715452151743,7384405.86534297
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2025,market_regime,BEAR,IFCGR,2147852.1689194366,-832.7492590912598,2148684.918178528
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2025,market_regime,BULL,IFCGR,781007.5265414347,-309.53254247673976,781317.0590839116
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2025,market_regime,TRANSITION,IFCGR,5263653.238854623,7886.262887319678,5255766.975967304
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2026,breadth_bucket,MAJORITY_POSITIVE_20D,IFCGR,203702.24105411491,3965.7836989649877,199736.4573551499
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2026,breadth_bucket,MINORITY_POSITIVE_20D,IFCGR,-5221880.089057308,8177.840282613553,-5230057.929339921
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2026,market_regime,BEAR,IFCGR,-5221880.089057308,8177.840282613553,-5230057.929339921
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2026,market_regime,TRANSITION,IFCGR,203702.24105411491,3965.7836989649877,199736.4573551499
IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,2018,breadth_bucket,MAJORITY_POSITIVE_20D,IFCGR,8229.333585744142,26968.90892761915,-18739.57534187501
IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,2018,breadth_bucket,MINORITY_POSITIVE_20D,IFCGR,28133.40456903464,60491.86291178117,-32358.458342746537
IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,2018,market_regime,BEAR,IFCGR,29304.23470127615,60672.246387089544,-31368.0116858134
IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,2018,market_regime,BULL,IFCGR,475.5487972482406,31.139446682386733,444.40935056585374
IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,2018,market_regime,TRANSITION,IFCGR,6582.954656254392,26757.386005628392,-20174.431349374
IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,2019,breadth_bucket,MAJORITY_POSITIVE_20D,IFCGR,-43139.16102621506,2011.429013228053,-45150.59003944311
IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,2019,breadth_bucket,MINORITY_POSITIVE_20D,IFCGR,46783.44286365178,5719.454560632315,41063.988303019454
IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,2019,market_regime,BEAR,IFCGR,124262.0329181769,7990.459218186068,116271.57369999083
IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,2019,market_regime,BULL,IFCGR,-35082.25413483454,1148.2655133563076,-36230.51964819084
IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,2019,market_regime,TRANSITION,IFCGR,-85535.49694590564,-1407.8411576820072,-84127.65578822364
IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,2020,breadth_bucket,MAJORITY_POSITIVE_20D,IFCGR,64198.49628193097,1852.6389490154415,62345.857332915526
IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,2020,breadth_bucket,MINORITY_POSITIVE_20D,IFCGR,91060.58408018402,2350.301995036237,88710.28208514779
IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,2020,market_regime,BEAR,IFCGR,80917.13354777644,338.70598669144414,80578.42756108499
IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,2020,market_regime,BULL,IFCGR,11090.462119019605,1252.1177956503798,9838.344323369227
IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,2020,market_regime,TRANSITION,IFCGR,63251.48469531895,2612.1171617098544,60639.36753360909
