gap,mcb_mode,target,mechanic,root_count,max_abs_difference,total_capital_days,status
OGR,independent,NATIVE,FULL_BOOK_NORMALIZATION,3830,2.3283064365386963e-10,3555820493.568298,PASS
OGR,independent,G25,FULL_BOOK_NORMALIZATION,3435,1.862645149230957e-09,5018114140.21763,PASS
OGR,independent,G50,FULL_BOOK_NORMALIZATION,3452,7.450580596923828e-09,15536300912.773796,PASS
OGR,independent,G75,FULL_BOOK_NORMALIZATION,3462,7.450580596923828e-09,36866928352.16196,PASS
OGR,independent,G100,FULL_BOOK_NORMALIZATION,3450,5.960464477539063e-08,73039138440.7961,PASS
OGR,confirmation_tag,NATIVE,FULL_BOOK_NORMALIZATION,3164,2.3283064365386963e-10,3130218188.5936875,PASS
OGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,2665,2.3283064365386963e-10,5106019215.827964,PASS
OGR,confirmation_tag,G50,FULL_BOOK_NORMALIZATION,2676,7.450580596923828e-09,15103305168.586052,PASS
OGR,confirmation_tag,G75,FULL_BOOK_NORMALIZATION,2687,7.450580596923828e-09,34313210044.02599,PASS
OGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2685,1.1920928955078125e-07,75664497567.53351,PASS
IFCGR,independent,NATIVE,FULL_BOOK_NORMALIZATION,3815,2.3283064365386963e-10,3554117076.018458,PASS
IFCGR,independent,G25,FULL_BOOK_NORMALIZATION,3428,7.450580596923828e-09,5169855594.706703,PASS
IFCGR,independent,G50,FULL_BOOK_NORMALIZATION,3445,1.4901161193847656e-08,15420668108.76501,PASS
IFCGR,independent,G75,FULL_BOOK_NORMALIZATION,3456,7.450580596923828e-09,36468947622.40097,PASS
IFCGR,independent,G100,FULL_BOOK_NORMALIZATION,3448,1.1920928955078125e-07,72144440560.64389,PASS
IFCGR,confirmation_tag,NATIVE,FULL_BOOK_NORMALIZATION,3149,2.3283064365386963e-10,3128514771.0438294,PASS
IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,2658,1.862645149230957e-09,5097620939.885794,PASS
IFCGR,confirmation_tag,G50,FULL_BOOK_NORMALIZATION,2669,7.450580596923828e-09,14987176253.621782,PASS
IFCGR,confirmation_tag,G75,FULL_BOOK_NORMALIZATION,2680,7.450580596923828e-09,33938510298.97076,PASS
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2679,1.1920928955078125e-07,75026872361.37584,PASS
