gap,mcb_mode,target,mechanic,year,state,strategy,route,pnl_scaled,pnl_native,incremental_pnl,state_family
OGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2025,MINORITY_POSITIVE_20D,OGR,FIXED_BELOW_L_REPAIR,7614425.173163273,6466.976243412008,7607958.19691986,breadth_bucket
OGR,independent,G100,FULL_BOOK_NORMALIZATION,2025,MINORITY_POSITIVE_20D,OGR,FIXED_BELOW_L_REPAIR,7391315.446044818,6466.976243412004,7384848.469801405,breadth_bucket
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2025,MINORITY_POSITIVE_20D,IFCGR,FIXED_BELOW_L_REPAIR,7391449.580795121,7043.715452151743,7384405.86534297,breadth_bucket
IFCGR,independent,G100,FULL_BOOK_NORMALIZATION,2025,MINORITY_POSITIVE_20D,IFCGR,FIXED_BELOW_L_REPAIR,7099660.181928713,7043.715452151753,7092616.4664765615,breadth_bucket
OGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2025,TRANSITION,SMV6,NATIVE_CALLBACK,5517189.727558891,210153.35546141828,5307036.372097474,market_regime
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2025,TRANSITION,IFCGR,FIXED_BELOW_L_REPAIR,5263653.238854623,7886.262887319678,5255766.975967304,market_regime
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2025,TRANSITION,SMV6,NATIVE_CALLBACK,5430596.947294165,210153.35546141828,5220443.591832748,market_regime
OGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2025,TRANSITION,OGR,FIXED_BELOW_L_REPAIR,5221142.650040254,9019.884791665221,5212122.765248589,market_regime
OGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2025,BEAR,ATRDR,BULL,5153089.094484473,33013.319480235376,5120075.775004238,market_regime
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2025,BEAR,ATRDR,BULL,5107127.216585662,33013.31948023532,5074113.8971054265,market_regime
OGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2025,TRANSITION,ATRDR,SLOW_BEAR,5065226.190701533,18384.594092157065,5046841.596609376,market_regime
OGR,independent,G100,FULL_BOOK_NORMALIZATION,2025,TRANSITION,OGR,FIXED_BELOW_L_REPAIR,5053168.741978499,9019.884791665212,5044148.857186834,market_regime
IFCGR,independent,G100,FULL_BOOK_NORMALIZATION,2025,TRANSITION,IFCGR,FIXED_BELOW_L_REPAIR,5044659.777627826,7886.26288731969,5036773.514740506,market_regime
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2025,TRANSITION,ATRDR,SLOW_BEAR,5007469.002434973,18384.594092157065,4989084.408342816,market_regime
OGR,independent,G100,FULL_BOOK_NORMALIZATION,2025,TRANSITION,SMV6,NATIVE_CALLBACK,5161075.712392586,210153.35546141828,4950922.356931169,market_regime
OGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2025,MINORITY_POSITIVE_20D,SMV6,NATIVE_CALLBACK,5078650.338974822,192965.3424236401,4885684.996551182,breadth_bucket
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2025,MINORITY_POSITIVE_20D,SMV6,NATIVE_CALLBACK,5011188.276732237,192965.3424236401,4818222.934308597,breadth_bucket
IFCGR,independent,G100,FULL_BOOK_NORMALIZATION,2025,TRANSITION,SMV6,NATIVE_CALLBACK,4992355.797916666,210153.35546141828,4782202.442455247,market_regime
OGR,independent,G100,FULL_BOOK_NORMALIZATION,2025,TRANSITION,ATRDR,SLOW_BEAR,4634711.903864393,18384.59409215708,4616327.309772236,market_regime
IFCGR,independent,G100,FULL_BOOK_NORMALIZATION,2025,TRANSITION,ATRDR,SLOW_BEAR,4608450.133379107,18384.59409215722,4590065.539286951,market_regime
OGR,independent,G100,FULL_BOOK_NORMALIZATION,2025,MINORITY_POSITIVE_20D,SMV6,NATIVE_CALLBACK,4781226.689340181,192965.3424236401,4588261.3469165405,breadth_bucket
