gap,mcb_mode,target,mechanic,year,state_family,state,family,pnl_scaled,pnl_native,incremental_pnl,average_Demand_gross,max_Demand_gross,mean_overlap_names,max_overlap_names,max_Demand_single_name
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2018,breadth_bucket,MAJORITY_POSITIVE_20D,DEMAND,206794.17172439303,117047.0404562752,89747.13126811796,0.8584467657681744,0.9999999999999994,0.0,0,0.29953121384954157
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2018,breadth_bucket,MINORITY_POSITIVE_20D,DEMAND,148455.71132346036,137589.66132088465,10866.05000257567,0.7222525162952431,0.9999999999999998,0.0,0,0.9999999999999993
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2018,market_regime,BEAR,DEMAND,195539.47717855772,139083.022293283,56456.45488527469,0.7250618766412773,0.9999999999999998,0.0,0,0.9999999999999993
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2018,market_regime,BULL,DEMAND,-162205.93212176702,-55657.5692942117,-106548.36282755532,0.8116649907277063,0.9573284062116504,0.0,0,0.2107566293024595
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2018,market_regime,TRANSITION,DEMAND,321916.3379910628,171211.24877808854,150705.08921297424,0.8469142874419393,0.9999999999999994,0.0,0,0.29953121384954157
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2019,breadth_bucket,MAJORITY_POSITIVE_20D,DEMAND,575009.9382371248,317623.4545997997,257386.48363732503,0.4639885862745869,0.9999999999999992,0.0,0,0.5155731741548887
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2019,breadth_bucket,MINORITY_POSITIVE_20D,DEMAND,1320061.1148546992,16392.75811021465,1303668.3567444845,0.5929288936608748,0.9999999999999999,0.0,0,0.9999999999999993
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2019,market_regime,BEAR,DEMAND,533392.8536803855,10636.921115727531,522755.9325646581,0.7313784999809295,0.9999999999999999,0.0,0,0.9999999999999993
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2019,market_regime,BULL,DEMAND,1151481.9264813005,440990.1732513738,710491.7532299265,0.31910180771949054,0.9999999999999984,0.0,0,0.5155731741548887
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2019,market_regime,TRANSITION,DEMAND,210196.27293013793,-117610.881657087,327807.15458722494,0.5081703619898318,0.9999999999999992,0.0,0,0.9077433565466284
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2020,breadth_bucket,MAJORITY_POSITIVE_20D,DEMAND,2270892.532542672,242008.77086626863,2028883.7616764037,0.665247154332687,0.9999999999999991,0.0,0,0.9425769573319501
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2020,breadth_bucket,MINORITY_POSITIVE_20D,DEMAND,1622117.7278926186,12417.986728000496,1609699.741164618,0.6805278249561203,0.9999999999999996,0.0,0,0.964776934909387
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2020,market_regime,BEAR,DEMAND,605730.8684701108,-12169.825565076262,617900.6940351872,0.7217899399129765,0.9999999999999996,0.0,0,0.9016706001156436
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2020,market_regime,BULL,DEMAND,1113215.1135505403,202234.74485844283,910980.3686920976,0.6829367325556294,0.995487687242299,0.0,0,0.9425769573319501
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2020,market_regime,TRANSITION,DEMAND,2174064.2784146396,64361.83830090254,2109702.440113737,0.5938718304663244,0.9999999999999996,0.0,0,0.964776934909387
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2021,breadth_bucket,MAJORITY_POSITIVE_20D,DEMAND,6903410.796591067,343113.1790291202,6560297.617561946,0.7987405310554268,0.9999999999999999,0.0,0,0.535827102935957
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2021,breadth_bucket,MINORITY_POSITIVE_20D,DEMAND,5903810.023343424,45232.15152767567,5858577.871815749,0.5149364699445156,0.9999999999999993,0.0,0,0.9999999999999988
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2021,market_regime,BEAR,DEMAND,4246396.129605257,42030.07304135927,4204366.056563897,0.5129969962079519,0.9999999999999988,0.0,0,0.9999999999999988
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2021,market_regime,BULL,DEMAND,3250576.2068858785,121602.40664339723,3128973.8002424813,0.7105101079051781,0.9999999999999999,0.0,0,0.535827102935957
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2021,market_regime,TRANSITION,DEMAND,5310248.483443357,224712.85087203936,5085535.632571317,0.7620346874486139,0.9999999999999998,0.0,0,0.9999999999999988
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2022,breadth_bucket,MAJORITY_POSITIVE_20D,DEMAND,3273110.87637279,141068.79452829197,3132042.081844498,0.7890357471710373,0.9999999999999996,0.0,0,0.9999999999999976
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2022,breadth_bucket,MINORITY_POSITIVE_20D,DEMAND,4764196.052718774,72227.06611748485,4691968.986601288,0.7947711154372766,1.0,0.0,0,0.9999999999999988
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2022,market_regime,BEAR,DEMAND,-302536.14249224274,86986.07703015831,-389522.21952240093,0.7622179087701046,1.0,0.0,0,0.9999999999999988
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2022,market_regime,BULL,DEMAND,817210.6982071322,41793.75507691644,775416.9431302157,0.8275842001140079,0.9999999999999993,0.0,0,0.9999999999999976
