gap,mcb_mode,target,mechanic,year,strategy,known_prior_holding_state,pnl
OGR,independent,G25,FULL_BOOK_NORMALIZATION,2018,ATRDR,NO_PRIOR_CLOSE_HOLDING,-160.97739905787608
OGR,independent,G25,FULL_BOOK_NORMALIZATION,2018,ATRDR,PRIOR_CLOSE_LOSING_HOLDING,608.2071180746897
OGR,independent,G25,FULL_BOOK_NORMALIZATION,2018,ATRDR,PRIOR_CLOSE_NONLOSING_HOLDING,20483.10039533768
OGR,independent,G25,FULL_BOOK_NORMALIZATION,2018,MCB,NO_PRIOR_CLOSE_HOLDING,28.471826361572496
OGR,independent,G25,FULL_BOOK_NORMALIZATION,2018,MCB,PRIOR_CLOSE_LOSING_HOLDING,10283.453611550525
OGR,independent,G25,FULL_BOOK_NORMALIZATION,2018,MCB,PRIOR_CLOSE_NONLOSING_HOLDING,-5030.092781644785
OGR,independent,G25,FULL_BOOK_NORMALIZATION,2018,OGR,NO_PRIOR_CLOSE_HOLDING,1479.8470948209895
OGR,independent,G25,FULL_BOOK_NORMALIZATION,2018,OGR,PRIOR_CLOSE_LOSING_HOLDING,-2217.213235770349
OGR,independent,G25,FULL_BOOK_NORMALIZATION,2018,OGR,PRIOR_CLOSE_NONLOSING_HOLDING,1634.4714622073764
OGR,independent,G25,FULL_BOOK_NORMALIZATION,2018,SMV6,PRIOR_CLOSE_NONLOSING_HOLDING,1336.06385499514
OGR,independent,G25,FULL_BOOK_NORMALIZATION,2019,ATRDR,NO_PRIOR_CLOSE_HOLDING,58.05773413999509
OGR,independent,G25,FULL_BOOK_NORMALIZATION,2019,ATRDR,PRIOR_CLOSE_LOSING_HOLDING,155262.64255872765
OGR,independent,G25,FULL_BOOK_NORMALIZATION,2019,ATRDR,PRIOR_CLOSE_NONLOSING_HOLDING,-21949.8051637978
OGR,independent,G25,FULL_BOOK_NORMALIZATION,2019,MCB,NO_PRIOR_CLOSE_HOLDING,45.79995310235705
OGR,independent,G25,FULL_BOOK_NORMALIZATION,2019,MCB,PRIOR_CLOSE_LOSING_HOLDING,-7607.204313021117
OGR,independent,G25,FULL_BOOK_NORMALIZATION,2019,MCB,PRIOR_CLOSE_NONLOSING_HOLDING,12191.810833588017
OGR,independent,G25,FULL_BOOK_NORMALIZATION,2019,OGR,NO_PRIOR_CLOSE_HOLDING,723.0933230740548
OGR,independent,G25,FULL_BOOK_NORMALIZATION,2019,OGR,PRIOR_CLOSE_LOSING_HOLDING,18302.95487640808
OGR,independent,G25,FULL_BOOK_NORMALIZATION,2019,OGR,PRIOR_CLOSE_NONLOSING_HOLDING,16812.514804171147
OGR,independent,G25,FULL_BOOK_NORMALIZATION,2019,SMV6,NO_PRIOR_CLOSE_HOLDING,6356.144490001561
OGR,independent,G25,FULL_BOOK_NORMALIZATION,2019,SMV6,PRIOR_CLOSE_LOSING_HOLDING,12841.856917873429
OGR,independent,G25,FULL_BOOK_NORMALIZATION,2019,SMV6,PRIOR_CLOSE_NONLOSING_HOLDING,45109.94267409166
OGR,independent,G25,FULL_BOOK_NORMALIZATION,2020,ATRDR,PRIOR_CLOSE_LOSING_HOLDING,322256.72938218486
OGR,independent,G25,FULL_BOOK_NORMALIZATION,2020,ATRDR,PRIOR_CLOSE_NONLOSING_HOLDING,129256.99753596961
