gap,mcb_mode,target,mechanic,year,strategy,route,state,state_family,dimension,incremental_pnl_path_drawdown_cny,worst_5pct_daily_incremental_pnl,daily_observations,tail_basis,family
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2018,ATRDR,BULL,BEAR,market_regime,route,290495.6138506747,-316845.498972047,53,Disjoint daily actual scaling-minus-native P&L in this state; currency path drawdown is not additive portfolio MaxDD percent,
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2018,ATRDR,SLOW_BEAR,BEAR,market_regime,route,1204970.8042208967,-1292968.1117275446,123,Disjoint daily actual scaling-minus-native P&L in this state; currency path drawdown is not additive portfolio MaxDD percent,
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2018,IFCGR,FIXED_BELOW_L_REPAIR,BEAR,market_regime,route,74740.38176099025,-100661.18731252641,82,Disjoint daily actual scaling-minus-native P&L in this state; currency path drawdown is not additive portfolio MaxDD percent,
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2018,MCB,MCB,BEAR,market_regime,route,13270.638693715475,-6649.249239994086,12,Disjoint daily actual scaling-minus-native P&L in this state; currency path drawdown is not additive portfolio MaxDD percent,
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2018,SMV6,NATIVE_CALLBACK,BEAR,market_regime,route,57775.56763188238,-57775.56763188238,11,Disjoint daily actual scaling-minus-native P&L in this state; currency path drawdown is not additive portfolio MaxDD percent,
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2018,ATRDR,BULL,BULL,market_regime,route,133142.0732058318,-51457.87590076111,7,Disjoint daily actual scaling-minus-native P&L in this state; currency path drawdown is not additive portfolio MaxDD percent,
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2018,ATRDR,SLOW_BEAR,BULL,market_regime,route,57580.16287371276,-32048.432645361423,10,Disjoint daily actual scaling-minus-native P&L in this state; currency path drawdown is not additive portfolio MaxDD percent,
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2018,IFCGR,FIXED_BELOW_L_REPAIR,BULL,market_regime,route,5556.8779097545785,-3065.3551699948066,9,Disjoint daily actual scaling-minus-native P&L in this state; currency path drawdown is not additive portfolio MaxDD percent,
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2018,MCB,MCB,BULL,market_regime,route,44368.58040178167,-16124.051128435329,7,Disjoint daily actual scaling-minus-native P&L in this state; currency path drawdown is not additive portfolio MaxDD percent,
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2018,ATRDR,BULL,TRANSITION,market_regime,route,168355.92257809138,-287321.8191682109,57,Disjoint daily actual scaling-minus-native P&L in this state; currency path drawdown is not additive portfolio MaxDD percent,
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2018,ATRDR,SLOW_BEAR,TRANSITION,market_regime,route,268237.52645742585,-326540.40079187707,62,Disjoint daily actual scaling-minus-native P&L in this state; currency path drawdown is not additive portfolio MaxDD percent,
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2018,IFCGR,FIXED_BELOW_L_REPAIR,TRANSITION,market_regime,route,58198.88381958621,-54098.689722262105,38,Disjoint daily actual scaling-minus-native P&L in this state; currency path drawdown is not additive portfolio MaxDD percent,
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2018,MCB,MCB,TRANSITION,market_regime,route,48784.68728064558,-60212.254773192086,37,Disjoint daily actual scaling-minus-native P&L in this state; currency path drawdown is not additive portfolio MaxDD percent,
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2018,SMV6,NATIVE_CALLBACK,TRANSITION,market_regime,route,73661.12382277171,-73661.12382277171,5,Disjoint daily actual scaling-minus-native P&L in this state; currency path drawdown is not additive portfolio MaxDD percent,
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2019,ATRDR,BULL,BEAR,market_regime,route,122475.91296278233,-231429.6307150047,22,Disjoint daily actual scaling-minus-native P&L in this state; currency path drawdown is not additive portfolio MaxDD percent,
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2019,ATRDR,FAST_BEAR,BEAR,market_regime,route,230540.86225983605,-181958.95674509075,27,Disjoint daily actual scaling-minus-native P&L in this state; currency path drawdown is not additive portfolio MaxDD percent,
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2019,ATRDR,SLOW_BEAR,BEAR,market_regime,route,943502.7755492583,-665637.4116803787,47,Disjoint daily actual scaling-minus-native P&L in this state; currency path drawdown is not additive portfolio MaxDD percent,
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2019,IFCGR,FIXED_BELOW_L_REPAIR,BEAR,market_regime,route,199759.37392356456,-299092.91742823937,43,Disjoint daily actual scaling-minus-native P&L in this state; currency path drawdown is not additive portfolio MaxDD percent,
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2019,MCB,MCB,BEAR,market_regime,route,33361.12758254029,-33361.12758254029,4,Disjoint daily actual scaling-minus-native P&L in this state; currency path drawdown is not additive portfolio MaxDD percent,
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2019,SMV6,NATIVE_CALLBACK,BEAR,market_regime,route,11784.258398064936,-7019.74076359295,12,Disjoint daily actual scaling-minus-native P&L in this state; currency path drawdown is not additive portfolio MaxDD percent,
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2019,ATRDR,BULL,BULL,market_regime,route,70724.71945753989,-148525.17837572494,44,Disjoint daily actual scaling-minus-native P&L in this state; currency path drawdown is not additive portfolio MaxDD percent,
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2019,ATRDR,SLOW_BEAR,BULL,market_regime,route,8902.830446007236,-8792.375475672234,7,Disjoint daily actual scaling-minus-native P&L in this state; currency path drawdown is not additive portfolio MaxDD percent,
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2019,IFCGR,FIXED_BELOW_L_REPAIR,BULL,market_regime,route,232010.3650261311,-142904.9349798639,17,Disjoint daily actual scaling-minus-native P&L in this state; currency path drawdown is not additive portfolio MaxDD percent,
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2019,MCB,MCB,BULL,market_regime,route,27757.32144623898,-36972.687712417995,28,Disjoint daily actual scaling-minus-native P&L in this state; currency path drawdown is not additive portfolio MaxDD percent,
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2019,SMV6,NATIVE_CALLBACK,BULL,market_regime,route,248837.84773895302,-365102.5227534893,57,Disjoint daily actual scaling-minus-native P&L in this state; currency path drawdown is not additive portfolio MaxDD percent,
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2019,ATRDR,BULL,TRANSITION,market_regime,route,592230.8808100232,-635602.5336875521,55,Disjoint daily actual scaling-minus-native P&L in this state; currency path drawdown is not additive portfolio MaxDD percent,
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2019,ATRDR,FAST_BEAR,TRANSITION,market_regime,route,54482.85749255515,-43391.75538257483,8,Disjoint daily actual scaling-minus-native P&L in this state; currency path drawdown is not additive portfolio MaxDD percent,
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2019,ATRDR,SLOW_BEAR,TRANSITION,market_regime,route,174412.10971640877,-129453.09192228693,35,Disjoint daily actual scaling-minus-native P&L in this state; currency path drawdown is not additive portfolio MaxDD percent,
