architecture,variant,split,eligible_symbol_days,distinct_candidate_episodes,distinct_candidate_symbols,candidate_episodes_per_symbol_year,candidate_symbol_days_per_symbol_year,median_candidate_duration,p25_candidate_duration,p75_candidate_duration,max_candidate_duration,total_symbol_days,symbol_day_candidate_rate,labelled_candidate_days,labelled_positive_days,candidate_precision,candidate_precision_wilson_low,candidate_precision_wilson_high,raw_label_base_rate,precision_lift_over_raw_base,wave_n,wave_candidates,wave_recall,wave_wilson_low,wave_wilson_high,wave_symbol_cluster_low,wave_symbol_cluster_high,control_n,control_candidates,control_acceptance,control_wilson_low,control_wilson_high,control_symbol_cluster_low,control_symbol_cluster_high,matched_enrichment,matched_enrichment_cluster_low,matched_enrichment_cluster_high,balanced_matched_precision,temporal_state_composition_json,candidate_definition,pnl_swing_sample_large_enough
A_CURRENT_V12,A,total,1,1,1,0.002,0.002,1.0,1.0,1.0,1,121251,8.247354660992487e-06,1,0,0.0,0.0,0.7934506856227626,0.25125014440611954,0.0,1599,0,0.0,0.0,0.0023966555142144346,0.0,0.0,1599,0,0.0,0.0,0.0023966555142144346,0.0,0.0,,,,,"{""VALID_CANONICAL_BASE"":1}","Authoritative production SETUP_OBSERVED; unique canonical base, lifecycle validity, tradability, and production setup_score >= 1.00 all remain required.",False
A_CURRENT_V12,A,discovery,0,0,0,0.0,0.0,,,,0,39425,0.0,0,0,,,,0.22102432713528322,,643,0,0.0,4.336808689942018e-19,0.0059387949988514675,0.0,0.0,643,0,0.0,4.336808689942018e-19,0.0059387949988514675,0.0,0.0,,,,,{},"Authoritative production SETUP_OBSERVED; unique canonical base, lifecycle validity, tradability, and production setup_score >= 1.00 all remain required.",False
A_CURRENT_V12,A,validation,0,0,0,0.0,0.0,,,,0,40918,0.0,0,0,,,,0.3570555745637617,,541,0,0.0,0.0,0.00705059932298276,0.0,0.0,541,0,0.0,0.0,0.00705059932298276,0.0,0.0,,,,,{},"Authoritative production SETUP_OBSERVED; unique canonical base, lifecycle validity, tradability, and production setup_score >= 1.00 all remain required.",False
A_CURRENT_V12,A,holdout,1,1,1,0.002,0.002,1.0,1.0,1.0,1,40908,2.4445096313679475e-05,1,0,0.0,0.0,0.7934506856227626,0.17443141479178398,0.0,415,0,0.0,0.0,0.009171629837003916,0.0,0.0,415,0,0.0,0.0,0.009171629837003916,0.0,0.0,,,,,"{""VALID_CANONICAL_BASE"":1}","Authoritative production SETUP_OBSERVED; unique canonical base, lifecycle validity, tradability, and production setup_score >= 1.00 all remain required.",False
B_CANDIDATE_FIRST,B,total,88695,561,492,1.122,177.39,184.0,184.0,184.0,184,121251,0.7314991216567286,88665,23496,0.264997462358315,0.2621027479989437,0.2679125390581942,0.25125014440611954,1.0547156618942053,1599,1047,0.6547842401500938,0.631134915856676,0.6776916354381731,0.6345319866648256,0.6756634593219601,1599,1018,0.6366479049405879,0.612772175118809,0.6598686388526033,0.6090133865851293,0.6661634685117018,1.0284872298624754,0.9713467908530068,1.0899550435865504,0.5070217917675545,"{""ENSEMBLE_AMBIGUOUS"":41479,""LOST/TRANSITION"":9869,""MERGE"":2989,""SPLIT"":7237,""VALID_CANONICAL_BASE"":27121}","Base-free PIT-valid, tradable observation after 60 consecutive base-free-valid sessions; no canonical root is required and no lifecycle state is written.",False
B_CANDIDATE_FIRST,B,discovery,9751,499,489,0.998,19.502,184.0,184.0,184.0,184,39425,0.2473303741280913,9751,2253,0.2310532253102246,0.22279392460696837,0.2395243486175264,0.22102432713528322,1.0453746350228812,643,109,0.16951788491446346,0.14249909172929526,0.20046200916419132,0.14272548952047176,0.19305577421247727,643,107,0.16640746500777606,0.13961828958600242,0.1971589157864817,0.13627883047293624,0.19743048932580146,1.0186915887850467,0.8104776331979704,1.3174603390939321,0.5046296296296297,"{""ENSEMBLE_AMBIGUOUS"":4511,""LOST/TRANSITION"":1047,""MERGE"":328,""SPLIT"":765,""VALID_CANONICAL_BASE"":3100}","Base-free PIT-valid, tradable observation after 60 consecutive base-free-valid sessions; no canonical root is required and no lifecycle state is written.",False
B_CANDIDATE_FIRST,B,validation,39667,40,38,0.08,79.334,130.0,89.5,142.5,164,40918,0.9694266581944376,39667,14308,0.3607028512365442,0.3559909208144979,0.365441758866088,0.3570555745637617,1.0102148711086185,541,532,0.9833641404805915,0.968688657192887,0.9912236100050427,0.969609165879034,0.9944301424945513,541,515,0.9519408502772643,0.9305139289080049,0.9669948639405372,0.9174170779599852,0.980084612150515,1.0330097087378642,0.9999479582317856,1.0723433325179947,0.5081184336198663,"{""ENSEMBLE_AMBIGUOUS"":17621,""LOST/TRANSITION"":4750,""MERGE"":1592,""SPLIT"":3883,""VALID_CANONICAL_BASE"":11821}","Base-free PIT-valid, tradable observation after 60 consecutive base-free-valid sessions; no canonical root is required and no lifecycle state is written.",False
B_CANDIDATE_FIRST,B,holdout,39277,22,21,0.044,78.554,46.0,27.0,63.5,79,40908,0.9601300479123888,39247,6935,0.17670140392896272,0.17295960401308555,0.18050648596555044,0.17443141479178398,1.0130136486015915,415,406,0.9783132530120482,0.9593032680961141,0.988549413722463,0.9605400474365992,0.9924952046035805,415,396,0.9542168674698795,0.9296050265672041,0.9704968904242405,0.928481929764746,0.9763886101074981,1.0252525252525253,0.9936191711262796,1.0583202203896631,0.5062344139650873,"{""ENSEMBLE_AMBIGUOUS"":19347,""LOST/TRANSITION"":4072,""MERGE"":1069,""SPLIT"":2589,""VALID_CANONICAL_BASE"":12200}","Base-free PIT-valid, tradable observation after 60 consecutive base-free-valid sessions; no canonical root is required and no lifecycle state is written.",False
P_PRICE_ONLY_BROAD,P,total,89356,563,494,1.126,178.712,184.0,184.0,184.0,184,121251,0.7369506230876446,89326,23635,0.26459261581174576,0.2617100262251639,0.26749545188612334,0.25125014440611954,1.0531043332817334,1599,1055,0.6597873671044403,0.6362070171859756,0.6826018064739597,0.6381077545263799,0.6798141949959678,1599,1029,0.6435272045028143,0.6197330388369324,0.6666333996364733,0.616275284585544,0.6715351962233033,1.0252672497570456,0.970727503894428,1.0862349179011521,0.5062380038387716,"{""ENSEMBLE_AMBIGUOUS"":41875,""LOST/TRANSITION"":9931,""MERGE"":3008,""SPLIT"":7276,""VALID_CANONICAL_BASE"":27266}","Registered daily-price PIT-valid, tradable observation after 60 consecutive price-valid sessions; no V3 chip field or canonical peak is used.",False
P_PRICE_ONLY_BROAD,P,discovery,9791,501,491,1.002,19.582,184.0,184.0,184.0,184,39425,0.2483449587824984,9791,2272,0.2320498416913492,0.22379426406847996,0.24051559515085008,0.22102432713528322,1.0498837150596438,643,109,0.16951788491446346,0.14249909172929526,0.20046200916419132,0.1464530238084145,0.195294968011811,643,108,0.16796267496111975,0.14105825042610146,0.19881090270688387,0.1397953242073345,0.1972702830971119,1.0092592592592593,0.7968683468000514,1.2655212265918145,0.5023041474654378,"{""ENSEMBLE_AMBIGUOUS"":4534,""LOST/TRANSITION"":1051,""MERGE"":329,""SPLIT"":766,""VALID_CANONICAL_BASE"":3111}","Registered daily-price PIT-valid, tradable observation after 60 consecutive price-valid sessions; no V3 chip field or canonical peak is used.",False
