component,base_dependency,research_formula_contract,split,temporal_state,wave_n,wave_available,wave_missing,wave_true,wave_prevalence_missing_as_fail,wave_prevalence_when_available,wave_recall,control_n,control_available,control_missing,control_true,control_prevalence_missing_as_fail,control_prevalence_when_available,lift_missing_as_fail,wave_minus_control,classification
ev_turnover_absorption,BASE_FREE_OBSERVABLE,Exact production Boolean predicate on RESEARCH_BASE_FREE_CHAIN_V1; not a production panel/score.,total,ALL,1599,1047,552,159,0.09943714821763602,0.1518624641833811,0.09943714821763602,1599,1018,581,163,0.10193871169480925,0.16011787819253437,0.9754601226993865,-0.00250156347717323,NEUTRAL_OR_DIRECTIONALLY_UNSTABLE
ev_turnover_absorption,BASE_FREE_OBSERVABLE,Exact production Boolean predicate on RESEARCH_BASE_FREE_CHAIN_V1; not a production panel/score.,total,VALID_CANONICAL_BASE,464,307,157,47,0.10129310344827586,0.15309446254071662,0.10129310344827586,547,369,178,51,0.09323583180987204,0.13821138211382114,1.086418187964841,0.00805727163840382,NEUTRAL_OR_DIRECTIONALLY_UNSTABLE
ev_turnover_absorption,BASE_FREE_OBSERVABLE,Exact production Boolean predicate on RESEARCH_BASE_FREE_CHAIN_V1; not a production panel/score.,total,ENSEMBLE_AMBIGUOUS,822,546,276,74,0.09002433090024331,0.13553113553113552,0.09002433090024331,765,470,295,81,0.10588235294117647,0.1723404255319149,0.8502297918356313,-0.01585802204093316,NEUTRAL_OR_DIRECTIONALLY_UNSTABLE
ev_turnover_absorption,BASE_FREE_OBSERVABLE,Exact production Boolean predicate on RESEARCH_BASE_FREE_CHAIN_V1; not a production panel/score.,total,NO_CANONICAL_BASE,0,0,0,0,,,,0,0,0,0,,,,,NEUTRAL_OR_DIRECTIONALLY_UNSTABLE
ev_turnover_absorption,BASE_FREE_OBSERVABLE,Exact production Boolean predicate on RESEARCH_BASE_FREE_CHAIN_V1; not a production panel/score.,total,SPLIT,104,70,34,15,0.14423076923076922,0.21428571428571427,0.14423076923076922,82,51,31,11,0.13414634146341464,0.21568627450980393,1.075174825174825,0.010084427767354576,NEUTRAL_OR_DIRECTIONALLY_UNSTABLE
ev_turnover_absorption,BASE_FREE_OBSERVABLE,Exact production Boolean predicate on RESEARCH_BASE_FREE_CHAIN_V1; not a production panel/score.,total,MERGE,26,13,13,2,0.07692307692307693,0.15384615384615385,0.07692307692307693,40,29,11,6,0.15,0.20689655172413793,0.5128205128205129,-0.07307692307692307,NEUTRAL_OR_DIRECTIONALLY_UNSTABLE
ev_turnover_absorption,BASE_FREE_OBSERVABLE,Exact production Boolean predicate on RESEARCH_BASE_FREE_CHAIN_V1; not a production panel/score.,total,LOST/TRANSITION,183,111,72,21,0.11475409836065574,0.1891891891891892,0.11475409836065574,165,99,66,14,0.08484848484848485,0.1414141414141414,1.3524590163934427,0.029905613512170887,NEUTRAL_OR_DIRECTIONALLY_UNSTABLE
ev_turnover_absorption,BASE_FREE_OBSERVABLE,Exact production Boolean predicate on RESEARCH_BASE_FREE_CHAIN_V1; not a production panel/score.,discovery,ALL,643,109,534,3,0.004665629860031105,0.027522935779816515,0.004665629860031105,643,107,536,7,0.01088646967340591,0.06542056074766354,0.4285714285714286,-0.006220839813374806,NEUTRAL_OR_DIRECTIONALLY_UNSTABLE
ev_turnover_absorption,BASE_FREE_OBSERVABLE,Exact production Boolean predicate on RESEARCH_BASE_FREE_CHAIN_V1; not a production panel/score.,discovery,VALID_CANONICAL_BASE,189,37,152,1,0.005291005291005291,0.02702702702702703,0.005291005291005291,206,41,165,1,0.0048543689320388345,0.024390243902439025,1.08994708994709,0.0004366363589664562,NEUTRAL_OR_DIRECTIONALLY_UNSTABLE
ev_turnover_absorption,BASE_FREE_OBSERVABLE,Exact production Boolean predicate on RESEARCH_BASE_FREE_CHAIN_V1; not a production panel/score.,discovery,ENSEMBLE_AMBIGUOUS,316,53,263,1,0.0031645569620253164,0.018867924528301886,0.0031645569620253164,323,55,268,6,0.018575851393188854,0.10909090909090909,0.17035864978902954,-0.015411294431163538,NEUTRAL_OR_DIRECTIONALLY_UNSTABLE
ev_turnover_absorption,BASE_FREE_OBSERVABLE,Exact production Boolean predicate on RESEARCH_BASE_FREE_CHAIN_V1; not a production panel/score.,discovery,NO_CANONICAL_BASE,0,0,0,0,,,,0,0,0,0,,,,,NEUTRAL_OR_DIRECTIONALLY_UNSTABLE
