architecture,criterion_preregistered_before_holdout,criterion_json,validation_wave_candidates,validation_wave_recall,validation_control_acceptance,validation_enrichment,holdout_wave_candidates,holdout_wave_recall,holdout_control_acceptance,holdout_enrichment,pooled_oos_wave_candidates,pooled_oos_control_candidates,pooled_oos_enrichment,conservative_pooled_oos_enrichment_ci_low,checks_json,candidate_funnel_researchable,candidate_layer_v3_independent,total_candidate_episodes,validation_candidate_episodes,holdout_candidate_episodes,candidate_episodes_per_symbol_year,median_candidate_duration,pnl_swing_criterion_json,pnl_swing_checks_json,pnl_swing_sample_large_enough,pnl_swing_failure_reasons_json,counterfactual_breakouts_simulated,continuation_outcomes_currently_identifiable,failure_reasons_json
A_CURRENT_V12,True,"{""minimum_holdout_enrichment"":1.1,""minimum_holdout_wave_candidates"":100,""minimum_holdout_wave_recall"":0.25,""minimum_pooled_oos_enrichment_ci_low"":1.0,""minimum_validation_enrichment"":1.1,""minimum_validation_wave_candidates"":100,""minimum_validation_wave_recall"":0.25}",0,0.0,0.0,,0,0.0,0.0,,0,0,,,"{""holdout_enrichment"":false,""holdout_event_count"":false,""holdout_recall"":false,""pooled_oos_ci"":false,""validation_enrichment"":false,""validation_event_count"":false,""validation_recall"":false}",False,False,1,0,1,0.002,1.0,"{""candidate_layer_must_be_v3_independent"":true,""maximum_median_candidate_duration"":20.0,""minimum_holdout_candidate_episodes"":100,""minimum_holdout_enrichment"":1.05,""minimum_holdout_wave_candidates"":100,""minimum_median_candidate_duration"":1.0,""minimum_total_candidate_episodes"":500,""minimum_validation_candidate_episodes"":100,""minimum_validation_enrichment"":1.05,""minimum_validation_wave_candidates"":100}","{""holdout_episode_count"":false,""holdout_modest_enrichment"":false,""holdout_wave_count"":false,""swing_duration_ceiling"":true,""swing_duration_floor"":true,""total_episode_count"":false,""v3_independent_candidate_layer"":false,""validation_episode_count"":false,""validation_modest_enrichment"":false,""validation_wave_count"":false}",False,"[""v3_independent_candidate_layer"",""total_episode_count"",""validation_episode_count"",""holdout_episode_count"",""validation_wave_count"",""holdout_wave_count"",""validation_modest_enrichment"",""holdout_modest_enrichment""]",False,False,"[""validation_event_count"",""holdout_event_count"",""validation_recall"",""holdout_recall"",""validation_enrichment"",""holdout_enrichment"",""pooled_oos_ci""]"
B_CANDIDATE_FIRST,True,"{""minimum_holdout_enrichment"":1.1,""minimum_holdout_wave_candidates"":100,""minimum_holdout_wave_recall"":0.25,""minimum_pooled_oos_enrichment_ci_low"":1.0,""minimum_validation_enrichment"":1.1,""minimum_validation_wave_candidates"":100,""minimum_validation_wave_recall"":0.25}",532,0.9833641404805915,0.9519408502772643,1.0330097087378642,406,0.9783132530120482,0.9542168674698795,1.0252525252525253,938,911,1.0296377607025247,0.9936191711262796,"{""holdout_enrichment"":false,""holdout_event_count"":true,""holdout_recall"":true,""pooled_oos_ci"":false,""validation_enrichment"":false,""validation_event_count"":true,""validation_recall"":true}",False,False,561,40,22,1.122,184.0,"{""candidate_layer_must_be_v3_independent"":true,""maximum_median_candidate_duration"":20.0,""minimum_holdout_candidate_episodes"":100,""minimum_holdout_enrichment"":1.05,""minimum_holdout_wave_candidates"":100,""minimum_median_candidate_duration"":1.0,""minimum_total_candidate_episodes"":500,""minimum_validation_candidate_episodes"":100,""minimum_validation_enrichment"":1.05,""minimum_validation_wave_candidates"":100}","{""holdout_episode_count"":false,""holdout_modest_enrichment"":false,""holdout_wave_count"":true,""swing_duration_ceiling"":false,""swing_duration_floor"":true,""total_episode_count"":true,""v3_independent_candidate_layer"":false,""validation_episode_count"":false,""validation_modest_enrichment"":false,""validation_wave_count"":true}",False,"[""v3_independent_candidate_layer"",""validation_episode_count"",""holdout_episode_count"",""validation_modest_enrichment"",""holdout_modest_enrichment"",""swing_duration_ceiling""]",False,False,"[""validation_enrichment"",""holdout_enrichment"",""pooled_oos_ci""]"
P_PRICE_ONLY_BROAD,True,"{""minimum_holdout_enrichment"":1.1,""minimum_holdout_wave_candidates"":100,""minimum_holdout_wave_recall"":0.25,""minimum_pooled_oos_enrichment_ci_low"":1.0,""minimum_validation_enrichment"":1.1,""minimum_validation_wave_candidates"":100,""minimum_validation_wave_recall"":0.25}",535,0.988909426987061,0.955637707948244,1.034816247582205,411,0.9903614457831326,0.9734939759036144,1.0173267326732673,946,921,1.0271444082519001,0.9980069123462465,"{""holdout_enrichment"":false,""holdout_event_count"":true,""holdout_recall"":true,""pooled_oos_ci"":false,""validation_enrichment"":false,""validation_event_count"":true,""validation_recall"":true}",False,True,563,40,22,1.126,184.0,"{""candidate_layer_must_be_v3_independent"":true,""maximum_median_candidate_duration"":20.0,""minimum_holdout_candidate_episodes"":100,""minimum_holdout_enrichment"":1.05,""minimum_holdout_wave_candidates"":100,""minimum_median_candidate_duration"":1.0,""minimum_total_candidate_episodes"":500,""minimum_validation_candidate_episodes"":100,""minimum_validation_enrichment"":1.05,""minimum_validation_wave_candidates"":100}","{""holdout_episode_count"":false,""holdout_modest_enrichment"":false,""holdout_wave_count"":true,""swing_duration_ceiling"":false,""swing_duration_floor"":true,""total_episode_count"":true,""v3_independent_candidate_layer"":true,""validation_episode_count"":false,""validation_modest_enrichment"":false,""validation_wave_count"":true}",False,"[""validation_episode_count"",""holdout_episode_count"",""validation_modest_enrichment"",""holdout_modest_enrichment"",""swing_duration_ceiling""]",False,False,"[""validation_enrichment"",""holdout_enrichment"",""pooled_oos_ci""]"
P_PRICE_PULLBACK_20,True,"{""minimum_holdout_enrichment"":1.1,""minimum_holdout_wave_candidates"":100,""minimum_holdout_wave_recall"":0.25,""minimum_pooled_oos_enrichment_ci_low"":1.0,""minimum_validation_enrichment"":1.1,""minimum_validation_wave_candidates"":100,""minimum_validation_wave_recall"":0.25}",441,0.8151571164510166,0.5656192236598891,1.441176470588235,387,0.9325301204819277,0.7132530120481928,1.3074324324324325,828,602,1.3754152823920267,1.2216104060221449,"{""holdout_enrichment"":true,""holdout_event_count"":true,""holdout_recall"":true,""pooled_oos_ci"":true,""validation_enrichment"":true,""validation_event_count"":true,""validation_recall"":true}",True,True,5671,2479,2186,11.342,4.0,"{""candidate_layer_must_be_v3_independent"":true,""maximum_median_candidate_duration"":20.0,""minimum_holdout_candidate_episodes"":100,""minimum_holdout_enrichment"":1.05,""minimum_holdout_wave_candidates"":100,""minimum_median_candidate_duration"":1.0,""minimum_total_candidate_episodes"":500,""minimum_validation_candidate_episodes"":100,""minimum_validation_enrichment"":1.05,""minimum_validation_wave_candidates"":100}","{""holdout_episode_count"":true,""holdout_modest_enrichment"":true,""holdout_wave_count"":true,""swing_duration_ceiling"":true,""swing_duration_floor"":true,""total_episode_count"":true,""v3_independent_candidate_layer"":true,""validation_episode_count"":true,""validation_modest_enrichment"":true,""validation_wave_count"":true}",True,[],False,False,[]
P_PRICE_PULLBACK_STABILIZING,True,"{""minimum_holdout_enrichment"":1.1,""minimum_holdout_wave_candidates"":100,""minimum_holdout_wave_recall"":0.25,""minimum_pooled_oos_enrichment_ci_low"":1.0,""minimum_validation_enrichment"":1.1,""minimum_validation_wave_candidates"":100,""minimum_validation_wave_recall"":0.25}",4,0.0073937153419593345,0.17929759704251386,0.041237113402061855,2,0.004819277108433735,0.21204819277108433,0.02272727272727273,6,185,0.032432432432432434,0.0,"{""holdout_enrichment"":false,""holdout_event_count"":false,""holdout_recall"":false,""pooled_oos_ci"":false,""validation_enrichment"":false,""validation_event_count"":false,""validation_recall"":false}",False,True,12372,4423,6272,24.744,1.0,"{""candidate_layer_must_be_v3_independent"":true,""maximum_median_candidate_duration"":20.0,""minimum_holdout_candidate_episodes"":100,""minimum_holdout_enrichment"":1.05,""minimum_holdout_wave_candidates"":100,""minimum_median_candidate_duration"":1.0,""minimum_total_candidate_episodes"":500,""minimum_validation_candidate_episodes"":100,""minimum_validation_enrichment"":1.05,""minimum_validation_wave_candidates"":100}","{""holdout_episode_count"":true,""holdout_modest_enrichment"":false,""holdout_wave_count"":false,""swing_duration_ceiling"":true,""swing_duration_floor"":true,""total_episode_count"":true,""v3_independent_candidate_layer"":true,""validation_episode_count"":true,""validation_modest_enrichment"":false,""validation_wave_count"":false}",False,"[""validation_wave_count"",""holdout_wave_count"",""validation_modest_enrichment"",""holdout_modest_enrichment""]",False,False,"[""validation_event_count"",""holdout_event_count"",""validation_recall"",""holdout_recall"",""validation_enrichment"",""holdout_enrichment"",""pooled_oos_ci""]"
C_TEMPORAL_STATE_STRATIFIED,True,"{""minimum_holdout_enrichment"":1.1,""minimum_holdout_wave_candidates"":100,""minimum_holdout_wave_recall"":0.25,""minimum_pooled_oos_enrichment_ci_low"":1.0,""minimum_validation_enrichment"":1.1,""minimum_validation_wave_candidates"":100,""minimum_validation_wave_recall"":0.25}",532,0.9833641404805915,0.9519408502772643,1.0330097087378642,406,0.9783132530120482,0.9542168674698795,1.0252525252525253,938,911,1.0296377607025247,0.9961159356473146,"{""holdout_enrichment"":false,""holdout_event_count"":true,""holdout_recall"":true,""pooled_oos_ci"":false,""validation_enrichment"":false,""validation_event_count"":true,""validation_recall"":true}",False,False,561,40,22,1.122,184.0,"{""candidate_layer_must_be_v3_independent"":true,""maximum_median_candidate_duration"":20.0,""minimum_holdout_candidate_episodes"":100,""minimum_holdout_enrichment"":1.05,""minimum_holdout_wave_candidates"":100,""minimum_median_candidate_duration"":1.0,""minimum_total_candidate_episodes"":500,""minimum_validation_candidate_episodes"":100,""minimum_validation_enrichment"":1.05,""minimum_validation_wave_candidates"":100}","{""holdout_episode_count"":false,""holdout_modest_enrichment"":false,""holdout_wave_count"":true,""swing_duration_ceiling"":false,""swing_duration_floor"":true,""total_episode_count"":true,""v3_independent_candidate_layer"":false,""validation_episode_count"":false,""validation_modest_enrichment"":false,""validation_wave_count"":true}",False,"[""v3_independent_candidate_layer"",""validation_episode_count"",""holdout_episode_count"",""validation_modest_enrichment"",""holdout_modest_enrichment"",""swing_duration_ceiling""]",False,False,"[""validation_enrichment"",""holdout_enrichment"",""pooled_oos_ci""]"
C_ENSEMBLE_AMBIGUOUS,True,"{""minimum_holdout_enrichment"":1.1,""minimum_holdout_wave_candidates"":100,""minimum_holdout_wave_recall"":0.25,""minimum_pooled_oos_enrichment_ci_low"":1.0,""minimum_validation_enrichment"":1.1,""minimum_validation_wave_candidates"":100,""minimum_validation_wave_recall"":0.25}",276,0.5101663585951941,0.38632162661737524,1.3205741626794258,217,0.5228915662650603,0.4963855421686747,1.0533980582524272,493,415,1.187951807228916,0.9187292487259144,"{""holdout_enrichment"":false,""holdout_event_count"":true,""holdout_recall"":true,""pooled_oos_ci"":false,""validation_enrichment"":true,""validation_event_count"":true,""validation_recall"":true}",False,False,9671,4497,3978,19.342,2.0,"{""candidate_layer_must_be_v3_independent"":true,""maximum_median_candidate_duration"":20.0,""minimum_holdout_candidate_episodes"":100,""minimum_holdout_enrichment"":1.05,""minimum_holdout_wave_candidates"":100,""minimum_median_candidate_duration"":1.0,""minimum_total_candidate_episodes"":500,""minimum_validation_candidate_episodes"":100,""minimum_validation_enrichment"":1.05,""minimum_validation_wave_candidates"":100}","{""holdout_episode_count"":true,""holdout_modest_enrichment"":true,""holdout_wave_count"":true,""swing_duration_ceiling"":true,""swing_duration_floor"":true,""total_episode_count"":true,""v3_independent_candidate_layer"":false,""validation_episode_count"":true,""validation_modest_enrichment"":true,""validation_wave_count"":true}",False,"[""v3_independent_candidate_layer""]",False,False,"[""holdout_enrichment"",""pooled_oos_ci""]"
C_PERSISTENT_AMBIGUITY_20,True,"{""minimum_holdout_enrichment"":1.1,""minimum_holdout_wave_candidates"":100,""minimum_holdout_wave_recall"":0.25,""minimum_pooled_oos_enrichment_ci_low"":1.0,""minimum_validation_enrichment"":1.1,""minimum_validation_wave_candidates"":100,""minimum_validation_wave_recall"":0.25}",353,0.6524953789279113,0.5582255083179297,1.1688741721854305,283,0.6819277108433734,0.5975903614457831,1.1411290322580645,636,550,1.1563636363636365,1.025258272844933,"{""holdout_enrichment"":true,""holdout_event_count"":true,""holdout_recall"":true,""pooled_oos_ci"":true,""validation_enrichment"":true,""validation_event_count"":true,""validation_recall"":true}",True,False,1113,385,316,2.226,35.0,"{""candidate_layer_must_be_v3_independent"":true,""maximum_median_candidate_duration"":20.0,""minimum_holdout_candidate_episodes"":100,""minimum_holdout_enrichment"":1.05,""minimum_holdout_wave_candidates"":100,""minimum_median_candidate_duration"":1.0,""minimum_total_candidate_episodes"":500,""minimum_validation_candidate_episodes"":100,""minimum_validation_enrichment"":1.05,""minimum_validation_wave_candidates"":100}","{""holdout_episode_count"":true,""holdout_modest_enrichment"":true,""holdout_wave_count"":true,""swing_duration_ceiling"":false,""swing_duration_floor"":true,""total_episode_count"":true,""v3_independent_candidate_layer"":false,""validation_episode_count"":true,""validation_modest_enrichment"":true,""validation_wave_count"":true}",False,"[""v3_independent_candidate_layer"",""swing_duration_ceiling""]",False,False,[]
D_ANY_1_BASE_FREE_COMPONENT,True,"{""minimum_holdout_enrichment"":1.1,""minimum_holdout_wave_candidates"":100,""minimum_holdout_wave_recall"":0.25,""minimum_pooled_oos_enrichment_ci_low"":1.0,""minimum_validation_enrichment"":1.1,""minimum_validation_wave_candidates"":100,""minimum_validation_wave_recall"":0.25}",310,0.5730129390018485,0.6469500924214417,0.8857142857142858,256,0.6168674698795181,0.672289156626506,0.917562724014337,566,629,0.8998410174880763,0.8050281984012683,"{""holdout_enrichment"":false,""holdout_event_count"":true,""holdout_recall"":true,""pooled_oos_ci"":false,""validation_enrichment"":false,""validation_event_count"":true,""validation_recall"":true}",False,False,10358,4216,4271,20.716,2.0,"{""candidate_layer_must_be_v3_independent"":true,""maximum_median_candidate_duration"":20.0,""minimum_holdout_candidate_episodes"":100,""minimum_holdout_enrichment"":1.05,""minimum_holdout_wave_candidates"":100,""minimum_median_candidate_duration"":1.0,""minimum_total_candidate_episodes"":500,""minimum_validation_candidate_episodes"":100,""minimum_validation_enrichment"":1.05,""minimum_validation_wave_candidates"":100}","{""holdout_episode_count"":true,""holdout_modest_enrichment"":false,""holdout_wave_count"":true,""swing_duration_ceiling"":true,""swing_duration_floor"":true,""total_episode_count"":true,""v3_independent_candidate_layer"":false,""validation_episode_count"":true,""validation_modest_enrichment"":false,""validation_wave_count"":true}",False,"[""v3_independent_candidate_layer"",""validation_modest_enrichment"",""holdout_modest_enrichment""]",False,False,"[""validation_enrichment"",""holdout_enrichment"",""pooled_oos_ci""]"
D_ANY_2_BASE_FREE_COMPONENTS,True,"{""minimum_holdout_enrichment"":1.1,""minimum_holdout_wave_candidates"":100,""minimum_holdout_wave_recall"":0.25,""minimum_pooled_oos_enrichment_ci_low"":1.0,""minimum_validation_enrichment"":1.1,""minimum_validation_wave_candidates"":100,""minimum_validation_wave_recall"":0.25}",123,0.22735674676524953,0.28650646950092423,0.7935483870967741,82,0.19759036144578312,0.2433734939759036,0.8118811881188119,205,256,0.80078125,0.6154870128052545,"{""holdout_enrichment"":false,""holdout_event_count"":false,""holdout_recall"":false,""pooled_oos_ci"":false,""validation_enrichment"":false,""validation_event_count"":true,""validation_recall"":false}",False,False,10817,4808,4982,21.634,1.0,"{""candidate_layer_must_be_v3_independent"":true,""maximum_median_candidate_duration"":20.0,""minimum_holdout_candidate_episodes"":100,""minimum_holdout_enrichment"":1.05,""minimum_holdout_wave_candidates"":100,""minimum_median_candidate_duration"":1.0,""minimum_total_candidate_episodes"":500,""minimum_validation_candidate_episodes"":100,""minimum_validation_enrichment"":1.05,""minimum_validation_wave_candidates"":100}","{""holdout_episode_count"":true,""holdout_modest_enrichment"":false,""holdout_wave_count"":false,""swing_duration_ceiling"":true,""swing_duration_floor"":true,""total_episode_count"":true,""v3_independent_candidate_layer"":false,""validation_episode_count"":true,""validation_modest_enrichment"":false,""validation_wave_count"":true}",False,"[""v3_independent_candidate_layer"",""holdout_wave_count"",""validation_modest_enrichment"",""holdout_modest_enrichment""]",False,False,"[""holdout_event_count"",""validation_recall"",""holdout_recall"",""validation_enrichment"",""holdout_enrichment"",""pooled_oos_ci""]"
