id,baseline,common,only_candidate,only_base,common_weight_effect,common_price_exit_cost_effect,unique_candidate_pnl,missed_baseline_pnl,open_receivable_and_interaction_residual,total_nav_increment
A_H02_C_MAX_E10,A_D05_C_MAX_E10,511,253,248,-121424.2025508063,605.3262736062765,154787.3237823997,357663.47872300044,-12709.827979999187,378922.09824820096
A_D08_C_MAX_E10,A_D08_C_10_E10,315,39,68,-555343.7028401411,-10479.020412059104,12899.359637200041,-28067.535876000045,-9.094947017729282e-10,-580990.8994910012
A_H01_C_MAX_E10,A_H01_C_10_E10,292,26,70,-916793.2226359255,-7467.540897774993,173883.58597919974,15972.35538880006,-1.1641532182693481e-10,-734404.8221657008
C_H02_C_MAX_G_DOWN,A_H02_C_MAX_E10,464,159,300,-119222.64225530863,-3834.08010879158,79139.05994239991,-293141.91095589986,63533.31336139981,-273526.26001620037
C_H02_C_MAX_G_RAMP,A_H02_C_MAX_E10,251,144,513,21837.594521056482,-2924.927960856174,-10392.671044999966,-589550.4678360999,-18379.66583000042,-599410.1381508999
R1_CURRENT_H02_C_MAX,C_H02_C_MAX_G_DOWN,508,128,115,124596.91626826565,1663.0246420343499,76977.36742659989,-125270.90903040006,-3255.0270916008885,74711.37221489893
R1_S1_H02_C_MAX_CA,A_H02_C_MAX_E10,392,212,372,9300.141049468177,-7267.193473367756,-322290.15994450025,-716327.8759834004,36401.07784000004,-1000184.0105118001
R1_S1_D08_C_MAX,A_D08_C_MAX_E10,290,28,64,-55631.79909459777,4540.6912160978345,17611.922128399972,197329.45120320003,3.7834979593753815e-10,163850.26545310044
R1_S1_H01_C_MAX,A_H01_C_MAX_E10,216,33,102,107836.51791050003,-2055.5645780998166,308808.5075950001,-194524.3471963998,-5.820766091346741e-10,220065.11373099993
R1_S1_POOL_C_MAX,R0_POOL_C_MAX,374,257,409,34141.90487734397,-5362.394211144755,-212244.57598440006,-374253.62836889934,19383.518629997794,-538335.1750571025
R4_S1_POOL_C_MAX,R1_S1_POOL_C_MAX,508,228,123,90457.76216776436,16989.530801435874,76063.83654280014,-178805.1652933999,99.22717000145349,4805.191388601903
R4_S1_H02_C_MAX_CA,R1_S1_H02_C_MAX_CA,508,182,96,126134.8436442866,-36818.52984338632,16565.40277499995,-50456.016170399904,800.5235499998525,56226.22395550017
R2_PRIORITY_GATE_C_MAX,R1_S1_POOL_C_MAX,555,72,76,14133.624039939315,-10.419195039560153,84388.7423677,-109629.96298399993,-97.09722000012698,-11215.112991400296
R2_PRIORITY_OPEN_C_MAX,R0_POOL_C_MAX,673,112,110,-30603.245512052454,70.7284889521396,-43042.34794480005,-11217.513499000037,2474.9486499994164,-82317.42981690099
R1_LEVEL_D08_C_MAX_CA,R1_S1_D08_C_MAX,210,49,108,194271.00391874602,-2522.613777646079,-198367.39911520004,-25252.021366299938,-5.020410753786564e-10,-31871.030340400524
R4_LEVEL_D08_C_MAX_CA,R1_LEVEL_D08_C_MAX_CA,229,31,30,-44527.56297860684,-57692.11684829286,-62283.532276200094,83831.71957000003,6.257323548197746e-10,-80671.49253309914
B_H02_C_MAX_COST2,A_H02_C_MAX_E10,707,58,57,260658.47266151028,-154364.74413741013,-283625.51069399994,-152964.17915119996,9118.66698999962,-321177.29433110007
B_H02_C_MAX_DELAY1,A_H02_C_MAX_E10,412,349,352,149869.0953275829,1029135.3463562167,-426951.2374409999,-1024396.6926111004,32820.06111999974,-239523.42724830098
B_D08_C_MAX_COST2,A_D08_C_MAX_E10,338,15,16,17325.630185303373,-66052.72569690275,3664.4626469999603,9904.432889999971,-8.003553375601768e-11,-35158.19997459953
B_D08_C_MAX_DELAY1,A_D08_C_MAX_E10,210,142,144,-9461.040704451378,311473.181242451,54793.71275019994,-258507.67028049985,5.820766091346741e-11,98298.18300769979
B_H01_C_MAX_COST2,A_H01_C_MAX_E10,306,6,12,64897.85160541915,-108253.50416571845,34983.706430000006,-1209.97202,-4.667981556849554e-10,-9581.918150299753
B_H01_C_MAX_DELAY1,A_H01_C_MAX_E10,197,145,121,448898.521363197,677246.5763190036,-308978.7001828004,-394076.7286891994,-22880.742000000027,400208.92681020085
B_D06_C_MAX_COST2,A_D06_C_MAX_E10,758,49,47,122615.8864367481,-81492.08553494766,-137516.12197039998,33038.753825199914,-2420.5669799995158,-65774.13422339916
B_D06_C_MAX_DELAY1,A_D06_C_MAX_E10,435,374,370,-99035.32026106678,308523.15684766683,-197155.64050450013,-68906.13049299986,-13403.787060000002,-69977.72147089994
R1_S1_D08_COST2_C_MAX,R1_S1_D08_C_MAX,298,20,20,335.8409335049191,-60024.11075420472,40921.85114339995,29244.332089999847,-5.4569682106375694e-11,10477.913412699942
R1_S1_D08_DELAY1_C_MAX,R1_S1_D08_C_MAX,183,131,135,-21007.76998053584,272214.08392133575,23795.892601199957,-159848.7190996,5.529727786779404e-10,115153.48744240042
R1_S1_D08_C3_C_MAX,R1_S1_D08_C_MAX,299,20,19,82227.53806904332,-595.6174113438603,-168531.57448000016,-29730.459512400008,3.637978807091713e-12,-116630.1133347007
R1_LEVEL_D08_COST2_C_MAX,R1_LEVEL_D08_C_MAX_CA,241,16,18,-23417.62203477699,-41335.52057772253,33131.883722,29941.053160000025,1.076841726899147e-09,-1680.2057304984191
R1_LEVEL_D08_DELAY1_C_MAX,R1_LEVEL_D08_C_MAX_CA,148,115,111,-90464.93837412832,259463.2792380281,286209.66583880014,-15334.968844199902,8.149072527885437e-10,439873.03785850084
R1_LEVEL_D08_C3_C_MAX,R1_LEVEL_D08_C_MAX_CA,237,16,22,4185.463209696598,-105.42773619649546,-28096.39329,11568.01479680002,-3.8198777474462986e-10,-12448.34301970026
