id,baseline,return_increment,exposure_increment,cagr_diff_ci_low,cagr_diff_ci_high,inference
B_H02_C_MAX_COST2,A_H02_C_MAX_E10,-0.3211772943311001,0.000367272006132513,-0.15685176836696696,0.010456803707122065,EXPLORATORY_PAIRED_20_SESSION_BLOCKS
B_H02_C_MAX_DELAY1,A_H02_C_MAX_E10,-0.23952342724830097,-0.006661105736081807,-0.320325013339903,0.20599277720194062,EXPLORATORY_PAIRED_20_SESSION_BLOCKS
B_D08_C_MAX_COST2,A_D08_C_MAX_E10,-0.03515819997459953,-0.006538003298877659,-0.05952510376106641,0.0287809138527246,EXPLORATORY_PAIRED_20_SESSION_BLOCKS
B_D08_C_MAX_DELAY1,A_D08_C_MAX_E10,0.09829818300769978,-0.0144340716094854,-0.15725795298839748,0.2347866782139057,EXPLORATORY_PAIRED_20_SESSION_BLOCKS
B_H01_C_MAX_COST2,A_H01_C_MAX_E10,-0.009581918150299752,0.010097179444735871,-0.02880529217053209,0.028821740081269104,EXPLORATORY_PAIRED_20_SESSION_BLOCKS
B_H01_C_MAX_DELAY1,A_H01_C_MAX_E10,0.40020892681020087,-0.01035521714375065,-0.1348242003335414,0.5027574155134766,EXPLORATORY_PAIRED_20_SESSION_BLOCKS
B_D06_C_MAX_COST2,A_D06_C_MAX_E10,-0.06577413422339916,-0.001013817557803831,-0.06182206784320411,0.0049239877743262,EXPLORATORY_PAIRED_20_SESSION_BLOCKS
B_D06_C_MAX_DELAY1,A_D06_C_MAX_E10,-0.06997772147089994,-0.006977778461727424,-0.16814135086569215,0.11100520458484918,EXPLORATORY_PAIRED_20_SESSION_BLOCKS
R1_S1_D08_COST2_C_MAX,R1_S1_D08_C_MAX,0.010477913412699942,-0.008352359323196556,-0.06141165225580228,0.0810059491467589,EXPLORATORY_PAIRED_20_SESSION_BLOCKS
R1_S1_D08_DELAY1_C_MAX,R1_S1_D08_C_MAX,0.11515348744240042,-0.019172629360019122,-0.18044256964951805,0.2486916822448889,EXPLORATORY_PAIRED_20_SESSION_BLOCKS
R1_S1_D08_C3_C_MAX,R1_S1_D08_C_MAX,-0.11663011333470069,0.024842664712959373,-0.14413800454877065,0.03208443391387589,EXPLORATORY_PAIRED_20_SESSION_BLOCKS
R1_LEVEL_D08_COST2_C_MAX,R1_LEVEL_D08_C_MAX_CA,-0.001680205730498419,-0.007033679642426738,-0.04453499968737908,0.0645695129553553,EXPLORATORY_PAIRED_20_SESSION_BLOCKS
R1_LEVEL_D08_DELAY1_C_MAX,R1_LEVEL_D08_C_MAX_CA,0.43987303785850085,-0.014182169299250702,-0.07158590622425594,0.3196702039710098,EXPLORATORY_PAIRED_20_SESSION_BLOCKS
R1_LEVEL_D08_C3_C_MAX,R1_LEVEL_D08_C_MAX_CA,-0.01244834301970026,0.005513807224712286,-0.017394654515783186,0.008576342541397022,EXPLORATORY_PAIRED_20_SESSION_BLOCKS
R1_S1_D08_COST2_C_MAX,B_D08_C_MAX_COST2,0.20948637884039992,-0.06989154927042218,-0.04733291379567513,0.2241695425056589,EXPLORATORY_PAIRED_20_SESSION_BLOCKS
R1_S1_D08_DELAY1_C_MAX,B_D08_C_MAX_DELAY1,0.18070556988780107,-0.07281575099663701,-0.033435422484909015,0.15318442106847607,EXPLORATORY_PAIRED_20_SESSION_BLOCKS
R3_HALF_D08_C_MAX,R1_LEVEL_D08_C_MAX_CA,0.08076299086310004,-0.08829682790474286,-0.06296454843751573,0.11139889942174223,EXPLORATORY_PAIRED_20_SESSION_BLOCKS
A_H02_C_10_E10,A_D05_C_10_E10,0.3569468192486997,-0.005028184677361103,-0.025352988195106254,0.1955163691751345,EXPLORATORY_PAIRED_20_SESSION_BLOCKS
C_H02_C_10_G_DOWN,A_H02_C_10_E10,-0.27763012998330033,-0.12492336622773281,-0.1947386436652018,0.06478078270597251,EXPLORATORY_PAIRED_20_SESSION_BLOCKS
C_H02_C_10_G_RAMP,A_H02_C_10_E10,-0.45201231563039984,-0.3689198295130411,-0.2774175429874517,0.043948964500550865,EXPLORATORY_PAIRED_20_SESSION_BLOCKS
R1_CURRENT_H02_C_10,C_H02_C_10_G_DOWN,-0.17690227468729997,0.008984236669095091,-0.1224712954138761,0.023451345583056362,EXPLORATORY_PAIRED_20_SESSION_BLOCKS
R1_S1_H02_C_10_CA,A_H02_C_10_E10,-0.5555913359105014,-0.13626718212207256,-0.28469866372852853,-0.008186772038879141,EXPLORATORY_PAIRED_20_SESSION_BLOCKS
R1_S1_D08_C_10,A_D08_C_10_E10,0.06883099485019943,-0.03583503333505583,-0.022310128537240074,0.054423046713306854,EXPLORATORY_PAIRED_20_SESSION_BLOCKS
R1_S1_H01_C_10,A_H01_C_10_E10,-0.2857156004012997,-0.07431222740318816,-0.1979446503945832,0.009165238248833993,EXPLORATORY_PAIRED_20_SESSION_BLOCKS
R1_S1_POOL_C_10,R0_POOL_C_10,-0.3789518469328025,-0.13411184871666537,-0.26033905555763037,0.046647642737957226,EXPLORATORY_PAIRED_20_SESSION_BLOCKS
R4_S1_POOL_C_10,R1_S1_POOL_C_10,-0.03304262989009882,-0.13147508942779718,-0.13065575777610944,0.10648727861788526,EXPLORATORY_PAIRED_20_SESSION_BLOCKS
R4_S1_H02_C_10_CA,R1_S1_H02_C_10_CA,-0.007831483049599105,-0.13372868334963373,-0.12142229650080738,0.1123017825007021,EXPLORATORY_PAIRED_20_SESSION_BLOCKS
R2_PRIORITY_GATE_C_10,R1_S1_POOL_C_10,0.03335859121480084,-0.003005785088381119,-0.043786014381187253,0.05941331968717911,EXPLORATORY_PAIRED_20_SESSION_BLOCKS
R2_PRIORITY_OPEN_C_10,R0_POOL_C_10,0.05282089641149715,-0.0036716414584996304,-0.0453416525972487,0.06776980184772977,EXPLORATORY_PAIRED_20_SESSION_BLOCKS
R1_LEVEL_D08_C_10_CA,R1_S1_D08_C_10,-0.07229776948230038,-0.05882124317672516,-0.08001627684284741,0.039116788626277633,EXPLORATORY_PAIRED_20_SESSION_BLOCKS
R4_LEVEL_D08_C_10_CA,R1_LEVEL_D08_C_10_CA,-0.13773332603790076,-0.04886862275262199,-0.08401334733032338,0.010637686558303985,EXPLORATORY_PAIRED_20_SESSION_BLOCKS
B_H02_C_10_COST2,A_H02_C_10_E10,-0.1780764496572006,-0.0016211361844051808,-0.07936581184180203,0.0006150889615232993,EXPLORATORY_PAIRED_20_SESSION_BLOCKS
B_H02_C_10_DELAY1,A_H02_C_10_E10,-0.30853845332110114,-0.01611393800023675,-0.21081726280209925,0.060894424422004816,EXPLORATORY_PAIRED_20_SESSION_BLOCKS
B_D08_C_10_COST2,A_D08_C_10_E10,-0.09048570532000111,0.0006456030681573077,-0.04427519859863658,-0.007146723783849564,EXPLORATORY_PAIRED_20_SESSION_BLOCKS
B_D08_C_10_DELAY1,A_D08_C_10_E10,0.26484423974929794,-0.007242619020965346,-0.052883095482295396,0.19240963259526864,EXPLORATORY_PAIRED_20_SESSION_BLOCKS
B_H01_C_10_COST2,A_H01_C_10_E10,-0.01216727438730048,-4.859779930843633e-05,-0.01797820746736087,0.022132857170045477,EXPLORATORY_PAIRED_20_SESSION_BLOCKS
B_H01_C_10_DELAY1,A_H01_C_10_E10,0.15476512736639847,0.016512038648060834,-0.11399139125567886,0.17948639782880108,EXPLORATORY_PAIRED_20_SESSION_BLOCKS
B_D06_C_10_COST2,A_D06_C_10_E10,-0.08042094943200087,-0.002405336788347645,-0.06553929384263503,-0.007419327454795638,EXPLORATORY_PAIRED_20_SESSION_BLOCKS
B_D06_C_10_DELAY1,A_D06_C_10_E10,0.045865497513799404,-0.010651975624629717,-0.08768357308183829,0.12131164873956611,EXPLORATORY_PAIRED_20_SESSION_BLOCKS
R1_S1_D08_COST2_C_10,R1_S1_D08_C_10,-0.08247617564239958,-0.0009934269562056341,-0.038695974906749274,-0.004190786807717036,EXPLORATORY_PAIRED_20_SESSION_BLOCKS
R1_S1_D08_DELAY1_C_10,R1_S1_D08_C_10,0.29559336784319973,-0.009885666016434647,-0.04463747664495595,0.18522394536652922,EXPLORATORY_PAIRED_20_SESSION_BLOCKS
R1_S1_D08_C3_C_10,R1_S1_D08_C_10,-0.05568909747399925,0.012001625344064293,-0.030816267487082306,0.0031292759880260724,EXPLORATORY_PAIRED_20_SESSION_BLOCKS
R1_LEVEL_D08_COST2_C_10,R1_LEVEL_D08_C_10_CA,-0.07680108948129905,0.00023082660356499307,-0.04012404159968133,-0.003856324514651664,EXPLORATORY_PAIRED_20_SESSION_BLOCKS
R1_LEVEL_D08_DELAY1_C_10,R1_LEVEL_D08_C_10_CA,0.3504122058232012,-0.011545352254730079,-0.0338176806183587,0.18898683303442546,EXPLORATORY_PAIRED_20_SESSION_BLOCKS
R1_LEVEL_D08_C3_C_10,R1_LEVEL_D08_C_10_CA,0.04163606850730162,0.0037380983467540374,-0.012929961066036942,0.0365393440418569,EXPLORATORY_PAIRED_20_SESSION_BLOCKS
R1_S1_D08_COST2_C_10,B_D08_C_10_COST2,0.07684052452780096,-0.037474063359418774,-0.01829891269213916,0.05614473369194241,EXPLORATORY_PAIRED_20_SESSION_BLOCKS
R1_S1_D08_DELAY1_C_10,B_D08_C_10_DELAY1,0.09958012294410122,-0.03847808033052513,-0.017650011206141444,0.05690140682120332,EXPLORATORY_PAIRED_20_SESSION_BLOCKS
R3_HALF_D08_C_10,R1_LEVEL_D08_C_10_CA,-0.024835915211298968,-0.0529657628328358,-0.057706702009053285,0.045263364341156104,EXPLORATORY_PAIRED_20_SESSION_BLOCKS
