id,group,signal,capital,exit,stress,overlay,gate,arm,status,configuration_defined_in,started_at,output,net_return,cagr,maxdd,maxdd_date,volatility,sharpe,mean_exposure,p95_exposure,max_single,trades,mean_hold,deferred_trades,fees,slippage,turnover,end_open,filled_buys,win_rate,profit_factor,worst_trade_pnl,flat_days,max_exposure,min_cash,nav_rows,max_underwater_sessions,max_losing_days,max_plan_risk_cny,max_mark_risk_cny,reason,ended_at,execution_grade,signals,version_family,mode,delay,cost,book,fixed_budget,started,ended,registered_exit,policy,identity_repair_note,matched_coverage_required,fixed_holding,state_key,blocked_states,budgets,new_initial_sleeve,existing_initial_sleeve,rebalancing,initial_capital,resolved_by
A_D00_C_MAX_E10,A_CORE_BASE,D00,C_MAX,E10,BASE,NONE,CORE,,VERIFIED_REUSE,V3_MAIN_TEXT,1788844664.982145,/Volumes/quant/CY_quant_research/usic_multichampion_ashare_v3/A_D00_C_MAX_E10,-0.636056670894301,-0.230941658606762,-0.7659145268918405,2023-12-28,0.3166247593403027,-0.6699709928375216,0.8317732854705133,0.997333850777012,0.3912541979922103,799.0,10.02252816020025,4.0,118771.33713230012,117714.4900000004,160.22474093808648,10.0,809.0,0.4205256570713391,0.8506261279613746,-79471.41436,1.0,0.9999764687468234,15.293039399398763,970.0,938.0,7.0,274666.41474159405,454764.39,,1788844669.052492,DAILY_OPEN_MODEL,16648.0,V3_ORIGINAL,,,,,,,,,,,,,,,,,,,,
A_D00_C_10_E10,A_CORE_BASE,D00,C_10,E10,BASE,NONE,CORE,,VERIFIED_REUSE,V3_MAIN_TEXT,1788844673.358456,/Volumes/quant/CY_quant_research/usic_multichampion_ashare_v3/A_D00_C_10_E10,-0.6622367650085,-0.2457133679143229,-0.7777933032867284,2023-12-28,0.2978257356056905,-0.7968328289164919,0.7960744578321475,0.9722187600014028,0.1437556892787394,800.0,10.0225,4.0,112196.21344050004,111097.71000000065,153.9569110862781,10.0,810.0,0.415,0.8382225622374053,-93495.7816,1.0,0.9984030098961296,2387.3794400001643,970.0,938.0,7.0,244848.14391625815,442226.44,,1788844677.4198751,DAILY_OPEN_MODEL,16648.0,V3_ORIGINAL,,,,,,,,,,,,,,,,,,,,
A_D01_C_MAX_E10,A_CORE_BASE,D01,C_MAX,E10,BASE,NONE,CORE,,VERIFIED_REUSE,V3_MAIN_TEXT,1788844689.286996,/Volumes/quant/CY_quant_research/usic_multichampion_ashare_v3/A_D01_C_MAX_E10,-0.540611412184401,-0.1829728167753647,-0.7108929506359182,2023-08-16,0.3158978591468473,-0.4809942620721247,0.8095391115028945,0.9990240748470351,0.7936034469129897,675.0,10.011851851851851,2.0,108400.95800839987,112755.82000000084,157.35743967150034,7.0,682.0,0.4488888888888889,0.836986926399872,-90931.59599999996,7.0,0.999978388595586,16.03339359933898,970.0,937.0,8.0,195170.75879999995,359813.45000000007,,1788844692.5504751,DAILY_OPEN_MODEL,4429.0,V3_ORIGINAL,,,,,,,,,,,,,,,,,,,,
A_D01_C_10_E10,A_CORE_BASE,D01,C_10,E10,BASE,NONE,CORE,,VERIFIED_REUSE,V3_MAIN_TEXT,1788844695.761506,/Volumes/quant/CY_quant_research/usic_multichampion_ashare_v3/A_D01_C_10_E10,-0.4019439405263011,-0.1250183900016905,-0.5140962444356592,2023-08-28,0.2412317217370637,-0.4324097275269503,0.7157497719480594,0.9715777863918916,0.1532518465668657,718.0,10.011142061281337,2.0,93245.02935029984,99346.61000000071,139.67682065127053,7.0,725.0,0.4582172701949861,0.8574406338603161,-31184.655759999987,7.0,0.9977156208891074,2283.3839987990796,970.0,937.0,7.0,139497.4050000001,200014.40834999995,,1788844698.88087,DAILY_OPEN_MODEL,4429.0,V3_ORIGINAL,,,,,,,,,,,,,,,,,,,,
A_D02_C_MAX_E10,A_CORE_BASE,D02,C_MAX,E10,BASE,NONE,CORE,,VERIFIED_REUSE,V3_MAIN_TEXT,1788844708.310346,/Volumes/quant/CY_quant_research/usic_multichampion_ashare_v3/A_D02_C_MAX_E10,-0.5796365409601002,-0.2016008021667459,-0.704676296379174,2023-12-28,0.3166348336182734,-0.5518636281229882,0.8072101962014568,0.9991735356115417,0.7756736688492436,667.0,10.0119940029985,2.0,117615.59504010006,119869.71000000072,156.7449489095151,7.0,674.0,0.4632683658170914,0.8423601409121204,-92447.1226,6.0,0.9999816826974314,20.63448960022106,970.0,725.0,8.0,195745.59499999997,372928.93000000005,,1788844711.574212,DAILY_OPEN_MODEL,4429.0,V3_ORIGINAL,,,,,,,,,,,,,,,,,,,,
A_D02_C_10_E10,A_CORE_BASE,D02,C_10,E10,BASE,NONE,CORE,,VERIFIED_REUSE,V3_MAIN_TEXT,1788844714.902199,/Volumes/quant/CY_quant_research/usic_multichampion_ashare_v3/A_D02_C_10_E10,-0.405539529762701,-0.1263880871865536,-0.5262942292012688,2023-08-28,0.2417396565278577,-0.4374445039552347,0.705815033152869,0.9666660224025376,0.1535822682395217,709.0,10.011283497884344,2.0,94542.26789070008,98902.89000000044,137.026321975748,7.0,716.0,0.464033850493653,0.8615568923325739,-29503.83014,6.0,0.9953501351628886,5135.344878799573,970.0,937.0,8.0,149411.17004999996,241283.05513105544,,1788844718.2132962,DAILY_OPEN_MODEL,4429.0,V3_ORIGINAL,,,,,,,,,,,,,,,,,,,,
A_D03_C_MAX_E10,A_CORE_BASE,D03,C_MAX,E10,BASE,NONE,CORE,,VERIFIED_REUSE,V3_MAIN_TEXT,1788844724.602945,/Volumes/quant/CY_quant_research/usic_multichampion_ashare_v3/A_D03_C_MAX_E10,-0.8271157533954002,-0.3661688581140139,-0.8448275834572121,2023-10-23,0.2571292323631882,-1.6419241855453344,0.8469084690019322,0.9982642324758734,0.6749271599572122,807.0,10.0272614622057,7.0,57700.41739539979,75937.21000000041,162.54434077118623,10.0,817.0,0.4014869888475836,0.5834396758040306,-78407.44920000003,3.0,0.9996470493834924,93.2445063998257,970.0,957.0,10.0,73238.89044623172,147779.36800787807,,1788844726.828918,DAILY_OPEN_MODEL,14025.0,V3_ORIGINAL,,,,,,,,,,,,,,,,,,,,
A_D03_C_10_E10,A_CORE_BASE,D03,C_10,E10,BASE,NONE,CORE,,VERIFIED_REUSE,V3_MAIN_TEXT,1788844729.192925,/Volumes/quant/CY_quant_research/usic_multichampion_ashare_v3/A_D03_C_10_E10,-0.7327549497168996,-0.290234840399986,-0.7648822342650742,2023-10-23,0.235644041381341,-1.3350312874497332,0.8044657803482934,0.9733029748395016,0.1585650054097941,808.0,10.027227722772276,7.0,65425.93371689989,88222.00000000055,154.1147663027399,10.0,818.0,0.4034653465346535,0.6556670865397038,-39249.28584,3.0,0.996840975271324,1709.0483260004694,970.0,957.0,9.0,67907.7780995826,116110.02324977108,,1788844731.329397,DAILY_OPEN_MODEL,14025.0,V3_ORIGINAL,,,,,,,,,,,,,,,,,,,,
A_D04_C_MAX_E10,A_CORE_BASE,D04,C_MAX,E10,BASE,NONE,CORE,,VERIFIED_REUSE,V3_MAIN_TEXT,1788844738.198427,/Volumes/quant/CY_quant_research/usic_multichampion_ashare_v3/A_D04_C_MAX_E10,-0.7149870056246996,-0.2782659235255215,-0.7564002134355006,2023-10-23,0.2626799741235987,-1.1083240239947485,0.8293741840489692,0.998770888956579,0.978326183053224,758.0,10.017150395778364,3.0,70354.45762469996,93314.2300000008,158.4105471058454,8.0,766.0,0.4234828496042216,0.6633015471350624,-116511.1191999999,4.0,0.9999100769580784,30.12142050035618,970.0,957.0,8.0,90668.96624830952,121574.28922314398,,1788844740.345145,DAILY_OPEN_MODEL,5583.0,V3_ORIGINAL,,,,,,,,,,,,,,,,,,,,
A_D04_C_10_E10,A_CORE_BASE,D04,C_10,E10,BASE,NONE,CORE,,VERIFIED_REUSE,V3_MAIN_TEXT,1788844742.4429388,/Volumes/quant/CY_quant_research/usic_multichampion_ashare_v3/A_D04_C_10_E10,-0.6863120130682998,-0.2600655197046759,-0.7264652450790875,2023-10-23,0.223598603372538,-1.233562102760637,0.7685102602811632,0.9740832183617244,0.1486534275905133,769.0,10.016905071521457,3.0,67323.40092429995,88267.34000000088,146.09238350228588,9.0,778.0,0.4187256176853056,0.6620482906270488,-41558.06736,4.0,0.9994590581381604,345.46952840019947,970.0,957.0,10.0,71630.29923913076,152294.99289489508,,1788844744.3086011,DAILY_OPEN_MODEL,5583.0,V3_ORIGINAL,,,,,,,,,,,,,,,,,,,,
