id,route,entry_state,holding_state,holding_rows,dates,capital_days
A_D00_C_MAX_E10,D00,HIGH_IMPROVING,HIGH_IMPROVING,848,182,82315294.64
A_D00_C_MAX_E10,D00,HIGH_IMPROVING,HIGH_NONIMPROVING,576,159,54739880.519999996
A_D00_C_MAX_E10,D00,HIGH_IMPROVING,LOW_IMPROVING,75,18,7163240.21
A_D00_C_MAX_E10,D00,HIGH_IMPROVING,LOW_NONIMPROVING,152,61,14112982.24
A_D00_C_MAX_E10,D00,HIGH_NONIMPROVING,HIGH_IMPROVING,378,95,37635466.22
A_D00_C_MAX_E10,D00,HIGH_NONIMPROVING,HIGH_NONIMPROVING,1087,204,99237772.14999999
A_D00_C_MAX_E10,D00,HIGH_NONIMPROVING,LOW_IMPROVING,1,1,67520.0
A_D00_C_MAX_E10,D00,HIGH_NONIMPROVING,LOW_NONIMPROVING,315,82,28057942.36
A_D00_C_MAX_E10,D00,LOW_IMPROVING,HIGH_IMPROVING,257,62,23616559.73
A_D00_C_MAX_E10,D00,LOW_IMPROVING,HIGH_NONIMPROVING,55,18,5732911.58
A_D00_C_MAX_E10,D00,LOW_IMPROVING,LOW_IMPROVING,1381,242,124328953.30000001
A_D00_C_MAX_E10,D00,LOW_IMPROVING,LOW_NONIMPROVING,640,137,58405790.72
A_D00_C_MAX_E10,D00,LOW_NONIMPROVING,HIGH_IMPROVING,167,54,16205632.3
A_D00_C_MAX_E10,D00,LOW_NONIMPROVING,HIGH_NONIMPROVING,48,33,5760851.0
A_D00_C_MAX_E10,D00,LOW_NONIMPROVING,LOW_IMPROVING,693,179,62681546.870000005
A_D00_C_MAX_E10,D00,LOW_NONIMPROVING,LOW_NONIMPROVING,1392,284,120033196.12
A_D00_C_10_E10,D00,HIGH_IMPROVING,HIGH_IMPROVING,855,182,78750485.53999999
A_D00_C_10_E10,D00,HIGH_IMPROVING,HIGH_NONIMPROVING,573,159,52745026.120000005
A_D00_C_10_E10,D00,HIGH_IMPROVING,LOW_IMPROVING,75,18,6872094.62
A_D00_C_10_E10,D00,HIGH_IMPROVING,LOW_NONIMPROVING,158,61,13361412.6
A_D00_C_10_E10,D00,HIGH_NONIMPROVING,HIGH_IMPROVING,375,95,35974700.69
A_D00_C_10_E10,D00,HIGH_NONIMPROVING,HIGH_NONIMPROVING,1090,204,94418155.6
A_D00_C_10_E10,D00,HIGH_NONIMPROVING,LOW_IMPROVING,1,1,98748.0
A_D00_C_10_E10,D00,HIGH_NONIMPROVING,LOW_NONIMPROVING,315,82,26528943.86
A_D00_C_10_E10,D00,LOW_IMPROVING,HIGH_IMPROVING,258,62,21466296.34
A_D00_C_10_E10,D00,LOW_IMPROVING,HIGH_NONIMPROVING,55,18,4559812.88
A_D00_C_10_E10,D00,LOW_IMPROVING,LOW_IMPROVING,1385,242,118658914.84
A_D00_C_10_E10,D00,LOW_IMPROVING,LOW_NONIMPROVING,655,138,54125022.2
A_D00_C_10_E10,D00,LOW_NONIMPROVING,HIGH_IMPROVING,163,54,16127188.18
A_D00_C_10_E10,D00,LOW_NONIMPROVING,HIGH_NONIMPROVING,48,33,4157559.0
A_D00_C_10_E10,D00,LOW_NONIMPROVING,LOW_IMPROVING,694,179,59569586.12
