state,days,cash_account_daily_pnl,mean_exposure,route,capital
HIGH_IMPROVING,196,-320467.96170239866,0.8348266608000859,D00,C_MAX
HIGH_NONIMPROVING,217,-26912.327727501513,0.814118891553463,D00,C_MAX
LOW_IMPROVING,253,-424971.6158133009,0.8453024370538963,D00,C_MAX
LOW_NONIMPROVING,304,136295.23434890015,0.8311471886442231,D00,C_MAX
HIGH_IMPROVING,196,-28417.07363180007,0.83598044364851,D01,C_MAX
HIGH_NONIMPROVING,217,61582.50878780009,0.8189316549991621,D01,C_MAX
LOW_IMPROVING,253,-434592.0227306011,0.8330514303579847,D01,C_MAX
LOW_NONIMPROVING,304,-139184.8246097999,0.7662190466687876,D01,C_MAX
HIGH_IMPROVING,196,-66808.57905299985,0.8310469345056058,D02,C_MAX
HIGH_NONIMPROVING,217,-182322.0751870998,0.8203738408944621,D02,C_MAX
LOW_IMPROVING,253,-366156.1755576997,0.8269033414050531,D02,C_MAX
LOW_NONIMPROVING,304,35650.28883769916,0.7660559944169006,D02,C_MAX
HIGH_IMPROVING,196,-129109.16892719947,0.8457010015762068,D03,C_MAX
HIGH_NONIMPROVING,217,-261449.35294330018,0.8420331607707185,D03,C_MAX
LOW_IMPROVING,253,-131975.1392762004,0.858735939974649,D03,C_MAX
LOW_NONIMPROVING,304,-304582.0922487001,0.8413237826385047,D03,C_MAX
HIGH_IMPROVING,196,-203993.5841624997,0.8417633590276012,D04,C_MAX
HIGH_NONIMPROVING,217,-224515.6208677999,0.8203803738481187,D04,C_MAX
LOW_IMPROVING,253,-89592.03489219974,0.8317914439404155,D04,C_MAX
LOW_NONIMPROVING,304,-196885.7657022003,0.8257946174872485,D04,C_MAX
HIGH_IMPROVING,196,42816.08187789866,0.8545140511005973,D05,C_MAX
HIGH_NONIMPROVING,217,160655.0217829995,0.8155412730835516,D05,C_MAX
LOW_IMPROVING,253,129041.87238349905,0.817797858658885,D05,C_MAX
LOW_NONIMPROVING,304,-264477.8841962981,0.8025889515349239,D05,C_MAX
HIGH_IMPROVING,196,125735.17042639898,0.8485665948473586,D06,C_MAX
HIGH_NONIMPROVING,217,-97775.4105655998,0.8415314132550538,D06,C_MAX
LOW_IMPROVING,253,-154792.04883279972,0.8583307631032489,D06,C_MAX
LOW_NONIMPROVING,304,-340790.4972628996,0.8369118405693424,D06,C_MAX
HIGH_IMPROVING,196,-256583.76540699974,0.8279001121107232,D07,C_MAX
HIGH_NONIMPROVING,217,-88951.62491690018,0.8206646933414428,D07,C_MAX
LOW_IMPROVING,253,-190405.26571530057,0.8197790509578279,D07,C_MAX
LOW_NONIMPROVING,304,48820.3334460996,0.8128553664805226,D07,C_MAX
HIGH_IMPROVING,196,-189265.93290609866,0.765027511612811,D08,C_MAX
HIGH_NONIMPROVING,217,2285.7087367991917,0.7174199124891096,D08,C_MAX
LOW_IMPROVING,253,-189571.2467475006,0.4827545096268186,D08,C_MAX
LOW_NONIMPROVING,304,-52901.308728800504,0.44906284755449694,D08,C_MAX
HIGH_IMPROVING,196,33832.02378279995,0.8433354693640581,D09,C_MAX
HIGH_NONIMPROVING,217,-115284.91521600028,0.8219898631302912,D09,C_MAX
LOW_IMPROVING,253,-484931.16884490044,0.8571343203425009,D09,C_MAX
LOW_NONIMPROVING,304,111840.98914940062,0.7740730609173938,D09,C_MAX
HIGH_IMPROVING,196,-234466.05841919838,0.6608336968806108,H01,C_MAX
HIGH_NONIMPROVING,217,-411156.10107550235,0.7070702681636329,H01,C_MAX
LOW_IMPROVING,253,76377.15282740013,0.5826598408593255,H01,C_MAX
LOW_NONIMPROVING,304,13830.433955500193,0.6179777409313224,H01,C_MAX
HIGH_IMPROVING,196,184755.51960499992,0.8531693545631068,H02,C_MAX
HIGH_NONIMPROVING,217,195714.81185780116,0.8129983349896746,H02,C_MAX
LOW_IMPROVING,253,211972.8191532985,0.8171265037134726,H02,C_MAX
LOW_NONIMPROVING,304,-145485.9605197995,0.8124164651220225,H02,C_MAX
HIGH_IMPROVING,196,-285376.19053539936,0.8087782825959658,D00,C_10
HIGH_NONIMPROVING,217,-15065.931694201194,0.7770736602316191,D00,C_10
LOW_IMPROVING,253,-484249.82803229964,0.81875951342134,D00,C_10
LOW_NONIMPROVING,304,122455.18525340018,0.7825675642845834,D00,C_10
HIGH_IMPROVING,196,-101640.92172770097,0.7931574066327816,D01,C_10
HIGH_NONIMPROVING,217,-45661.37582659989,0.7441303327110804,D01,C_10
LOW_IMPROVING,253,-412354.1074616001,0.7531298452971774,D01,C_10
LOW_NONIMPROVING,304,157712.4644895998,0.6144746514180989,D01,C_10
HIGH_IMPROVING,196,-62962.42638429999,0.7771375608283566,D02,C_10
