id,period,net_return,maxdd,mean_exposure,pnl,days
A_D00_C_MAX_E10,2020,0.20100693335399966,-0.32217199167262,0.8169416497532388,201006.93335399986,243
A_D00_C_MAX_E10,2021,-0.038376592276352484,-0.24979356288487187,0.8237919396331129,-46090.55340239988,243
A_D00_C_MAX_E10,2022,-0.4774008840524079,-0.4835061223353695,0.8407106438154454,-551358.1007955007,242
A_D00_C_MAX_E10,2023,-0.39700383264633965,-0.4472837446895066,0.8457431771990772,-239614.95005040022,242
A_D00_C_10_E10,2020,0.1629270632515989,-0.30013806389864206,0.7865987120590335,162927.06325160014,243
A_D00_C_10_E10,2021,-0.03380951207418503,-0.23459959627020865,0.8002796470990835,-39317.996586400084,243
A_D00_C_10_E10,2022,-0.49729553774969126,-0.4988073720503363,0.7928049388820501,-558765.7750277002,242
A_D00_C_10_E10,2023,-0.4020231097862329,-0.45768878648752775,0.8046363124475394,-227080.05664599984,242
A_D01_C_MAX_E10,2020,0.18125908754599718,-0.2867663327145452,0.8263601456460773,181259.08754599933,243
A_D01_C_MAX_E10,2021,-0.08146746725269327,-0.3315548045201302,0.840229098552584,-96234.1860316,243
A_D01_C_MAX_E10,2022,-0.4292365143716663,-0.44504007806184775,0.7389259991491103,-465732.3067325001,242
A_D01_C_MAX_E10,2023,-0.25820429359827046,-0.4414080431724915,0.8324448761299519,-159904.0069663002,242
A_D01_C_10_E10,2020,0.0572686882879998,-0.21779550944283865,0.7683615808741283,57268.68828799948,243
A_D01_C_10_E10,2021,-0.06239561805317606,-0.28103628051784135,0.7674080224614039,-65968.93325400038,243
A_D01_C_10_E10,2022,-0.3421522803758458,-0.3435607717558845,0.5844353229487705,-339175.47172090015,242
A_D01_C_10_E10,2023,-0.08291091931848793,-0.21895929798549885,0.7423632934937222,-54068.2238394001,242
A_D02_C_MAX_E10,2020,0.38117494714200184,-0.3126059211677056,0.8108352217906541,381174.9471420001,243
A_D02_C_MAX_E10,2021,-0.1606593263884224,-0.3222944133207052,0.8350205604438963,-221898.63663239987,243
A_D02_C_MAX_E10,2022,-0.4523900126839142,-0.45521558516131666,0.7453904350650142,-524445.0248156001,242
A_D02_C_MAX_E10,2023,-0.3378343687325417,-0.4273008259761727,0.8374646692011735,-214467.82665410027,242
