id,cash_flow_max_error,nav_identity_max_error,holdings_max_error,realized_plus_open_pnl_error,min_cash,max_gross_ratio,unique_physical_security,integer_stock_quantities,t1_lots,pass_
A_D00_C_MAX_E10,2.6775524020195007e-09,2.3283064365386963e-10,2.3283064365386963e-10,3.4924596548080444e-10,15.293039399398765,0.9999764687468234,True,True,True,True
A_D00_C_10_E10,9.74978320300579e-10,2.3283064365386963e-10,2.3283064365386963e-10,4.656612873077393e-10,2387.3794400001643,0.9984030098961296,True,True,True,True
A_D01_C_MAX_E10,8.731149137020111e-10,2.3283064365386963e-10,2.3283064365386963e-10,1.1641532182693481e-10,16.03339359933898,0.9999783885955861,True,True,True,True
A_D01_C_10_E10,5.820766091346741e-10,2.3283064365386963e-10,1.1641532182693481e-10,4.0745362639427185e-10,2283.3839987990796,0.9977156208891074,True,True,True,True
A_D02_C_MAX_E10,1.6298145055770874e-09,2.3283064365386963e-10,2.3283064365386963e-10,3.4924596548080444e-10,20.63448960022106,0.9999816826974314,True,True,True,True
A_D02_C_10_E10,8.731149137020111e-10,1.1641532182693481e-10,1.1641532182693481e-10,5.820766091346741e-10,5135.344878799573,0.9953501351628886,True,True,True,True
A_D03_C_MAX_E10,2.444721758365631e-09,1.1641532182693481e-10,5.820766091346741e-11,2.3283064365386963e-10,93.2445063998257,0.9996470493834924,True,True,True,True
A_D03_C_10_E10,8.585629984736443e-10,1.1641532182693481e-10,1.1641532182693481e-10,3.4924596548080444e-10,1709.0483260004694,0.9968409752713239,True,True,True,True
A_D04_C_MAX_E10,7.639755494892597e-10,1.1641532182693481e-10,1.1641532182693481e-10,0.0,30.12142050035618,0.9999100769580785,True,True,True,True
A_D04_C_10_E10,1.0841176845133305e-09,1.1641532182693481e-10,1.1641532182693481e-10,4.656612873077393e-10,345.46952840019947,0.9994590581381605,True,True,True,True
A_D05_C_MAX_E10,2.2264430299401283e-09,2.3283064365386963e-10,2.3283064365386963e-10,3.2014213502407074e-10,1.0807490995066473,0.9999993079464646,True,True,True,True
A_D05_C_10_E10,1.1350493878126144e-09,2.3283064365386963e-10,2.3283064365386963e-10,9.89530235528946e-10,2736.5219203002343,0.9981443793046719,True,True,True,True
A_D06_C_MAX_E10,1.1641532182693481e-09,1.1641532182693481e-10,1.1641532182693481e-10,0.0,93.3862999999908,0.9999172821067944,True,True,True,True
A_D06_C_10_E10,1.57160684466362e-09,2.3283064365386963e-10,2.3283064365386963e-10,5.820766091346741e-10,2726.287638900156,0.9958350109821524,True,True,True,True
A_D07_C_MAX_E10,1.7025740817189217e-09,1.1641532182693481e-10,2.3283064365386963e-10,6.402842700481415e-10,13.299124499285256,0.9999757894276274,True,True,True,True
A_D07_C_10_E10,3.550667315721512e-09,1.1641532182693481e-10,1.1641532182693481e-10,6.402842700481415e-10,150.92114760047843,0.9997429159903378,True,True,True,True
A_D08_C_MAX_E10,1.0036274034064263e-09,1.1641532182693481e-10,1.1641532182693481e-10,2.3283064365386963e-10,11.789010800343021,0.9999857400679442,True,True,True,True
A_D08_C_10_E10,9.313225746154785e-10,2.3283064365386963e-10,2.3283064365386963e-10,6.402842700481415e-10,3728.50112860043,0.9970511847848992,True,True,True,True
