route,capital,state_definition,state,year,signals,signal_dates,state_episodes,legal_fill_rate,matured,equal_date_return,equal_event_return,standardized_pnl,win_rate,profit_factor,tail_p05,mfe,mae,mean_held,actual_orders,actual_fills,cash_pnl_contribution,actual_cash_rejections,state_rejected_by_simple_gate
D00,C_MAX,S0,BEAR,2020,764,32,5,0.5759162303664922,438,0.033796170273318826,0.04146642557002537,1712472.814249599,0.6164383561643836,2.3890930442974594,-0.1325274359847688,0.12467025018044797,-0.06519115604869233,10.004566210045661,764,27,99007.22616000012,0,0
D00,C_MAX,S0,BEAR,2021,1126,42,3,0.4280639431616341,482,-0.030040366085653487,-0.017043000418269935,-764022.2990464006,0.4087136929460581,0.7223291719424395,-0.21754178285864198,0.10292592172644233,-0.10385023855326762,10.0,1126,34,-150043.57471680004,0,0
D00,C_MAX,S0,BEAR,2022,552,75,2,0.5597826086956522,309,-0.01658356631582906,-0.019082599039552756,-567936.5664875001,0.459546925566343,0.6798619116017854,-0.2689632867461314,0.10938562168105795,-0.09755771161531784,10.01294498381877,552,61,-163820.18335340012,0,0
D00,C_MAX,S0,BEAR,2023,711,59,5,0.5949367088607594,422,-0.008799385277931672,-0.0011916965791236179,-50164.5535935004,0.4312796208530806,0.9645284632690604,-0.1410214839810654,0.08939986893248154,-0.06825623325125658,10.016587677725118,711,51,-5970.227303200034,2,0
D00,C_MAX,S0,BULL,2020,3903,128,10,0.4622085575198565,1801,0.0013648510486574006,0.00042380740575546834,90811.72974759771,0.4691837867851194,1.0108905858884352,-0.18563163431140298,0.1108337047109563,-0.09201703933773353,10.014436424208773,3903,106,259390.12525399993,0,0
D00,C_MAX,S0,BULL,2021,3791,152,5,0.4486942759166447,1698,0.0015821964298747286,-0.0006394225412348067,-45286.88445560075,0.46760895170789163,0.9951251640029228,-0.22113137797929394,0.11832036662257704,-0.09999962936981788,10.006478209658422,3791,118,-110744.74957280021,0,0
D00,C_MAX,S0,BULL,2022,544,62,4,0.5386029411764706,293,-0.03055545015618254,-0.04678271961882747,-1321180.1297991998,0.25597269624573377,0.34017988575533875,-0.19297660280058604,0.07821750375532564,-0.10812939690526778,10.0,544,52,-172746.25574240007,0,0
D00,C_MAX,S0,BULL,2023,1167,101,3,0.5467009425878321,631,-0.018113653943803303,-0.018486839872676564,-1129271.1038768,0.38510301109350237,0.6136990208403484,-0.1606913923807368,0.07743818388313227,-0.07568607167582778,10.0,1167,92,-163475.92641770007,0,0
D00,C_MAX,S0,TRANSITION,2020,1627,82,15,0.5230485556238476,850,0.023896585877823298,0.027761877270570383,2229029.9427079987,0.6,1.9453785413052256,-0.13260524432451523,0.10431684539868513,-0.06367153146558595,10.032941176470588,1627,70,-108573.95574000008,0,0
D00,C_MAX,S0,TRANSITION,2021,697,48,7,0.5824964131994261,406,0.007582890375453194,0.002781912373086509,109986.15168079967,0.4876847290640394,1.0641816941444429,-0.1833610821089758,0.09954743158939744,-0.0858128645016981,10.0,697,49,104909.53227719996,0,0
D00,C_MAX,S0,TRANSITION,2022,534,99,6,0.6067415730337079,324,-0.012542657329370795,-0.02099033334617305,-653758.5843482999,0.33641975308641975,0.6038656533216296,-0.15879164584168529,0.08803072332236948,-0.08930072213516035,10.006172839506172,534,88,-149591.54753249997,1,0
