id,state_key,state_sequence_sha256,source
R1_LEVEL_D08_DELAY1_C_MAX,S1,bda36fed71269dca06d95457a7d50b62c73ad68edd6c32915073f3fa2d4bdf53,/Volumes/quant/CY_quant_research/usic_market_router_v4/confirmation_state_daily.parquet
R4_LEVEL_D08_C_10_CA,S1,bda36fed71269dca06d95457a7d50b62c73ad68edd6c32915073f3fa2d4bdf53,/Volumes/quant/CY_quant_research/usic_market_router_v4/confirmation_state_daily.parquet
R4_S1_H02_C_MAX_CA,S1,bda36fed71269dca06d95457a7d50b62c73ad68edd6c32915073f3fa2d4bdf53,/Volumes/quant/CY_quant_research/usic_market_router_v4/confirmation_state_daily.parquet
R1_LEVEL_D08_C_MAX_CA,S1,bda36fed71269dca06d95457a7d50b62c73ad68edd6c32915073f3fa2d4bdf53,/Volumes/quant/CY_quant_research/usic_market_router_v4/confirmation_state_daily.parquet
R4_S1_POOL_C_10,S1,bda36fed71269dca06d95457a7d50b62c73ad68edd6c32915073f3fa2d4bdf53,/Volumes/quant/CY_quant_research/usic_market_router_v4/confirmation_state_daily.parquet
R1_CURRENT_H02_C_MAX,S0_CURRENT,d5fe2fd6ebec69904a3af5a99e3053abea4db46550e79240b54f2bb22a7302c2,/Volumes/quant/CY_quant_research/usic_market_router_v4/confirmation_state_daily.parquet
R1_LEVEL_D08_C_10_CA,S1,bda36fed71269dca06d95457a7d50b62c73ad68edd6c32915073f3fa2d4bdf53,/Volumes/quant/CY_quant_research/usic_market_router_v4/confirmation_state_daily.parquet
R1_S1_D08_DELAY1_C_10,S1,bda36fed71269dca06d95457a7d50b62c73ad68edd6c32915073f3fa2d4bdf53,/Volumes/quant/CY_quant_research/usic_market_router_v4/confirmation_state_daily.parquet
R1_S1_D08_DELAY1_C_MAX,S1,bda36fed71269dca06d95457a7d50b62c73ad68edd6c32915073f3fa2d4bdf53,/Volumes/quant/CY_quant_research/usic_market_router_v4/confirmation_state_daily.parquet
R1_S1_D08_C3_C_10,R1_S1_D08_C3,39be9773a26292cb9dc169d78522c5f31983ace430473ea13ce5a9c27cc2e4aa,/Volumes/quant/CY_quant_research/usic_market_router_v4/confirmation_state_daily.parquet
PAST_ONLY_D08_C_MAX,PAST,f88ad81f55ab1ef15a465715159789a26016c1cfd0da4c4ccb0e8ab1facd7ec8,/Volumes/quant/CY_quant_research/usic_market_router_v4/confirmation_state_daily.parquet
R1_S1_POOL_C_MAX,S1,bda36fed71269dca06d95457a7d50b62c73ad68edd6c32915073f3fa2d4bdf53,/Volumes/quant/CY_quant_research/usic_market_router_v4/confirmation_state_daily.parquet
R1_LEVEL_D08_COST2_C_MAX,S1,bda36fed71269dca06d95457a7d50b62c73ad68edd6c32915073f3fa2d4bdf53,/Volumes/quant/CY_quant_research/usic_market_router_v4/confirmation_state_daily.parquet
R1_LEVEL_D08_COST2_C_10,S1,bda36fed71269dca06d95457a7d50b62c73ad68edd6c32915073f3fa2d4bdf53,/Volumes/quant/CY_quant_research/usic_market_router_v4/confirmation_state_daily.parquet
R4_LEVEL_D08_C_MAX_CA,S1,bda36fed71269dca06d95457a7d50b62c73ad68edd6c32915073f3fa2d4bdf53,/Volumes/quant/CY_quant_research/usic_market_router_v4/confirmation_state_daily.parquet
R1_LEVEL_D08_DELAY1_C_10,S1,bda36fed71269dca06d95457a7d50b62c73ad68edd6c32915073f3fa2d4bdf53,/Volumes/quant/CY_quant_research/usic_market_router_v4/confirmation_state_daily.parquet
R1_LEVEL_D08_C_ONE,S1,bda36fed71269dca06d95457a7d50b62c73ad68edd6c32915073f3fa2d4bdf53,/Volumes/quant/CY_quant_research/usic_market_router_v4/confirmation_state_daily.parquet
R4_S1_H02_C_MAX,S1,bda36fed71269dca06d95457a7d50b62c73ad68edd6c32915073f3fa2d4bdf53,/Volumes/quant/CY_quant_research/usic_market_router_v4/confirmation_state_daily.parquet
R1_S1_H01_C_10,S1,bda36fed71269dca06d95457a7d50b62c73ad68edd6c32915073f3fa2d4bdf53,/Volumes/quant/CY_quant_research/usic_market_router_v4/confirmation_state_daily.parquet
R1_LEVEL_D08_C_MAX,S1,bda36fed71269dca06d95457a7d50b62c73ad68edd6c32915073f3fa2d4bdf53,/Volumes/quant/CY_quant_research/usic_market_router_v4/confirmation_state_daily.parquet
R1_S1_D08_COST2_C_MAX,S1,bda36fed71269dca06d95457a7d50b62c73ad68edd6c32915073f3fa2d4bdf53,/Volumes/quant/CY_quant_research/usic_market_router_v4/confirmation_state_daily.parquet
R1_S1_H02_C_10,S1,bda36fed71269dca06d95457a7d50b62c73ad68edd6c32915073f3fa2d4bdf53,/Volumes/quant/CY_quant_research/usic_market_router_v4/confirmation_state_daily.parquet
R4_LEVEL_D08_C_10,S1,bda36fed71269dca06d95457a7d50b62c73ad68edd6c32915073f3fa2d4bdf53,/Volumes/quant/CY_quant_research/usic_market_router_v4/confirmation_state_daily.parquet
R4_LEVEL_D08_C_MAX,S1,bda36fed71269dca06d95457a7d50b62c73ad68edd6c32915073f3fa2d4bdf53,/Volumes/quant/CY_quant_research/usic_market_router_v4/confirmation_state_daily.parquet
R1_S1_H02_C_MAX,S1,bda36fed71269dca06d95457a7d50b62c73ad68edd6c32915073f3fa2d4bdf53,/Volumes/quant/CY_quant_research/usic_market_router_v4/confirmation_state_daily.parquet
R1_LEVEL_D08_C3_C_MAX,R1_LEVEL_D08_C3,7d1cae7cfd37393a9c3ef911642c681a5dc060b86dc7d4431074825f7f1c4833,/Volumes/quant/CY_quant_research/usic_market_router_v4/confirmation_state_daily.parquet
R1_S1_H02_C_10_CA,S1,bda36fed71269dca06d95457a7d50b62c73ad68edd6c32915073f3fa2d4bdf53,/Volumes/quant/CY_quant_research/usic_market_router_v4/confirmation_state_daily.parquet
R1_CURRENT_H02_C_10,S0_CURRENT,d5fe2fd6ebec69904a3af5a99e3053abea4db46550e79240b54f2bb22a7302c2,/Volumes/quant/CY_quant_research/usic_market_router_v4/confirmation_state_daily.parquet
R1_S1_D08_C_MAX,S1,bda36fed71269dca06d95457a7d50b62c73ad68edd6c32915073f3fa2d4bdf53,/Volumes/quant/CY_quant_research/usic_market_router_v4/confirmation_state_daily.parquet
R2_PRIORITY_GATE_C_MAX,S1,bda36fed71269dca06d95457a7d50b62c73ad68edd6c32915073f3fa2d4bdf53,/Volumes/quant/CY_quant_research/usic_market_router_v4/confirmation_state_daily.parquet
R1_LEVEL_D08_C3_C_10,R1_LEVEL_D08_C3,7d1cae7cfd37393a9c3ef911642c681a5dc060b86dc7d4431074825f7f1c4833,/Volumes/quant/CY_quant_research/usic_market_router_v4/confirmation_state_daily.parquet
R4_S1_H02_C_10,S1,bda36fed71269dca06d95457a7d50b62c73ad68edd6c32915073f3fa2d4bdf53,/Volumes/quant/CY_quant_research/usic_market_router_v4/confirmation_state_daily.parquet
PAST_ONLY_D08_C_10,PAST,f88ad81f55ab1ef15a465715159789a26016c1cfd0da4c4ccb0e8ab1facd7ec8,/Volumes/quant/CY_quant_research/usic_market_router_v4/confirmation_state_daily.parquet
R3_HALF_D08_C_10,S1,bda36fed71269dca06d95457a7d50b62c73ad68edd6c32915073f3fa2d4bdf53,/Volumes/quant/CY_quant_research/usic_market_router_v4/confirmation_state_daily.parquet
R1_S1_D08_C_ONE,S1,bda36fed71269dca06d95457a7d50b62c73ad68edd6c32915073f3fa2d4bdf53,/Volumes/quant/CY_quant_research/usic_market_router_v4/confirmation_state_daily.parquet
R3_HALF_D08_C_MAX,S1,bda36fed71269dca06d95457a7d50b62c73ad68edd6c32915073f3fa2d4bdf53,/Volumes/quant/CY_quant_research/usic_market_router_v4/confirmation_state_daily.parquet
R1_S1_D08_C_10,S1,bda36fed71269dca06d95457a7d50b62c73ad68edd6c32915073f3fa2d4bdf53,/Volumes/quant/CY_quant_research/usic_market_router_v4/confirmation_state_daily.parquet
R1_S1_D08_C3_C_MAX,R1_S1_D08_C3,39be9773a26292cb9dc169d78522c5f31983ace430473ea13ce5a9c27cc2e4aa,/Volumes/quant/CY_quant_research/usic_market_router_v4/confirmation_state_daily.parquet
R1_S1_D08_COST2_C_10,S1,bda36fed71269dca06d95457a7d50b62c73ad68edd6c32915073f3fa2d4bdf53,/Volumes/quant/CY_quant_research/usic_market_router_v4/confirmation_state_daily.parquet
R4_S1_POOL_C_MAX,S1,bda36fed71269dca06d95457a7d50b62c73ad68edd6c32915073f3fa2d4bdf53,/Volumes/quant/CY_quant_research/usic_market_router_v4/confirmation_state_daily.parquet
