id,entry_state,holding_state,pnl_marked_and_cash,dates
A_D00_C_MAX_E10,HIGH_IMPROVING,HIGH_IMPROVING,-183747.3616152002,182
A_D00_C_MAX_E10,HIGH_IMPROVING,HIGH_NONIMPROVING,-12328.912617099893,169
A_D00_C_MAX_E10,HIGH_IMPROVING,LOW_IMPROVING,44291.04606999997,18
A_D00_C_MAX_E10,HIGH_IMPROVING,LOW_NONIMPROVING,-38169.63799420011,70
A_D00_C_MAX_E10,HIGH_NONIMPROVING,HIGH_IMPROVING,-30552.502898799918,100
A_D00_C_MAX_E10,HIGH_NONIMPROVING,HIGH_NONIMPROVING,4037.5723787996976,204
A_D00_C_MAX_E10,HIGH_NONIMPROVING,LOW_IMPROVING,3100.383039999986,2
A_D00_C_MAX_E10,HIGH_NONIMPROVING,LOW_NONIMPROVING,-16685.319368800025,91
A_D00_C_MAX_E10,LOW_IMPROVING,HIGH_IMPROVING,-37010.65007160019,69
A_D00_C_MAX_E10,LOW_IMPROVING,HIGH_NONIMPROVING,-10080.1202892,22
A_D00_C_MAX_E10,LOW_IMPROVING,LOW_IMPROVING,-376549.3090719,242
A_D00_C_MAX_E10,LOW_IMPROVING,LOW_NONIMPROVING,-44303.29954159995,145
A_D00_C_MAX_E10,LOW_NONIMPROVING,HIGH_IMPROVING,-70261.24711679992,63
A_D00_C_MAX_E10,LOW_NONIMPROVING,HIGH_NONIMPROVING,-8334.067200000034,33
A_D00_C_MAX_E10,LOW_NONIMPROVING,LOW_IMPROVING,-94886.53585139998,195
A_D00_C_MAX_E10,LOW_NONIMPROVING,LOW_NONIMPROVING,235423.29125350004,285
A_D00_C_10_E10,HIGH_IMPROVING,HIGH_IMPROVING,-134356.4124466002,182
A_D00_C_10_E10,HIGH_IMPROVING,HIGH_NONIMPROVING,9167.437555100143,169
A_D00_C_10_E10,HIGH_IMPROVING,LOW_IMPROVING,51785.189969999956,18
A_D00_C_10_E10,HIGH_IMPROVING,LOW_NONIMPROVING,-34586.68645240004,70
A_D00_C_10_E10,HIGH_NONIMPROVING,HIGH_IMPROVING,-50145.64611519995,100
A_D00_C_10_E10,HIGH_NONIMPROVING,HIGH_NONIMPROVING,-27125.355180099985,204
A_D00_C_10_E10,HIGH_NONIMPROVING,LOW_IMPROVING,3106.7348800000036,2
A_D00_C_10_E10,HIGH_NONIMPROVING,LOW_NONIMPROVING,2304.2559251999155,91
A_D00_C_10_E10,LOW_IMPROVING,HIGH_IMPROVING,-44777.74500270009,69
A_D00_C_10_E10,LOW_IMPROVING,HIGH_NONIMPROVING,9526.546410800023,22
A_D00_C_10_E10,LOW_IMPROVING,LOW_IMPROVING,-422134.59690460016,242
A_D00_C_10_E10,LOW_IMPROVING,LOW_NONIMPROVING,-70028.5476228001,146
A_D00_C_10_E10,LOW_NONIMPROVING,HIGH_IMPROVING,-57137.58697089993,63
A_D00_C_10_E10,LOW_NONIMPROVING,HIGH_NONIMPROVING,-6384.760480000063,33
A_D00_C_10_E10,LOW_NONIMPROVING,LOW_IMPROVING,-116090.35597770009,195
A_D00_C_10_E10,LOW_NONIMPROVING,LOW_NONIMPROVING,224640.76340339996,285
A_D01_C_MAX_E10,HIGH_IMPROVING,HIGH_IMPROVING,-54072.094353500004,184
A_D01_C_MAX_E10,HIGH_IMPROVING,HIGH_NONIMPROVING,95397.11151820008,162
A_D01_C_MAX_E10,HIGH_IMPROVING,LOW_IMPROVING,19236.490000000005,13
A_D01_C_MAX_E10,HIGH_IMPROVING,LOW_NONIMPROVING,-38187.477062000005,55
A_D01_C_MAX_E10,HIGH_NONIMPROVING,HIGH_IMPROVING,-21772.923872399973,101
A_D01_C_MAX_E10,HIGH_NONIMPROVING,HIGH_NONIMPROVING,14762.312407599878,197
A_D01_C_MAX_E10,HIGH_NONIMPROVING,LOW_IMPROVING,5241.418960000013,3
A_D01_C_MAX_E10,HIGH_NONIMPROVING,LOW_NONIMPROVING,-82351.98919810017,96
A_D01_C_MAX_E10,LOW_IMPROVING,HIGH_IMPROVING,116705.60575589997,69
A_D01_C_MAX_E10,LOW_IMPROVING,HIGH_NONIMPROVING,-8866.471418000048,18
A_D01_C_MAX_E10,LOW_IMPROVING,LOW_IMPROVING,-395057.7273440005,228
A_D01_C_MAX_E10,LOW_IMPROVING,LOW_NONIMPROVING,-47497.80708809986,135
A_D01_C_MAX_E10,LOW_NONIMPROVING,HIGH_IMPROVING,-68308.46116179999,61
A_D01_C_MAX_E10,LOW_NONIMPROVING,HIGH_NONIMPROVING,-41024.84467999999,21
