id,reference,status,old_return,new_return,resolved_by,resolved_return
FIX_Q3_BASE_C_MAX_E10,Q3_BASE_C_MAX_E10,COMPLETED,-0.7797554369408,-0.5742371555624999,,
FIX_Q3_BASE_C_MAX_EST,Q3_BASE_C_MAX_EST,COMPLETED,-0.6511294868532003,-0.4057224904035005,,
FIX_Q3_BASE_C_10_E10,Q3_BASE_C_10_E10,BLOCKED_INPUT,-0.6403112415089002,,FIX_Q3_BASE_C_10_E10_CA,-0.5139686955437993
FIX_Q3_BASE_C_10_EST,Q3_BASE_C_10_EST,COMPLETED,-0.6544881273098,-0.5419380476301998,,
FIX_Q3_BASE_C_ONE_E10,Q3_BASE_C_ONE_E10,COMPLETED,-0.1331950243342013,0.0581375039371998,,
FIX_Q3_BASE_C_ONE_EST,Q3_BASE_C_ONE_EST,COMPLETED,-0.4267966057723991,1.1829159304816006,,
FIX_Q3_ENHANCED_C_MAX_E10,Q3_ENHANCED_C_MAX_E10,COMPLETED,-0.5718921602737999,-0.4191131401187999,,
FIX_Q3_ENHANCED_C_MAX_EST,Q3_ENHANCED_C_MAX_EST,COMPLETED,-0.5590961699936006,-0.1533685482180005,,
FIX_Q3_ENHANCED_C_10_E10,Q3_ENHANCED_C_10_E10,COMPLETED,-0.5220814225352014,-0.3254601481383005,,
FIX_Q3_ENHANCED_C_10_EST,Q3_ENHANCED_C_10_EST,COMPLETED,-0.4206652854643999,-0.2987834112057,,
FIX_Q3_ENHANCED_C_ONE_E10,Q3_ENHANCED_C_ONE_E10,COMPLETED,-0.2304103942300003,-0.41825691695,,
FIX_Q3_ENHANCED_C_ONE_EST,Q3_ENHANCED_C_ONE_EST,COMPLETED,0.2594194435799997,-0.1200928981000004,,
