id,reference,original_return,corrected_return,delta_return,original_signals,corrected_signals,status,resolved_by,resolved_return
FIX_A_D09_C_MAX_E10,A_D09_C_MAX_E10,-0.6704963192057002,-0.4545430711287002,0.215953248077,1843,1421,COMPLETED,,
FIX_A_D09_C_MAX_EST,A_D09_C_MAX_EST,-0.7296665858250009,-0.7475677677398014,-0.0179011819148005,1843,1421,COMPLETED,,
FIX_A_D09_C_10_E10,A_D09_C_10_E10,-0.4356603519195001,-0.4903814475328009,-0.0547210956133007,1843,1421,COMPLETED,,
FIX_A_D09_C_10_EST,A_D09_C_10_EST,-0.5517533034227,-0.6039742400581005,-0.0522209366354005,1843,1421,COMPLETED,,
FIX_A_D09_C_ONE_E10,A_D09_C_ONE_E10,-0.8343636224558997,0.5264227476949976,1.360786370150897,1843,1421,COMPLETED,,
FIX_A_D09_C_ONE_EST,A_D09_C_ONE_EST,-0.8580643365196019,-0.8165397296989008,0.0415246068207011,1843,1421,COMPLETED,,
FIX_B_D09_C_MAX_COST2,B_D09_C_MAX_COST2,-0.6473827869127007,-0.4982480548006998,0.1491347321120009,1843,1421,COMPLETED,,
FIX_B_D09_C_MAX_DELAY1,B_D09_C_MAX_DELAY1,-0.5834426926022998,-0.5905273653074004,-0.0070846727051006,1843,1421,COMPLETED,,
FIX_B_D09_C_10_COST2,B_D09_C_10_COST2,-0.4647220836135999,-0.5218438809624987,-0.0571217973488987,1843,1421,COMPLETED,,
FIX_B_D09_C_10_DELAY1,B_D09_C_10_DELAY1,-0.5155839468312007,,,1843,1421,BLOCKED_INPUT,FIX_B_D09_C_10_DELAY1_CA,-0.40414622344840057
FIX_B_D09_C_ONE_COST2,B_D09_C_ONE_COST2,-0.8481921941797004,0.3973759634428004,1.2455681576225008,1843,1421,COMPLETED,,
FIX_B_D09_C_ONE_DELAY1,B_D09_C_ONE_DELAY1,-0.6920206745769,-0.5126038810394007,0.1794167935374993,1843,1421,COMPLETED,,
