id,state,days,pnl,mean_exposure,log_return
A_D00_C_MAX_E10,HIGH_IMPROVING,196,-320467.96170239866,0.834826660800086,-0.2713970616455914
A_D00_C_MAX_E10,HIGH_NONIMPROVING,217,-26912.327727501513,0.814118891553463,-0.24546903917510654
A_D00_C_MAX_E10,LOW_IMPROVING,253,-424971.6158133009,0.8453024370538962,-0.3806855727405372
A_D00_C_MAX_E10,LOW_NONIMPROVING,304,136295.23434890015,0.8311471886442231,-0.11320543917505249
A_D00_C_10_E10,HIGH_IMPROVING,196,-285376.19053539936,0.8087782825959658,-0.24736994076264504
A_D00_C_10_E10,HIGH_NONIMPROVING,217,-15065.931694201194,0.7770736602316191,-0.23666740017377602
A_D00_C_10_E10,LOW_IMPROVING,253,-484249.82803229964,0.8187595134213401,-0.4931622447321631
A_D00_C_10_E10,LOW_NONIMPROVING,304,122455.18525340018,0.7825675642845835,-0.1082105314778462
A_D01_C_MAX_E10,HIGH_IMPROVING,196,-28417.07363180007,0.83598044364851,-0.048102789184843245
A_D01_C_MAX_E10,HIGH_NONIMPROVING,217,61582.50878780009,0.818931654999162,0.011421114342599181
A_D01_C_MAX_E10,LOW_IMPROVING,253,-434592.0227306011,0.8330514303579847,-0.5182512342063206
A_D01_C_MAX_E10,LOW_NONIMPROVING,304,-139184.8246097999,0.7662190466687876,-0.22292592148560733
A_D01_C_10_E10,HIGH_IMPROVING,196,-101640.92172770097,0.7931574066327817,-0.0924350276515535
A_D01_C_10_E10,HIGH_NONIMPROVING,217,-45661.37582659989,0.7441303327110803,-0.08759962319198708
A_D01_C_10_E10,LOW_IMPROVING,253,-412354.1074616001,0.7531298452971774,-0.4696418429991682
A_D01_C_10_E10,LOW_NONIMPROVING,304,157712.4644895998,0.614474651418099,0.13560570935671834
A_D02_C_MAX_E10,HIGH_IMPROVING,196,-66808.57905299985,0.8310469345056057,-0.06333474796999049
A_D02_C_MAX_E10,HIGH_NONIMPROVING,217,-182322.0751870998,0.8203738408944621,-0.2803588197097936
A_D02_C_MAX_E10,LOW_IMPROVING,253,-366156.1755576997,0.8269033414050532,-0.40334658287532105
A_D02_C_MAX_E10,LOW_NONIMPROVING,304,35650.28883769916,0.7660559944169006,-0.1195954127074258
A_D02_C_10_E10,HIGH_IMPROVING,196,-62962.42638429999,0.7771375608283564,-0.05826499096829261
A_D02_C_10_E10,HIGH_NONIMPROVING,217,-130254.00978149998,0.736562585842076,-0.16174478364269618
A_D02_C_10_E10,LOW_IMPROVING,253,-383918.04544710077,0.7422470520035034,-0.44706957587886187
A_D02_C_10_E10,LOW_NONIMPROVING,304,171594.95185019972,0.6075626149714083,0.1469782929758509
A_D03_C_MAX_E10,HIGH_IMPROVING,196,-129109.16892719947,0.8457010015762066,-0.20116028549632847
A_D03_C_MAX_E10,HIGH_NONIMPROVING,217,-261449.35294330018,0.8420331607707185,-0.5667867603760834
A_D03_C_MAX_E10,LOW_IMPROVING,253,-131975.1392762004,0.8587359399746491,-0.2182293641332274
A_D03_C_MAX_E10,LOW_NONIMPROVING,304,-304582.0922487001,0.8413237826385048,-0.7689565931936224
A_D03_C_10_E10,HIGH_IMPROVING,196,-74703.9753393995,0.8074046091041863,-0.11347107777891163
A_D03_C_10_E10,HIGH_NONIMPROVING,217,-276025.05281960015,0.7967817124618796,-0.530677650207919
A_D03_C_10_E10,LOW_IMPROVING,253,-105679.94411139993,0.813387836801404,-0.12996959225401516
A_D03_C_10_E10,LOW_NONIMPROVING,304,-276345.9774465,0.8006307540738191,-0.5454709299315048
A_D04_C_MAX_E10,HIGH_IMPROVING,196,-203993.5841624997,0.8417633590276012,-0.2312644413467031
A_D04_C_MAX_E10,HIGH_NONIMPROVING,217,-224515.6208677999,0.8203803738481187,-0.408900309086677
A_D04_C_MAX_E10,LOW_IMPROVING,253,-89592.03489219974,0.8317914439404154,-0.19487471908386467
A_D04_C_MAX_E10,LOW_NONIMPROVING,304,-196885.7657022003,0.8257946174872484,-0.42018103593633216
A_D04_C_10_E10,HIGH_IMPROVING,196,-82513.90761899954,0.7877407479876286,-0.1635323943528883
A_D04_C_10_E10,HIGH_NONIMPROVING,217,-217232.3280435006,0.7611111252153474,-0.3414340785925378
A_D04_C_10_E10,LOW_IMPROVING,253,-208894.12718860013,0.7560442654955158,-0.33493501600262193
A_D04_C_10_E10,LOW_NONIMPROVING,304,-177671.65021719952,0.7717679359376881,-0.31945497033737263
A_D05_C_MAX_E10,HIGH_IMPROVING,196,42816.08187789866,0.8545140511005973,0.026161715202189822
A_D05_C_MAX_E10,HIGH_NONIMPROVING,217,160655.0217829995,0.8155412730835516,0.10932048803922959
A_D05_C_MAX_E10,LOW_IMPROVING,253,129041.87238349905,0.8177978586588851,0.11507577398318841
A_D05_C_MAX_E10,LOW_NONIMPROVING,304,-264477.8841962981,0.8025889515349239,-0.18473737969073067
A_D05_C_10_E10,HIGH_IMPROVING,196,25057.683241100167,0.803515597989274,0.022157986851363713
A_D05_C_10_E10,HIGH_NONIMPROVING,217,63001.911511300365,0.766032585697389,0.04183131487915187
A_D05_C_10_E10,LOW_IMPROVING,253,-25278.71573020052,0.7625635109556784,-0.019129255341142612
A_D05_C_10_E10,LOW_NONIMPROVING,304,-79055.65116779949,0.7477296455308945,-0.06126870729936662
A_D06_C_MAX_E10,HIGH_IMPROVING,196,125735.17042639898,0.8485665948473585,0.1950094346566446
A_D06_C_MAX_E10,HIGH_NONIMPROVING,217,-97775.4105655998,0.8415314132550538,-0.14590837917522861
A_D06_C_MAX_E10,LOW_IMPROVING,253,-154792.04883279972,0.8583307631032487,-0.2468017715877129
A_D06_C_MAX_E10,LOW_NONIMPROVING,304,-340790.4972628996,0.8369118405693424,-0.4327022763596356
A_D06_C_10_E10,HIGH_IMPROVING,196,74382.60890180018,0.8122494404071073,0.13213903066136448
A_D06_C_10_E10,HIGH_NONIMPROVING,217,-85838.3786720999,0.8049796800649004,-0.13219786806845202
A_D06_C_10_E10,LOW_IMPROVING,253,-156115.49542139994,0.8220677413094434,-0.23145535152639243
