id,score_start,score_end,net_return,maxdd,mean_exposure,start_nav,end_nav
R1_LEVEL_D08_DELAY1_C_MAX,2021-01-04,2023-12-29,0.2236264749099497,-0.20185215432346082,0.3756503714169654,933617.8292559999,1142399.4933256002
R4_LEVEL_D08_C_10_CA,2021-01-04,2023-12-29,-0.11241317108036541,-0.17585951494454244,0.2343911289303606,1138297.6698800002,1010338.0191753989
R1_LEVEL_D08_C_MAX_CA,2021-01-04,2023-12-29,-0.215610685694976,-0.39334455767265675,0.3938823027485936,895634.9132439995,702526.4554670993
R1_LEVEL_D08_C_10_CA,2021-01-04,2023-12-29,-0.006903242803511844,-0.1420964052371062,0.29684738167606944,1156051.8518400004,1148071.3452132996
R1_S1_D08_DELAY1_C_10,2021-01-04,2023-12-29,0.386554732158503,-0.11502355205807424,0.34888321695032,1093330.4307280001,1515962.4825387998
R1_S1_D08_DELAY1_C_MAX,2021-01-04,2023-12-29,-0.02442339057549836,-0.29436380176455346,0.5371538530562143,870819.3339639998,849550.9732499003
R1_S1_D08_C3_C_10,2021-01-04,2023-12-29,0.060620713836134765,-0.14547913202917884,0.37827725624139064,1098111.7019760003,1164680.0172216007
PAST_ONLY_D08_C_MAX,2021-01-04,2023-12-29,-0.22366328661990698,-0.4252853837650826,0.3579072476081879,834214.9039639999,647631.6567961001
R1_LEVEL_D08_COST2_C_MAX,2021-01-04,2023-12-29,-0.26125911814421265,-0.4089558030035082,0.393529064803375,948703.7565540003,700846.2497366009
R1_LEVEL_D08_COST2_C_10,2021-01-04,2023-12-29,-0.039058634606021436,-0.14723754417693746,0.29705702408201623,1114813.3427400002,1071270.2557320006
R4_LEVEL_D08_C_MAX_CA,2021-01-04,2023-12-29,-0.30288745507149106,-0.32382722179041346,0.3176261125079044,892043.8564160003,621854.9629340002
FIXED_75_D08_C_MAX,2021-01-04,2023-12-29,-0.2004726391467937,-0.3099916659905978,0.4621428950936777,910530.4421400004,727994.0013806999
R1_LEVEL_D08_DELAY1_C_10,2021-01-04,2023-12-29,0.35889185744045227,-0.08545597413894546,0.27856639525123694,1102724.6523200003,1498483.5510365008
R1_LEVEL_D08_C_ONE,2021-01-04,2023-12-29,-0.2818380260866903,-0.5190775969199986,0.21188228743991597,850950.4893999994,611120.2831699996
FIXED_25_D08_C_MAX,2021-01-04,2023-12-29,-0.06318669885156525,-0.12439037886251203,0.1601776750301499,961843.7919199999,901068.0578976995
R1_S1_D08_COST2_C_MAX,2021-01-04,2023-12-29,-0.1453711323225647,-0.31235525512939866,0.564567088025792,871577.6255540004,744875.3992201998
FIXED_25_D08_C_10,2021-01-04,2023-12-29,-0.030323508852240444,-0.11255617078524693,0.14859449591713625,982293.49398,952506.9085197999
R1_LEVEL_D08_C3_C_MAX,2021-01-04,2023-12-29,-0.2295095889597134,-0.39808884316336646,0.4012391019342483,895634.9132439995,690078.1124473991
FIXED_75_D08_C_10,2021-01-04,2023-12-29,-0.056345986452512986,-0.16585774386375174,0.3513431698133019,1066912.7487999997,1006796.4975101
R1_S1_D08_C_MAX,2021-01-04,2023-12-29,-0.10395939328359516,-0.32396596795701105,0.5661263657484524,819602.9067239998,734397.4858074998
R1_LEVEL_D08_C3_C_10,2021-01-04,2023-12-29,0.029112502027512255,-0.1514211911582709,0.30183494068067934,1156051.8518400004,1189707.4137206012
PAST_ONLY_D08_C_10,2021-01-04,2023-12-29,-0.048586370398289946,-0.17094035724078982,0.2527040084612887,1149251.4406400004,1093413.4844642996
R3_HALF_D08_C_10,2021-01-04,2023-12-29,0.04513824802933741,-0.11364706422200166,0.2421199678008021,1074724.2598000003,1123235.4300020006
R1_S1_D08_C_ONE,2021-01-04,2023-12-29,-0.1497927847004914,-0.45512884099071516,0.32132436749090604,843031.2569199995,716751.2573563996
R3_HALF_D08_C_MAX,2021-01-04,2023-12-29,-0.28979080440882554,-0.3137787462442495,0.308111755534412,1102899.6121039996,783289.4463301994
FIXED_50_D08_C_10,2021-01-04,2023-12-29,0.016408995470492016,-0.11353316673588609,0.26391816586069333,979065.1613799998,995130.6371783994
R1_S1_D08_C_10,2021-01-04,2023-12-29,0.08600047178072634,-0.13830615942295044,0.366205452628669,1123727.9784,1220369.1146956
R1_S1_D08_C3_C_MAX,2021-01-04,2023-12-29,-0.07762753753582319,-0.3421087136035733,0.5749931270908769,669759.1240119996,617767.3724727992
R1_S1_D08_COST2_C_10,2021-01-04,2023-12-29,0.05140610404250601,-0.14084256150582142,0.3647161827692912,1082258.25842,1137892.9390532004
FIXED_50_D08_C_MAX,2021-01-04,2023-12-29,-0.11637158224281607,-0.2208369206482237,0.31286147476661413,956033.9806599997,844778.7936526994
A_D08_C_10_E10,2021-01-04,2023-12-29,0.0019897118459388796,-0.17488295278373767,0.3993735387186616,1149251.4406400004,1151538.1198454006
A_D08_C_MAX_E10,2021-01-04,2023-12-29,-0.3160668580202902,-0.4157905261477647,0.6112244940779243,834214.9039639999,570547.2203543994
