year,state,old_allow,repaired_allow,old_mean,repaired_mean
2021,HIGH_IMPROVING,True,True,0.0174659780924507,0.017465978092450717
2021,HIGH_NONIMPROVING,True,True,0.0657644873630162,0.06576448736301624
2021,LOW_IMPROVING,False,False,-0.0468014929017783,-0.0468014929017783
2021,LOW_NONIMPROVING,False,False,-0.0194265285381631,-0.019426528538163106
2022,HIGH_IMPROVING,True,True,1.9362542265475197e-05,5.515531723783209e-05
2022,HIGH_NONIMPROVING,True,True,0.0399808701428522,0.03998087014285228
2022,LOW_IMPROVING,False,False,-0.0003874814518637,-0.00038748145186371844
2022,LOW_NONIMPROVING,False,False,-0.0129728630572823,-0.012972863057282312
2023,HIGH_IMPROVING,False,False,-0.0011573135849741,-0.0011337139531242255
2023,HIGH_NONIMPROVING,True,True,0.030538113376266,0.030538113376266097
2023,LOW_IMPROVING,False,False,-0.0107188234093891,-0.010718823409389112
2023,LOW_NONIMPROVING,False,False,-0.0063335978449499,-0.006333597844949924
