id,type,key,value,total
A_D00_C_MAX_E10,TOP_STOCK_PNL,300619.SZ,61374.67559999999,-633900.2517421006
A_D00_C_MAX_E10,TOP_STOCK_PNL,600610.SH,56620.176480000024,-633900.2517421006
A_D00_C_MAX_E10,TOP_STOCK_PNL,300655.SZ,52085.51808000001,-633900.2517421006
A_D00_C_MAX_E10,TOP_STOCK_PNL,002240.SZ,51499.161040000006,-633900.2517421006
A_D00_C_MAX_E10,TOP_STOCK_PNL,300274.SZ,50684.768,-633900.2517421006
A_D00_C_MAX_E10,MAX_INDUSTRY_NAV,historical_industry,0.6254515499815335,1.0
A_D00_C_MAX_E10,TOP_DAY_RETURN,2020-02-04,0.06752187692062184,
A_D00_C_MAX_E10,TOP_DAY_RETURN,2023-08-22,0.06414307935511121,
A_D00_C_MAX_E10,TOP_DAY_RETURN,2023-08-29,0.05374396934540826,
A_D00_C_MAX_E10,TOP_DAY_RETURN,2022-02-09,0.05354488018769965,
A_D00_C_MAX_E10,TOP_DAY_RETURN,2021-07-21,0.053447302318899714,
A_D00_C_10_E10,TOP_STOCK_PNL,300619.SZ,54555.2672,-656150.1040841006
A_D00_C_10_E10,TOP_STOCK_PNL,300677.SZ,53350.244039999976,-656150.1040841006
A_D00_C_10_E10,TOP_STOCK_PNL,300655.SZ,52085.51808000001,-656150.1040841006
A_D00_C_10_E10,TOP_STOCK_PNL,300274.SZ,47097.83359999998,-656150.1040841006
A_D00_C_10_E10,TOP_STOCK_PNL,002240.SZ,46078.19671999999,-656150.1040841006
A_D00_C_10_E10,MAX_INDUSTRY_NAV,historical_industry,0.5394533855762406,1.0
A_D00_C_10_E10,TOP_DAY_RETURN,2020-02-04,0.06447565858686377,
A_D00_C_10_E10,TOP_DAY_RETURN,2023-08-22,0.06283949079122197,
A_D00_C_10_E10,TOP_DAY_RETURN,2021-07-21,0.05224171269395894,
A_D00_C_10_E10,TOP_DAY_RETURN,2020-02-24,0.04798984750497892,
A_D00_C_10_E10,TOP_DAY_RETURN,2021-11-17,0.04772036415102088,
A_D01_C_MAX_E10,TOP_STOCK_PNL,300548.SZ,110300.88264000003,-536576.6632326008
A_D01_C_MAX_E10,TOP_STOCK_PNL,601633.SH,66103.04884000006,-536576.6632326008
A_D01_C_MAX_E10,TOP_STOCK_PNL,000408.SZ,60943.13407999987,-536576.6632326008
A_D01_C_MAX_E10,TOP_STOCK_PNL,002585.SZ,59953.9059999999,-536576.6632326008
A_D01_C_MAX_E10,TOP_STOCK_PNL,000708.SZ,57964.67447999999,-536576.6632326008
A_D01_C_MAX_E10,MAX_INDUSTRY_NAV,historical_industry,0.9987339895922598,1.0
A_D01_C_MAX_E10,TOP_DAY_RETURN,2021-10-20,0.06135557843224526,
A_D01_C_MAX_E10,TOP_DAY_RETURN,2023-08-29,0.06102181088609315,
A_D01_C_MAX_E10,TOP_DAY_RETURN,2023-10-17,0.06060614243189266,
A_D01_C_MAX_E10,TOP_DAY_RETURN,2020-09-30,0.05072552081286519,
A_D01_C_MAX_E10,TOP_DAY_RETURN,2021-09-07,0.05023785850683704,
A_D01_C_10_E10,TOP_STOCK_PNL,300619.SZ,44326.154599999994,-395924.04510730074
A_D01_C_10_E10,TOP_STOCK_PNL,002601.SZ,35768.04503999997,-395924.04510730074
