pair,state,n,dates,rank_changed,promoted_top10,base_top10_return,path_top10_return
H02/D05,HIGH_IMPROVING,1066,184,0.6632270168855535,36,-0.008785405608914672,-0.008892355566037496
H02/D05,HIGH_NONIMPROVING,1320,196,0.75,75,-0.0019291817242957437,-0.0010053078538287648
H02/D05,LOW_IMPROVING,985,226,0.6467005076142132,17,-0.008158581958122146,-0.008005956926153544
H02/D05,LOW_NONIMPROVING,1215,268,0.6584362139917695,32,-0.0015565205844798174,-0.0004680205552454541
D02/D01,HIGH_IMPROVING,1328,186,0.7379518072289156,62,-0.002537090110514899,-0.0040800589386641595
D02/D01,HIGH_NONIMPROVING,995,189,0.6603015075376885,42,-0.0074979316469764405,-0.007547790977750569
D02/D01,LOW_IMPROVING,1240,232,0.675,55,-0.009824387744798975,-0.009062881151827535
D02/D01,LOW_NONIMPROVING,866,215,0.5808314087759815,23,0.0022079280648668537,0.00239444242389164
