id,route,entry_state,trades,pnl,mean_net_return,capital_days
A_D00_C_MAX_E10,D00,HIGH_IMPROVING,165,-189954.86615650024,-0.007370005002948186,158952989.153532
A_D00_C_MAX_E10,D00,HIGH_NONIMPROVING,178,-40099.86684880016,-0.011153683597748775,166029146.52504003
A_D00_C_MAX_E10,D00,LOW_IMPROVING,232,-469526.48049430014,-0.024952396447314288,214283349.795017
A_D00_C_MAX_E10,D00,LOW_NONIMPROVING,224,65680.96175750012,0.0041673688481430856,201380916.737971
A_D00_C_10_E10,D00,HIGH_IMPROVING,166,-107990.4713739001,-0.009511200354476869,151772025.385966
A_D00_C_10_E10,D00,HIGH_NONIMPROVING,178,-71860.01049010007,-0.01152663079700649,158337002.133497
A_D00_C_10_E10,D00,LOW_IMPROVING,234,-528545.1299193003,-0.025737682232307487,201433962.625367
A_D00_C_10_E10,D00,LOW_NONIMPROVING,222,52245.507699199894,0.0016580352737858275,188475953.87817
A_D01_C_MAX_E10,D01,HIGH_IMPROVING,153,22374.030102700017,-0.0012762108692549964,134615266.153635
A_D01_C_MAX_E10,D01,HIGH_NONIMPROVING,162,-84121.18170290027,-0.010522282077976565,168980231.59482402
A_D01_C_MAX_E10,D01,LOW_IMPROVING,195,-335110.33451420045,-0.024733803256841224,199688537.01088
A_D01_C_MAX_E10,D01,LOW_NONIMPROVING,165,-139719.17711820017,0.005280979359657112,170098584.28640997
A_D01_C_10_E10,D01,HIGH_IMPROVING,157,-19070.25372210009,0.002086895205146026,129186453.782991
A_D01_C_10_E10,D01,HIGH_NONIMPROVING,174,-134239.07851120032,-0.011851408147148721,145601412.39322603
A_D01_C_10_E10,D01,LOW_IMPROVING,215,-367032.0550810001,-0.020172465030420226,171824677.121602
A_D01_C_10_E10,D01,LOW_NONIMPROVING,172,124417.34220699986,0.011237196834997788,137480400.388089
A_D02_C_MAX_E10,D02,HIGH_IMPROVING,145,148903.65726070007,0.005564836846629302,132698535.390542
A_D02_C_MAX_E10,D02,HIGH_NONIMPROVING,161,-533058.0008057,-0.01725294222402047,188936978.391308
A_D02_C_MAX_E10,D02,LOW_IMPROVING,198,-161459.7889984002,-0.0191056734398124,218479372.20826098
A_D02_C_MAX_E10,D02,LOW_NONIMPROVING,163,-24742.727657500276,0.007448414261805205,190686326.89476198
A_D02_C_10_E10,D02,HIGH_IMPROVING,155,29829.620057099753,0.003611363705678726,130133950.44025701
A_D02_C_10_E10,D02,HIGH_NONIMPROVING,168,-224472.76996759998,-0.016052138195495422,144460730.07344198
A_D02_C_10_E10,D02,LOW_IMPROVING,213,-264642.8435062002,-0.014787934370122307,177319968.304466
A_D02_C_10_E10,D02,LOW_NONIMPROVING,173,59712.78492639997,0.005814878476404133,140250923.507398
A_D03_C_MAX_E10,D03,HIGH_IMPROVING,168,-263605.8431818,-0.009378784731285995,81118281.95948601
A_D03_C_MAX_E10,D03,HIGH_NONIMPROVING,185,-170269.52363389998,-0.023012231526583125,89924414.057715
A_D03_C_MAX_E10,D03,LOW_IMPROVING,215,-152256.57218730001,-0.009628283177305038,89912051.701959
A_D03_C_MAX_E10,D03,LOW_NONIMPROVING,239,-238799.451016,-0.020909726703637943,100384319.25533101
A_D03_C_10_E10,D03,HIGH_IMPROVING,162,-131513.15874879988,-0.013206923545455935,83963783.596068
A_D03_C_10_E10,D03,HIGH_NONIMPROVING,191,-240484.89066029992,-0.022178057829224725,104316474.89677902
A_D03_C_10_E10,D03,LOW_IMPROVING,212,-54562.834973299934,-0.004206218632065763,104998886.439017
A_D03_C_10_E10,D03,LOW_NONIMPROVING,243,-310745.9158237001,-0.023061368376040316,119137374.700157
A_D04_C_MAX_E10,D04,HIGH_IMPROVING,159,-261783.89218839988,-0.011103307065427379,89562484.362824
A_D04_C_MAX_E10,D04,HIGH_NONIMPROVING,180,-199597.20954199997,-0.016325873382530737,114765764.61735201
A_D04_C_MAX_E10,D04,LOW_IMPROVING,199,17401.826393000112,-0.009705510477652717,105579197.156293
A_D04_C_MAX_E10,D04,LOW_NONIMPROVING,220,-269791.76195129997,-0.01512890921756919,130851385.152798
A_D04_C_10_E10,D04,HIGH_IMPROVING,164,-102723.822734,-0.010679355068314737,93364610.61426198
A_D04_C_10_E10,D04,HIGH_NONIMPROVING,177,-215049.69138880004,-0.020176080751642407,102272619.538528
A_D04_C_10_E10,D04,LOW_IMPROVING,203,-140002.69424339995,-0.01081966075336669,108002106.222284
A_D04_C_10_E10,D04,LOW_NONIMPROVING,225,-227954.46067070006,-0.014796359209635583,120378208.80747299
A_D05_C_MAX_E10,D05,HIGH_IMPROVING,163,421508.81082059955,-0.0005831253272707551,242072138.472569
A_D05_C_MAX_E10,D05,HIGH_NONIMPROVING,180,-463936.6688874,-0.00012738113147938698,253739429.39196002
A_D05_C_MAX_E10,D05,LOW_IMPROVING,203,-132804.01839479996,-0.0017133174834668662,275019540.553387
A_D05_C_MAX_E10,D05,LOW_NONIMPROVING,213,260723.0778796999,0.00460770057787871,316425728.904107
A_D05_C_10_E10,D05,HIGH_IMPROVING,171,76637.21848939967,0.004709371294733692,198266129.94525
A_D05_C_10_E10,D05,HIGH_NONIMPROVING,174,-36547.75834490012,-0.001987876694820408,202072757.32827097
A_D05_C_10_E10,D05,LOW_IMPROVING,203,-82091.18179159997,-0.001278470548329624,232474357.646928
A_D05_C_10_E10,D05,LOW_NONIMPROVING,221,18551.179111500038,0.001398385634690118,247177046.972767
A_D06_C_MAX_E10,D06,HIGH_IMPROVING,173,21357.764187000023,-0.0019055097610973478,135493575.603807
A_D06_C_MAX_E10,D06,HIGH_NONIMPROVING,173,-97683.45140380005,-0.008648789566562166,150103001.48190302
A_D06_C_MAX_E10,D06,LOW_IMPROVING,215,-197360.26216100014,-0.010988193488134573,173432274.046595
A_D06_C_MAX_E10,D06,LOW_NONIMPROVING,244,-211260.04094709994,-0.00785582452735364,200152220.99523503
A_D06_C_10_E10,D06,HIGH_IMPROVING,174,-112147.19015959997,-0.008027838312344363,140448656.452934
A_D06_C_10_E10,D06,HIGH_NONIMPROVING,174,-77240.16140520008,-0.006888435851230914,139946975.87356
A_D06_C_10_E10,D06,LOW_IMPROVING,218,-174386.2773340001,-0.009899949660473662,169649151.367307
A_D06_C_10_E10,D06,LOW_NONIMPROVING,247,-128265.21096510012,-0.005672652493050848,188678435.261743
A_D07_C_MAX_E10,D07,HIGH_IMPROVING,171,-330892.51009159995,-0.017786948553506505,151145939.57424
A_D07_C_MAX_E10,D07,HIGH_NONIMPROVING,174,-41549.871301399995,-0.005399951767380269,155579093.97975898
A_D07_C_MAX_E10,D07,LOW_IMPROVING,193,-99417.58349650005,-0.0020718559823349465,168952446.906728
A_D07_C_MAX_E10,D07,LOW_NONIMPROVING,216,-19815.01002360016,-0.005292798583585213,189472964.76109898
A_D07_C_10_E10,D07,HIGH_IMPROVING,168,-273479.4776543001,-0.018658716693381365,129955025.208446
A_D07_C_10_E10,D07,HIGH_NONIMPROVING,178,-47919.48376440024,-0.0051301501492119666,135677075.652739
A_D07_C_10_E10,D07,LOW_IMPROVING,201,-100489.34957399992,-0.005067763437879321,144923751.20832598
A_D07_C_10_E10,D07,LOW_NONIMPROVING,216,-26039.02609969998,8.942907336628519e-05,155958799.982312
A_D08_C_MAX_E10,D08,HIGH_IMPROVING,127,-14994.77921550013,-0.0005583682468801415,133513303.19405898
A_D08_C_MAX_E10,D08,HIGH_NONIMPROVING,126,-60928.874963799986,0.02399317541923131,140696389.11898
A_D08_C_MAX_E10,D08,LOW_IMPROVING,62,-74988.11972630025,-0.008182870117539147,108606025.85724802
A_D08_C_MAX_E10,D08,LOW_NONIMPROVING,39,-278541.00574,-0.01681026472605191,102129729.6282
A_D08_C_10_E10,D08,HIGH_IMPROVING,128,-12829.438645299895,0.0005644294550838803,145075007.259593
A_D08_C_10_E10,D08,HIGH_NONIMPROVING,141,299031.17234820005,0.02005511255716234,156960821.95015198
A_D08_C_10_E10,D08,LOW_IMPROVING,69,-67254.98071750012,-0.008523021059268016,77582649.904853
A_D08_C_10_E10,D08,LOW_NONIMPROVING,45,-67408.63314000005,-0.01203710453998247,49826418.7346
A_D09_C_MAX_E10,D09,HIGH_IMPROVING,138,-216994.14791679985,-0.007157688494707178,111121021.410992
A_D09_C_MAX_E10,D09,HIGH_NONIMPROVING,158,-126948.28333450013,-0.0022141885948385675,162303691.542567
A_D09_C_MAX_E10,D09,LOW_IMPROVING,188,-341189.2677100003,-0.013492483954850143,175935194.77150303
A_D09_C_MAX_E10,D09,LOW_NONIMPROVING,169,34893.57337559985,0.0029912477548205063,169069218.447755
A_D09_C_10_E10,D09,HIGH_IMPROVING,155,-70615.50491979995,-0.003909089299365963,157335794.820777
A_D09_C_10_E10,D09,HIGH_NONIMPROVING,180,6421.609254300245,-0.0029312045611899424,185218959.43633103
A_D09_C_10_E10,D09,LOW_IMPROVING,216,-316406.8839428001,-0.011833210095851568,213577201.91402
A_D09_C_10_E10,D09,LOW_NONIMPROVING,188,-52723.85563140015,-0.005634016048128968,180954002.28754097
A_H01_C_MAX_E10,H01,HIGH_IMPROVING,72,-559250.8977936005,-0.013703777703731095,178123190.310568
A_H01_C_MAX_E10,H01,HIGH_NONIMPROVING,86,36835.10830759953,0.015245569563461221,211174493.795087
A_H01_C_MAX_E10,H01,LOW_IMPROVING,83,-112428.51168940015,0.004636843667133908,214639256.61282197
A_H01_C_MAX_E10,H01,LOW_NONIMPROVING,77,79429.72846360008,0.03063660089197104,169612206.8079
A_H01_C_10_E10,H01,HIGH_IMPROVING,86,-53057.38497779993,-0.0006036515463988386,109958209.253294
A_H01_C_10_E10,H01,HIGH_NONIMPROVING,95,71630.1298247999,0.0055176715958091555,119154671.30349399
A_H01_C_10_E10,H01,LOW_IMPROVING,96,-48216.05862360021,-0.0031729127911667866,120625324.47447
