route,dates,state_r2,year_r2,year_plus_state_r2,state_increment_given_year,year_increment_given_state,grade
D00,910,0.003329226582667766,0.028012569852364,0.031156538866020433,0.0031439690136564336,0.027827312283352668,DESCRIPTIVE_DATE_WEIGHTED_NOT_PREDICTION
D01,707,0.0035015736277370646,0.0074607373009912825,0.009889768960686052,0.002429031659694769,0.006388195332948987,DESCRIPTIVE_DATE_WEIGHTED_NOT_PREDICTION
D02,707,0.0035015736277370646,0.0074607373009912825,0.009889768960686052,0.002429031659694769,0.006388195332948987,DESCRIPTIVE_DATE_WEIGHTED_NOT_PREDICTION
D03,892,0.0016373513586602773,0.02013080734482464,0.022538526853166263,0.0024077195083416214,0.020901175494505986,DESCRIPTIVE_DATE_WEIGHTED_NOT_PREDICTION
D04,783,0.004159815276086554,0.017622898786135877,0.022634439625233704,0.005011540839097828,0.01847462434914715,DESCRIPTIVE_DATE_WEIGHTED_NOT_PREDICTION
D05,758,0.002116822513371197,0.011211392891179117,0.013277276224645584,0.0020658833334664672,0.011160453711274387,DESCRIPTIVE_DATE_WEIGHTED_NOT_PREDICTION
D06,899,0.003552861957690445,0.015484739974174655,0.01850087730897365,0.003016137334798996,0.014948015351283206,DESCRIPTIVE_DATE_WEIGHTED_NOT_PREDICTION
D07,790,0.0046770122567251216,0.028368137985854802,0.03417434155332344,0.005806203567468637,0.029497329296598318,DESCRIPTIVE_DATE_WEIGHTED_NOT_PREDICTION
D08,335,0.023504830440506885,0.02084571533092139,0.0427370380706289,0.02189132273970751,0.01923220763012201,DESCRIPTIVE_DATE_WEIGHTED_NOT_PREDICTION
D09,585,0.002775421174949111,0.01815091071787478,0.02013193783673961,0.001981027118864831,0.0173565166617905,DESCRIPTIVE_DATE_WEIGHTED_NOT_PREDICTION
H01,296,0.014018045157474956,0.05510894689432266,0.07577981172525894,0.020670864830936275,0.06176176656778398,DESCRIPTIVE_DATE_WEIGHTED_NOT_PREDICTION
H02,758,0.002116822513371197,0.011211392891179117,0.013277276224645584,0.0020658833334664672,0.011160453711274387,DESCRIPTIVE_DATE_WEIGHTED_NOT_PREDICTION
