id,baseline,net_return_difference,cagr_difference,maxdd_difference,mean_exposure_difference,mean_exposure_ratio,bootstrap_cagr_diff_p025,bootstrap_cagr_diff_p975,bootstrap_positive_fraction,mean_daily_difference,exposure_scaled_base_annual_mean_difference,market_and_exposure_regression_intercept_ann,inference_grade
D_D02_C_MAX_R_STAGE,D_D02_C_MAX_R_ONCE,0.0630460361575016,0.01782873106200822,-0.015847151545847038,-0.0039040240441203244,0.9757346852210781,-0.019257081558318716,0.057069313656050835,0.85,6.961695131347788e-05,0.01665929337432498,0.017490138559217216,EXPLORATORY_SHARED_CONSUMED_SAMPLE_NOT_OOS
D_D02_C_10_R_ONCE,A_D02_C_10_EST,0.3498932517368992,0.12255919137993643,0.37759435540304076,-0.49643693429288316,0.2377408308356121,-0.047174687312770955,0.2596613854114551,0.918,0.0004406736417977793,-0.002681268137572108,0.141144409813108,EXPLORATORY_SHARED_CONSUMED_SAMPLE_NOT_OOS
D_D02_C_10_R_STAGE,D_D02_C_10_R_ONCE,0.06663099654360016,0.018885515281544252,-0.002382210230530757,0.0020751314268672993,1.0134023329781878,-0.01074768831471587,0.048914517782864674,0.893,7.537968576837569e-05,0.019507017487031347,0.017398572374543345,EXPLORATORY_SHARED_CONSUMED_SAMPLE_NOT_OOS
D_D02_C_ONE_R_ONCE,A_D02_C_ONE_EST,-0.18111911725759966,-0.04184326667031568,0.3908566809554215,-0.4194770064086124,0.15631564531852984,-0.5096302401610131,0.2355150712346157,0.439,-0.0005228868942897153,-0.0015379536005867174,-0.08433400826763843,EXPLORATORY_SHARED_CONSUMED_SAMPLE_NOT_OOS
D_D02_C_ONE_R_STAGE,D_D02_C_ONE_R_ONCE,-0.03847140986980069,-0.009546469202109442,0.03651618236903076,-0.03829471068709426,0.5072709356140623,-0.0422486435591646,0.014903623848068728,0.258,-4.256251897009616e-05,0.00040530910925992545,-0.009494858956866267,EXPLORATORY_SHARED_CONSUMED_SAMPLE_NOT_OOS
D_D03_C_MAX_R_ONCE,A_D03_C_MAX_EST,0.4312380268839986,0.2319929102246977,0.42523180156126994,-0.5037324513574248,0.37684566290902616,0.11281550887677248,0.3341307680917871,1.0,0.0011075665018969155,0.03301556561113065,0.33006768847552176,EXPLORATORY_SHARED_CONSUMED_SAMPLE_NOT_OOS
D_D03_C_MAX_R_STAGE,D_D03_C_MAX_R_ONCE,-0.012458887434300014,-0.00461578905141713,-0.021837222771566966,-0.001966833784772082,0.9935434602294464,-0.05347780540217248,0.03850324415718952,0.413,-2.849942667338899e-05,-0.00792955736649396,-0.0010179391448139436,EXPLORATORY_SHARED_CONSUMED_SAMPLE_NOT_OOS
D_D03_C_10_R_ONCE,A_D03_C_10_EST,0.40055015132470273,0.21044436275521827,0.39345642945704906,-0.4818236424380504,0.379722167935806,0.10591247183544646,0.30032885729957964,0.999,0.0009911559692238313,0.019842660416985642,0.290326969094759,EXPLORATORY_SHARED_CONSUMED_SAMPLE_NOT_OOS
D_D03_C_10_R_STAGE,D_D03_C_10_R_ONCE,-0.031822570532902605,-0.0120617340842738,-0.036360398189113075,0.0006228964254419989,1.00211177692837,-0.045550089352384776,0.023265892295081622,0.24,-5.706171901815012e-05,-0.014124207185983957,-0.005771677964828878,EXPLORATORY_SHARED_CONSUMED_SAMPLE_NOT_OOS
D_D03_C_ONE_R_ONCE,A_D03_C_ONE_EST,0.6304489850695006,0.2842156161286461,0.6223398675943191,-0.5071448747856175,0.19437832916488623,-0.0748465627012511,0.46630617766830135,0.952,0.00102693995590011,0.018643405893843504,0.36245256736638604,EXPLORATORY_SHARED_CONSUMED_SAMPLE_NOT_OOS
D_D03_C_ONE_R_STAGE,D_D03_C_ONE_R_ONCE,0.05570379565750039,0.01593957244049138,0.06549366704243131,-0.05676193172720005,0.5361170381353427,-0.03486011540698881,0.05413332774571066,0.782,5.674442988850026e-05,-0.003930203917571066,0.02403680596752451,EXPLORATORY_SHARED_CONSUMED_SAMPLE_NOT_OOS
D_D06_C_MAX_R_ONCE,A_D06_C_MAX_EST,0.4502768996637998,0.1764797652525968,0.3944021659807202,-0.5708389982206747,0.3088746745110344,0.027201357799688547,0.2914979303448672,0.987,0.0007159033489494996,0.024234315761414008,0.24378048247546538,EXPLORATORY_SHARED_CONSUMED_SAMPLE_NOT_OOS
D_D06_C_MAX_R_STAGE,D_D06_C_MAX_R_ONCE,-0.07946812437639772,-0.024717973152813766,-0.025537799443293818,-0.001782718629274982,0.9930121483854636,-0.06645366964813824,0.014767175516698483,0.108,-0.0001113172444188025,-0.02837032593166194,-0.0289230262438814,EXPLORATORY_SHARED_CONSUMED_SAMPLE_NOT_OOS
D_D06_C_10_R_ONCE,A_D06_C_10_EST,0.3765872684735004,0.1537599288902719,0.38878441182879575,-0.5336659960825896,0.3178908004850381,0.029978549129472024,0.2416116282310538,0.994,0.0006384389800652213,0.0025954356311258886,0.20133445936706904,EXPLORATORY_SHARED_CONSUMED_SAMPLE_NOT_OOS
D_D06_C_10_R_STAGE,D_D06_C_10_R_ONCE,0.0006243558066024724,0.000200617997385244,-0.013270871330490763,0.0018958050135910731,1.0076225465084951,-0.025116585513888706,0.02714108095242283,0.521,-1.5658455140892625e-06,0.0001479396606490313,0.0015657101457990958,EXPLORATORY_SHARED_CONSUMED_SAMPLE_NOT_OOS
D_D06_C_ONE_R_ONCE,A_D06_C_ONE_EST,0.5698822164351007,0.25447708497609245,0.5951950321658942,-0.516439427640092,0.16172458769259013,-0.04002948362741058,0.43366256151144494,0.959,0.0009118366478017128,-0.0060555009381574355,0.30803558084436333,EXPLORATORY_SHARED_CONSUMED_SAMPLE_NOT_OOS
D_D06_C_ONE_R_STAGE,D_D06_C_ONE_R_ONCE,0.08590423383729962,0.025022858729960684,0.10571939153872001,-0.04755364559679962,0.5227179504385464,-0.003509144002662785,0.04997805025466774,0.956,9.818841769537311e-05,0.0001373496152075631,0.02782811442152837,EXPLORATORY_SHARED_CONSUMED_SAMPLE_NOT_OOS
D_H02_C_MAX_R_ONCE,A_H02_C_MAX_EST,0.5194472963299009,0.18178354382207385,0.41771884227143086,-0.4984286845176336,0.3724598395502895,0.025796893267852013,0.293980858100729,0.985,0.0006944803184055814,0.06230881275897103,0.2150508819189091,EXPLORATORY_SHARED_CONSUMED_SAMPLE_NOT_OOS
