month,year,valid_rows,shares_cny_unit_consistent,unit_consistency
1,2020,59914,59914,1.0
2,2020,75443,75443,1.0
3,2020,83167,83167,1.0
4,2020,79639,79639,1.0
5,2020,68578,68578,1.0
6,2020,76553,76553,1.0
7,2020,88925,88924,0.9999887545684566
8,2020,82275,82275,1.0
9,2020,87487,87487,1.0
10,2020,64457,64457,1.0
11,2020,85222,85222,1.0
12,2020,94059,94059,1.0
1,2021,82593,82593,1.0
2,2021,62467,62467,1.0
3,2021,96418,96418,1.0
4,2021,89044,89044,1.0
5,2021,77138,77138,1.0
6,2021,90958,90958,1.0
7,2021,96401,96401,1.0
8,2021,97511,97511,1.0
9,2021,89277,89277,1.0
10,2021,71961,71961,1.0
11,2021,99740,99740,1.0
12,2021,105112,105112,1.0
1,2022,87480,87480,1.0
2,2022,74103,74103,1.0
3,2022,107024,107024,1.0
4,2022,88880,88880,1.0
5,2022,88650,88650,1.0
6,2022,98839,98839,1.0
7,2022,100256,100256,1.0
8,2022,111316,111316,1.0
9,2022,103148,103147,0.9999903051925388
10,2022,78748,78748,1.0
11,2022,109386,109386,1.0
12,2022,110350,110350,1.0
1,2023,81008,81007,0.9999876555401935
2,2023,100194,100194,1.0
3,2023,113398,113398,1.0
4,2023,94132,94132,1.0
5,2023,101578,101578,1.0
6,2023,102768,102768,1.0
7,2023,109523,109523,1.0
8,2023,119892,119892,1.0
9,2023,104572,104572,1.0
10,2023,89884,89884,1.0
11,2023,115750,115750,1.0
12,2023,111227,111227,1.0
