month,source_rows,daily_identity_rows,valid_prior_and_prefix,missing_or_ineligible
202001,60095,60095,48653,11442
202002,75523,75523,61029,14494
202003,83424,83424,67178,16246
202004,79972,79972,64138,15834
202005,68928,68928,54275,14653
202006,76973,76973,60010,16963
202007,89237,89237,69034,20203
202008,82496,82496,64153,18343
202009,87775,87775,68177,19598
202010,64583,64583,50061,14522
202011,85314,85314,65972,19342
202012,94245,94245,72583,21662
202101,82793,82793,63770,19023
202102,62574,62574,48190,14384
202103,96635,96635,74342,22293
202104,89248,89248,68703,20545
202105,77332,77332,58856,18476
202106,91180,91180,68861,22319
202107,96581,96581,72504,24077
202108,97585,97585,73983,23602
202109,89432,89432,68529,20903
202110,72067,72067,55547,16520
202111,99852,99852,77494,22358
202112,105280,105280,81913,23367
202201,87647,87647,67839,19808
202202,74177,74177,57433,16744
202203,107148,107148,83325,23823
202204,89190,89190,69202,19988
202205,89622,89622,68746,20876
202206,99251,99251,75556,23695
202207,100419,99257,75680,23577
202208,111575,109520,84326,25194
202209,103323,100908,78350,22558
202210,79075,77440,60116,17324
202211,109616,107036,83009,24027
202212,110953,107551,83635,23916
202301,81193,78493,61243,17250
202302,100471,98347,77159,21188
202303,113549,113549,89901,23648
202304,94294,94294,74882,19412
202305,102284,99684,78433,21251
202306,103610,100140,78022,22118
202307,109847,105437,81932,23505
202308,120299,115930,91657,24273
202309,104899,101129,81060,20069
202310,90007,86153,69618,16535
202311,116110,111678,91007,20671
202312,111353,106833,87807,19026
