route,pre_return30_count,pre_return30_mean,pre_return30_median,signal_to_open_return_count,signal_to_open_return_mean,signal_to_open_return_median,r1_count,r1_mean,r1_median,r3_count,r3_mean,r3_median,r5_count,r5_mean,r5_median,r10_count,r10_mean,r10_median,r20_count,r20_mean,r20_median,r40_count,r40_mean,r40_median,mfe40_count,mfe40_mean,mfe40_median,mae40_count,mae40_mean,mae40_median,signals,proxy_fill_rate
D00,16648,0.18202336790320858,0.12120257394359446,16624,0.000978380167695712,-1.1102230246251565e-16,8342,0.00042824856662379985,-0.003315389286882131,8334,-0.0009649077881007541,-0.006227955854821221,8320,0.0006344288840891014,-0.006589803717213849,8301,0.0007523294880206493,-0.0100214745884033,8232,0.0038339967280669727,-0.022112309116557205,8031,0.0024581352102893065,-0.041612483745124274,8348,0.2147456934744196,0.1445170436856147,8348,-0.1561031235194459,-0.13934303600296954,16648,0.5014416146083613
D01,4429,0.15861451217286107,0.10390959864917515,4425,0.0005998342731687469,-2.220446049250313e-16,2321,-0.001067375694178317,-0.0037206639954208143,2319,-0.0022350627431295717,-0.006747159090909283,2316,-0.0015956184023226993,-0.007007615282943913,2312,0.0021464925436331557,-0.007534762996096567,2287,0.004410138975344224,-0.018261504747991486,2210,-0.000482006340221766,-0.04339705165425256,2323,0.20659933464801541,0.13802022102045575,2323,-0.15112698452894197,-0.13362212595801404,4429,0.5244976292616843
D02,4429,0.15861451217286107,0.10390959864917515,4425,0.0005998342731687469,-2.220446049250313e-16,2321,-0.001067375694178317,-0.0037206639954208143,2319,-0.0022350627431295717,-0.006747159090909283,2316,-0.0015956184023226993,-0.007007615282943913,2312,0.0021464925436331557,-0.007534762996096567,2287,0.004410138975344224,-0.018261504747991486,2210,-0.000482006340221766,-0.04339705165425256,2323,0.20659933464801541,0.13802022102045575,2323,-0.15112698452894197,-0.13362212595801404,4429,0.5244976292616843
D03,14025,0.06721500235148496,0.058154235145385424,14003,-9.092606170939813e-05,-2.220446049250313e-16,8410,-0.0005739284186633409,-0.003921753160436192,8385,-0.0022021822887414023,-0.00524109014675056,8365,-0.002911388791555161,-0.008084577114427671,8318,-0.004037464528066175,-0.01482980956665153,8149,-0.005644859297570627,-0.02254697286012508,7735,-0.001959659584755766,-0.03049203049203053,8417,0.17028153489812414,0.1081730769230771,8417,-0.13078577272379033,-0.11396468699839502,14025,0.6001426024955436
D04,5583,0.06391832256645634,0.05286839145106814,5567,6.531492581476031e-05,-2.220446049250313e-16,3333,0.00035916615087013763,-0.00295857988165682,3319,-0.0024730718780439213,-0.004943502824859003,3309,-0.00323022038058679,-0.008107389686337396,3289,-0.00542651565697398,-0.01621621621621616,3219,-0.007799710978675794,-0.023290758827949287,3056,-0.009302619321227532,-0.03700966266071848,3334,0.16640960718220946,0.10583481709069942,3334,-0.13367496198634968,-0.11638658676526831,5583,0.5971699802973311
D05,4586,0.1112567942742337,0.09273741600101415,4578,-0.00024036155603404365,-0.00040595435611823216,2679,-0.0008406678979777005,-0.004459861248761188,2672,-0.0008443894136890115,-0.005580779693514393,2666,-0.0010946386495863014,-0.006682137390946419,2647,-0.0024054882035650566,-0.013403343927041567,2592,-0.005524004223493751,-0.0225094414862424,2432,0.0020887665856705526,-0.025386455732841096,2684,0.1668218985403343,0.10581825875383422,2684,-0.12858346968607243,-0.11415476654704854,4586,0.5852594853903184
D06,31269,-0.05352123859260211,-0.05063649222065014,31260,0.00024780581395666344,-1.1102230246251565e-16,21093,0.0012706181416700943,-0.0009276437847866026,21078,0.002386264405425168,-0.0014134339152217512,21062,0.004231839116572179,2.220446049250313e-16,21041,0.012648577718761796,0.007532956685499137,20960,0.013873327706901818,0.0031872530196365156,19570,0.02728496863853437,0.00301659811451227,21101,0.1674511776937083,0.11212397447584332,21101,-0.09872015975814184,-0.0778097982708933,31269,0.674821708401292
D07,10841,0.04972517261619987,0.03969128996692395,10839,-0.0005842296592095723,-0.0005966587112172794,6622,4.063413298854767e-05,-0.003162156560070517,6619,0.0013504705232259477,-0.0034642032332561357,6612,0.0029613363454596524,-0.0027694474910711087,6596,0.004620752371096983,-0.005225362976716219,6460,0.006363457081325354,-0.010553126546774705,6064,0.023578315964837664,-0.009038413826072511,6623,0.1709415904153519,0.10535876475930861,6623,-0.10757247418034598,-0.08962264150943389,10841,0.6109215017064846
D08,1450,0.12434481340549479,0.10432479552966234,1449,0.000936285227337244,0.0,820,0.0014307217880814775,-0.004000813127853053,818,0.0029795589487089207,-0.00607021365678595,817,0.006205256082712018,-0.003783102143757655,815,0.006714943573634231,-0.0015527950310560978,809,0.01098761308959571,-0.00528314347036507,797,-0.0026539253779890274,-0.030335861321776347,820,0.16925440915093,0.11678294016110469,820,-0.1178118796535214,-0.10176892073443855,1450,0.5655172413793104
D09,1843,0.07188757269409785,0.03683070256886456,1841,-9.638483846287173e-05,0.0,1579,0.0006552753682662678,-0.0014224751066854724,1577,-0.0009559120849035887,-0.00391180654338541,1576,-0.0018772986218397014,-0.007933196175722967,1568,0.0016053174158369979,-0.0054959578649736995,1551,0.005638911454593915,-0.016520284399832996,1490,0.006022208119648723,-0.02734712188574706,1582,0.19330631129249828,0.125509037234105,1582,-0.14059606896076712,-0.12646642747458686,1843,0.8583830710797613
H01,939,0.19431081316526516,0.14701130856219713,938,-0.0004137370918541567,-0.0005431175389886689,486,0.0019088608843513654,-0.00479748447688938,486,0.00571340012869704,-0.001457157669326914,486,0.0097310694008673,-0.007926328233874458,485,0.01638027378251862,-0.004477963704926036,480,0.01578438232169139,-0.02541179033217883,464,-4.550260329154382e-05,-0.041524176974758964,486,0.2122345587311375,0.1417762640817396,486,-0.14981341637309387,-0.1400446186084639,939,0.5175718849840255
H02,4586,0.1112567942742337,0.09273741600101415,4578,-0.00024036155603404365,-0.00040595435611823216,2679,-0.0008406678979777005,-0.004459861248761188,2672,-0.0008443894136890115,-0.005580779693514393,2666,-0.0010946386495863014,-0.006682137390946419,2647,-0.0024054882035650566,-0.013403343927041567,2592,-0.005524004223493751,-0.0225094414862424,2432,0.0020887665856705526,-0.025386455732841096,2684,0.1668218985403343,0.10581825875383422,2684,-0.12858346968607243,-0.11415476654704854,4586,0.5852594853903184
