id,group,signal,capital,exit,stress,overlay,gate,arm,status,configuration_defined_in,started_at,output,net_return,cagr,maxdd,maxdd_date,volatility,sharpe,mean_exposure,p95_exposure,max_single,trades,mean_hold,deferred_trades,fees,slippage,turnover,end_open,filled_buys,win_rate,profit_factor,worst_trade_pnl,flat_days,max_exposure,min_cash,nav_rows,max_underwater_sessions,max_losing_days,max_plan_risk_cny,max_mark_risk_cny,reason,ended_at,execution_grade,signals,matched_coverage_required,new_initial_sleeve,existing_initial_sleeve,rebalancing,initial_capital
A_D00_C_MAX_E10,A_CORE_BASE,D00,C_MAX,E10,BASE,NONE,CORE,,COMPLETED_NEW,V3_MAIN_TEXT,1788844664.982145,/Volumes/quant/CY_quant_research/usic_multichampion_ashare_v3/A_D00_C_MAX_E10,-0.636056670894301,-0.23094165860676208,-0.7659145268918405,2023-12-28,0.3166247593403027,-0.6699709928375216,0.8317732854705133,0.9973338507770121,0.39125419799221034,799.0,10.02252816020025,4.0,118771.33713230013,117714.49000000041,160.22474093808648,10.0,809.0,0.42052565707133915,0.8506261279613746,-79471.41436,1.0,0.9999764687468234,15.293039399398765,970.0,938.0,7.0,274666.41474159405,454764.39,,1788844669.0524921,DAILY_OPEN_MODEL,16648.0,,,,,
A_D00_C_MAX_EST,A_CORE_BASE,D00,C_MAX,EST,BASE,NONE,CORE,,COMPLETED_NEW,V3_MAIN_TEXT,1788844669.123615,/Volumes/quant/CY_quant_research/usic_multichampion_ashare_v3/A_D00_C_MAX_EST,-0.8233681582029,-0.36262770351288276,-0.851176055156177,2023-11-02,0.31785266191796663,-1.2562834378583496,0.8059435302393734,0.996242190859419,0.5605143662805231,907.0,8.43109151047409,6.0,88149.35189490004,89306.80000000066,172.46866109644716,7.0,914.0,0.3197353914002205,0.7190748510418139,-70121.83619999999,1.0,0.9993330270390056,262.0755373999564,970.0,955.0,12.0,171089.37090000007,332876.35410126176,,1788844673.292511,DAILY_OPEN_MODEL,16648.0,,,,,
A_D00_C_10_E10,A_CORE_BASE,D00,C_10,E10,BASE,NONE,CORE,,COMPLETED_NEW,V3_MAIN_TEXT,1788844673.3584561,/Volumes/quant/CY_quant_research/usic_multichampion_ashare_v3/A_D00_C_10_E10,-0.6622367650085,-0.24571336791432297,-0.7777933032867284,2023-12-28,0.29782573560569053,-0.7968328289164919,0.7960744578321475,0.9722187600014027,0.14375568927873947,800.0,10.0225,4.0,112196.21344050004,111097.71000000065,153.9569110862781,10.0,810.0,0.415,0.8382225622374053,-93495.7816,1.0,0.9984030098961296,2387.3794400001643,970.0,938.0,7.0,244848.14391625815,442226.44,,1788844677.4198751,DAILY_OPEN_MODEL,16648.0,,,,,
A_D00_C_10_EST,A_CORE_BASE,D00,C_10,EST,BASE,NONE,CORE,,COMPLETED_NEW,V3_MAIN_TEXT,1788844677.584666,/Volumes/quant/CY_quant_research/usic_multichampion_ashare_v3/A_D00_C_10_EST,-0.7783925095877999,-0.3239374420104053,-0.8137731161341009,2023-11-02,0.2975869769873171,-1.1651400773026308,0.7772960557001074,0.9831059690213242,0.21139839386027565,906.0,8.491169977924946,6.0,83669.29967980014,85024.25000000077,165.82605926933073,7.0,913.0,0.3211920529801324,0.7226483734361682,-74796.62528000001,1.0,0.9981591197008604,844.8254447001127,970.0,955.0,9.0,161323.0700000001,317944.96983958397,,1788844682.349154,DAILY_OPEN_MODEL,16648.0,,,,,
A_D00_C_ONE_E10,A_CORE_BASE,D00,C_ONE,E10,BASE,NONE,CORE,,COMPLETED_NEW,V3_MAIN_TEXT,1788844682.435829,/Volumes/quant/CY_quant_research/usic_multichampion_ashare_v3/A_D00_C_ONE_E10,-0.3617514243620007,-0.11010745117126619,-0.8123997881627932,2023-04-10,0.6085575451546474,0.11032402174549279,0.6771593147002345,0.99088413182831,0.9986264835955987,80.0,10.0,0.0,102239.46436199998,98057.15999999923,126.29239561649457,1.0,81.0,0.4125,0.9283661446929836,-308315.8651999999,162.0,0.9986264835955987,1192.57563799934,970.0,938.0,9.0,404175.9199999999,741178.6400000004,,1788844685.731773,DAILY_OPEN_MODEL,16648.0,,,,,
A_D00_C_ONE_EST,A_CORE_BASE,D00,C_ONE,EST,BASE,NONE,CORE,,COMPLETED_NEW,V3_MAIN_TEXT,1788844685.7967172,/Volumes/quant/CY_quant_research/usic_multichampion_ashare_v3/A_D00_C_ONE_EST,-0.8041324991074,-0.3452790972897437,-0.8926493382890817,2023-12-28,0.6219875725322613,-0.3693950848756968,0.702052638738304,0.9926598965104741,0.9980497361088791,94.0,8.202127659574469,1.0,119657.71910740009,112796.29999999994,150.3474168738588,1.0,95.0,0.2978723404255319,0.7681506321877044,-203225.36483840004,195.0,0.9980497361088791,1012.1814626000123,970.0,645.0,6.0,412400.42999999993,873301.7999999998,,1788844689.215046,DAILY_OPEN_MODEL,16648.0,,,,,
A_D01_C_MAX_E10,A_CORE_BASE,D01,C_MAX,E10,BASE,NONE,CORE,,COMPLETED_NEW,V3_MAIN_TEXT,1788844689.286996,/Volumes/quant/CY_quant_research/usic_multichampion_ashare_v3/A_D01_C_MAX_E10,-0.540611412184401,-0.1829728167753647,-0.7108929506359182,2023-08-16,0.31589785914684737,-0.4809942620721247,0.8095391115028945,0.9990240748470351,0.7936034469129897,675.0,10.011851851851851,2.0,108400.95800839989,112755.82000000084,157.35743967150034,7.0,682.0,0.4488888888888889,0.836986926399872,-90931.59599999996,7.0,0.9999783885955861,16.03339359933898,970.0,937.0,8.0,195170.75879999995,359813.45000000007,,1788844692.5504751,DAILY_OPEN_MODEL,4429.0,,,,,
A_D01_C_MAX_EST,A_CORE_BASE,D01,C_MAX,EST,BASE,NONE,CORE,,COMPLETED_NEW,V3_MAIN_TEXT,1788844692.633874,/Volumes/quant/CY_quant_research/usic_multichampion_ashare_v3/A_D01_C_MAX_EST,-0.5014039159597996,-0.1654026060836824,-0.6390782664797556,2023-08-28,0.34835142649123885,-0.34518131286647613,0.7737895183689635,0.9989663916577193,0.99292329400814,713.0,8.553997194950911,6.0,110408.84515979985,117371.14000000019,164.7458115442525,5.0,718.0,0.34221598877980364,0.8398797369355333,-79689.89672000002,18.0,0.999968467889605,30.002204000233178,970.0,844.0,9.0,174951.9610547396,428810.9139605303,,1788844695.695117,DAILY_OPEN_MODEL,4429.0,,,,,
A_D01_C_10_E10,A_CORE_BASE,D01,C_10,E10,BASE,NONE,CORE,,COMPLETED_NEW,V3_MAIN_TEXT,1788844695.761506,/Volumes/quant/CY_quant_research/usic_multichampion_ashare_v3/A_D01_C_10_E10,-0.4019439405263011,-0.12501839000169057,-0.5140962444356592,2023-08-28,0.24123172173706373,-0.43240972752695034,0.7157497719480594,0.9715777863918915,0.15325184656686575,718.0,10.011142061281337,2.0,93245.02935029984,99346.61000000071,139.67682065127053,7.0,725.0,0.4582172701949861,0.8574406338603161,-31184.655759999987,7.0,0.9977156208891074,2283.3839987990796,970.0,937.0,7.0,139497.4050000001,200014.40834999995,,1788844698.8808699,DAILY_OPEN_MODEL,4429.0,,,,,
A_D01_C_10_EST,A_CORE_BASE,D01,C_10,EST,BASE,NONE,CORE,,COMPLETED_NEW,V3_MAIN_TEXT,1788844698.94609,/Volumes/quant/CY_quant_research/usic_multichampion_ashare_v3/A_D01_C_10_EST,-0.518738440311601,-0.17303982778005822,-0.5671585888944832,2023-08-16,0.23364943154489362,-0.6957572187812116,0.6608982103090919,0.9885186924254697,0.20113009523988346,745.0,8.68993288590604,7.0,81541.36031159994,87372.22000000082,141.73436347564495,5.0,750.0,0.3409395973154362,0.770967556354184,-29529.938879999994,13.0,0.9991560461607646,753.7763387995365,970.0,962.0,10.0,132853.98529999994,266366.01218386495,,1788844702.086445,DAILY_OPEN_MODEL,4429.0,,,,,
