route,baseline,status,n,prior_rows,missing_or_no_same_day_support,treated_r10_coefficient,block20_se,ci_low,ci_high,controls,target
D01,D00,DESCRIPTIVE_FIXED_REGRESSION,9835,21077,11242,-0.0011148009716423542,0.00240932414911913,-0.005837076303915848,0.00360747436063114,same-day demean; board; industry; prior30 return/MAX/volatility; beta120; liquidity20; PIT-B circulating cap,CAUSAL_PRICE_COORDINATE_DIAGNOSTIC_NOT_CASH_PNL
D02,D01,DESCRIPTIVE_FIXED_REGRESSION,4624,8858,4234,-2.55106393526001e-19,1.5792392542973646e-19,-5.646372873682844e-19,5.442450031628243e-20,same-day demean; board; industry; prior30 return/MAX/volatility; beta120; liquidity20; PIT-B circulating cap,CAUSAL_PRICE_COORDINATE_DIAGNOSTIC_NOT_CASH_PNL
D03,D00,DESCRIPTIVE_FIXED_REGRESSION,15917,30673,14756,-0.004628412186334873,0.002724951375016574,-0.009969316881367358,0.0007124925086976121,same-day demean; board; industry; prior30 return/MAX/volatility; beta120; liquidity20; PIT-B circulating cap,CAUSAL_PRICE_COORDINATE_DIAGNOSTIC_NOT_CASH_PNL
D04,D03,DESCRIPTIVE_FIXED_REGRESSION,7692,13649,5957,-0.002741371704549939,0.0026322197436271133,-0.00790052240205908,0.002417778992959203,same-day demean; board; industry; prior30 return/MAX/volatility; beta120; liquidity20; PIT-B circulating cap,CAUSAL_PRICE_COORDINATE_DIAGNOSTIC_NOT_CASH_PNL
D05,D03,DESCRIPTIVE_FIXED_REGRESSION,10333,18611,8278,0.00156842412996328,0.002152426205298988,-0.002650331232422736,0.005787179492349297,same-day demean; board; industry; prior30 return/MAX/volatility; beta120; liquidity20; PIT-B circulating cap,CAUSAL_PRICE_COORDINATE_DIAGNOSTIC_NOT_CASH_PNL
D06,D00,DESCRIPTIVE_FIXED_REGRESSION,28758,47917,19159,-0.0018609185213671999,0.0034243354295644176,-0.008572615963313459,0.004850778920579058,same-day demean; board; industry; prior30 return/MAX/volatility; beta120; liquidity20; PIT-B circulating cap,CAUSAL_PRICE_COORDINATE_DIAGNOSTIC_NOT_CASH_PNL
D07,D06,DESCRIPTIVE_FIXED_REGRESSION,25258,42110,16852,-0.0012078987008918788,0.0020517067166694017,-0.005229243865563906,0.002813446463780148,same-day demean; board; industry; prior30 return/MAX/volatility; beta120; liquidity20; PIT-B circulating cap,CAUSAL_PRICE_COORDINATE_DIAGNOSTIC_NOT_CASH_PNL
D08,D06,DESCRIPTIVE_FIXED_REGRESSION,8289,32719,24430,0.0019271786937044772,0.005028494925294874,-0.007928671359873476,0.011783028747282431,same-day demean; board; industry; prior30 return/MAX/volatility; beta120; liquidity20; PIT-B circulating cap,CAUSAL_PRICE_COORDINATE_DIAGNOSTIC_NOT_CASH_PNL
D09,D02,DESCRIPTIVE_FIXED_REGRESSION,3331,6272,2941,0.0006855985295307416,0.003965255884221186,-0.007086303003542783,0.008457500062604265,same-day demean; board; industry; prior30 return/MAX/volatility; beta120; liquidity20; PIT-B circulating cap,CAUSAL_PRICE_COORDINATE_DIAGNOSTIC_NOT_CASH_PNL
H01,D02,DESCRIPTIVE_FIXED_REGRESSION,1351,5368,4017,0.015516457295442338,0.010578666650835384,-0.005217729340195015,0.03625064393107969,same-day demean; board; industry; prior30 return/MAX/volatility; beta120; liquidity20; PIT-B circulating cap,CAUSAL_PRICE_COORDINATE_DIAGNOSTIC_NOT_CASH_PNL
H02,D05,DESCRIPTIVE_FIXED_REGRESSION,5294,9172,3878,3.8146813843527223e-19,5.476071275201774e-20,2.7413714144131744e-19,4.88799135429227e-19,same-day demean; board; industry; prior30 return/MAX/volatility; beta120; liquidity20; PIT-B circulating cap,CAUSAL_PRICE_COORDINATE_DIAGNOSTIC_NOT_CASH_PNL
