trade_id,baseline_block,symbol,entry_year,entry_industry,canonical_exit_reason,holding_trading_days,mfe,mae,days_to_mfe,days_to_mae,normalized_excursion_order,oriented_order,mfe_at_entry,mae_at_entry,mfe_at_exit,mae_at_exit,boundary_clean,strict_interior,round_trip_return,realized_pnl,false_breakout
DEVELOPMENT_2024_2025:300001.SZ-001,DEVELOPMENT_2024_2025,300001.SZ,2025,电网设备,INDIVIDUAL_MA30_X2_AND_SET_REMOVAL,19,0.063749999999999904,-0.015833333333333099,5,9,-0.21052631578947359,0.21052631578947359,False,False,False,False,True,True,-0.0144885411204569,-2192.4520000000002,True
DEVELOPMENT_2024_2025:300003.SZ-001,DEVELOPMENT_2024_2025,300003.SZ,2024,医疗器械,MARKET_MA20_X2,11,0.076375404530744304,-0.0084142394822005005,1,10,-0.81818181818181823,0.81818181818181823,False,False,False,False,True,True,-0.0015255864263252999,-158.07899999999609,True
DEVELOPMENT_2024_2025:300003.SZ-002,DEVELOPMENT_2024_2025,300003.SZ,2025,医疗器械,MARKET_MA20_X2,12,0.054093567251461902,-0.071637426900584805,8,2,0.5,-0.5,False,False,False,False,True,True,-0.046051858781275101,-7585.3190000000013,True
DEVELOPMENT_2024_2025:300009.SZ-001,DEVELOPMENT_2024_2025,300009.SZ,2025,生物制品,INDIVIDUAL_MA30_X2_AND_SET_REMOVAL,13,0.061590145576707701,-0.059350503919372702,9,12,-0.2307692307692307,0.2307692307692307,False,False,False,False,True,True,-0.056748144633203802,-9030.2169999999824,True
DEVELOPMENT_2024_2025:300014.SZ-001,DEVELOPMENT_2024_2025,300014.SZ,2025,电池,MARKET_MA20_X2,15,0.053793657165796802,-0.0365315134484143,11,14,-0.20000000000000001,0.20000000000000001,False,False,False,False,True,True,-0.019569871082470498,-3024.0219999999972,True
DEVELOPMENT_2024_2025:300033.SZ-001,DEVELOPMENT_2024_2025,300033.SZ,2024,软件开发,MARKET_MA20_X2,34,1.8731752594717743,-0.0113914437600203,27,1,0.76470588235294112,-0.76470588235294112,False,False,False,False,True,True,1.247462435463448,118387.68799999999,False
DEVELOPMENT_2024_2025:300035.SZ-001,DEVELOPMENT_2024_2025,300035.SZ,2025,电池,MARKET_MA20_X2,17,0.1927710843373493,-0.015662650602409602,1,0,0.058823529411764698,-0.058823529411764698,False,True,False,False,True,False,0.0283020685866344,4567.6489999999912,False
DEVELOPMENT_2024_2025:300035.SZ-002,DEVELOPMENT_2024_2025,300035.SZ,2025,电池,MARKET_MA20_X2,26,0.1770244821092278,-0.040489642184557403,4,2,0.0769230769230769,-0.0769230769230769,False,False,False,False,True,True,0.062491234787958601,11055.120000000015,False
DEVELOPMENT_2024_2025:300043.SZ-001,DEVELOPMENT_2024_2025,300043.SZ,2024,游戏Ⅱ,MARKET_MA20_X2,2,0.0111524163568773,-0.0631970260223048,0,1,-0.5,0.5,True,False,False,False,False,False,-0.0502285818270947,-4841.9499999999971,True
DEVELOPMENT_2024_2025:300054.SZ-001,DEVELOPMENT_2024_2025,300054.SZ,2024,电子化学品Ⅱ,MARKET_MA20_X2,17,0.085982982534706598,-0.012987012987012801,3,16,-0.76470588235294112,0.76470588235294112,False,False,False,False,True,True,-0.012575144328340501,-1266.0979999999836,True
DEVELOPMENT_2024_2025:300057.SZ-001,DEVELOPMENT_2024_2025,300057.SZ,2025,工业金属,INDIVIDUAL_MA30_X2_AND_SET_REMOVAL,67,0.31826741996233521,-0.0150659133709978,42,0,0.62686567164179097,-0.62686567164179097,False,True,False,False,True,False,0.1389320590939653,22573.446999999996,False
