trade_id,baseline_block,symbol,entry_year,entry_industry,outcome_class,return_5d,residual_return_after_5d,return_10d,residual_return_after_10d,return_20d,residual_return_after_20d,round_trip_return,realized_pnl,holding_trading_days,canonical_exit_reason,extreme_winner,severe_loss
HOLDOUT_O0_2022_2023:300532.SZ-001,HOLDOUT_O0_2022_2023,300532.SZ,2022,IT服务Ⅱ,ordinary_loser,0.0357142857142854,-0.072388129787226307,,,,,-0.039259134422484701,-3630.3069999999898,8,MARKET_MA20_X2,False,False
HOLDOUT_O0_2022_2023:300537.SZ-001,HOLDOUT_O0_2022_2023,300537.SZ,2023,电子化学品Ⅱ,ordinary_loser,-0.0011785503830288001,-0.074251857815459288,-0.001767825574543,-0.073705371308857126,-0.074837949322333397,-0.00054579553962008642,-0.075342898643019102,-6887.948000000004,21,INDIVIDUAL_MA30_X2_AND_SET_REMOVAL,False,False
HOLDOUT_O0_2022_2023:300601.SZ-001,HOLDOUT_O0_2022_2023,300601.SZ,2023,生物制品,ordinary_loser,0.0095994703740481004,-0.028829531124612728,0.0003310162197946,-0.019831260731326683,-0.018867924528301699,-0.00065117069165665509,-0.0195068089804931,-1592.7029999999941,20,MARKET_MA20_X2,False,False
HOLDOUT_O0_2022_2023:300661.SZ-001,HOLDOUT_O0_2022_2023,300661.SZ,2023,半导体,ordinary_loser,0.030513627972635401,-0.091387011302711763,-0.036268867412313902,-0.028423970395801135,,,-0.063661932594498302,-5281.6409999999887,18,INDIVIDUAL_MA30_X2_AND_SET_REMOVAL,False,False
HOLDOUT_O0_2022_2023:300663.SZ-002,HOLDOUT_O0_2022_2023,300663.SZ,2022,软件开发,ordinary_loser,-0.0241837968561062,-0.060891789131750196,,,,,-0.083602991329289306,-7727.1180000000013,9,MARKET_MA20_X2,False,False
HOLDOUT_O0_2022_2023:300730.SZ-001,HOLDOUT_O0_2022_2023,300730.SZ,2023,软件开发,ordinary_loser,0.0132538104705102,-0.025144090981081613,0.1206096752816434,-0.11853655535782015,,,-0.0122235355268879,-1212.1110000000035,18,INDIVIDUAL_MA30_X2_AND_SET_REMOVAL,False,False
HOLDOUT_O0_2022_2023:300740.SZ-001,HOLDOUT_O0_2022_2023,300740.SZ,2022,化妆品,ordinary_winner,0.086394557823129201,-0.01697631467736116,,,,,0.067951581945751002,6299.2890000000052,5,MARKET_MA20_X2,False,False
HOLDOUT_O0_2022_2023:300782.SZ-001,HOLDOUT_O0_2022_2023,300782.SZ,2023,半导体,severe_loser,0.0454881656804733,-0.14384349290610321,-0.0088017751479290002,-0.096950061355702499,,,-0.1048985038630007,-8517.8759999999893,19,INDIVIDUAL_MA30_X2_AND_SET_REMOVAL,False,True
HOLDOUT_O0_2022_2023:300792.SZ-001,HOLDOUT_O0_2022_2023,300792.SZ,2023,互联网电商,ordinary_loser,-0.041853512705530803,0.015392935077100933,,,,,-0.027104826032254802,-2357.601999999999,9,MARKET_MA20_X2,False,False
HOLDOUT_O0_2022_2023:300793.SZ-001,HOLDOUT_O0_2022_2023,300793.SZ,2022,消费电子,ordinary_loser,-0.0262850467289719,-0.023458429807929226,,,,,-0.049126870613211401,-4377.8440000000101,6,MARKET_MA20_X2,False,False
HOLDOUT_O0_2022_2023:300809.SZ-001,HOLDOUT_O0_2022_2023,300809.SZ,2023,通用设备,ordinary_loser,-0.055230125523012402,0.030990797313680485,0.019665271966527301,-0.044736470933815942,,,-0.025950953835024802,-2294.5399999999936,19,MARKET_MA20_X2,False,False
HOLDOUT_O0_2022_2023:300832.SZ-001,HOLDOUT_O0_2022_2023,300832.SZ,2022,医疗器械,ordinary_loser,0.041534988713318101,-0.065373508156342797,-0.0297968397291196,0.003342632239793808,,,-0.026553807366448402,-2590.5220000000122,10,MARKET_MA20_X2,False,False
HOLDOUT_O0_2022_2023:300855.SZ-001,HOLDOUT_O0_2022_2023,300855.SZ,2022,金属新材料,ordinary_winner,0.0278884462151394,-0.0016295996362443166,,,,,0.026213399577087501,2074.6349999999948,5,MARKET_MA20_X2,False,False
HOLDOUT_O0_2022_2023:300857.SZ-001,HOLDOUT_O0_2022_2023,300857.SZ,2023,消费电子,ordinary_loser,0.0504970178926442,-0.089131796584843159,0.033797216699801201,-0.074417771760444396,,,-0.043135668619147201,-3907.2499999999854,15,MARKET_MA20_X2,False,False
HOLDOUT_O0_2022_2023:300888.SZ-001,HOLDOUT_O0_2022_2023,300888.SZ,2022,个护用品,ordinary_loser,-0.015844155844155699,0.012488698949506327,,,,,-0.003553329787096,-273.88000000000466,8,MARKET_MA20_X2,False,False
HOLDOUT_O0_2022_2023:300925.SZ-001,HOLDOUT_O0_2022_2023,300925.SZ,2023,软件开发,ordinary_loser,0.089102564102563897,-0.09314488250929609,0.049358974358974302,-0.058798506648316762,0.092948717948717896,-0.096336161515128693,-0.012341766271342701,-1079.9220000000082,21,MARKET_MA20_X2,False,False
HOLDOUT_O0_2022_2023:301160.SZ-001,HOLDOUT_O0_2022_2023,301160.SZ,2023,特钢Ⅱ,ordinary_winner,0.0152744630071599,0.014189618561973871,0.0042959427207636004,0.025276292148915802,,,0.029680820372944301,2489.7399999999907,13,MARKET_MA20_X2,False,False
HOLDOUT_O0_2022_2023:301321.SZ-001,HOLDOUT_O0_2022_2023,301321.SZ,2023,光学光电子,ordinary_winner,0.0601421541826134,-0.047786489579917601,0.019682886823400601,-0.010004291311238589,,,0.0094816821785346003,816.87600000001748,16,MARKET_MA20_X2,False,False
