block,arm,year,return,max_drawdown,average_invested_fraction,trade_count,win_rate,mean_trade_return,median_trade_return,severe_loss_rate,winner20_count,winner50_count
EXTENDED_2018_2021,A40_HALF_PRIMARY,2018,-0.011641785000000016,-0.017268267215828303,0.0086215530602122715,4,0.25,-0.039699057072173728,-0.038642606983384994,0,0,0
EXTENDED_2018_2021,A40_HALF_PRIMARY,2019,0.085207921300072487,-0.10208527615516283,0.23662030122454888,37,0.40540540540540543,0.013748949555324935,-0.014014919364467086,0.081081081081081086,2,1
EXTENDED_2018_2021,A40_HALF_PRIMARY,2020,0.033561924394815312,-0.21176360963772456,0.31329852830674637,73,0.47945205479452052,0.018159416154535171,-0.0030920025439071064,0.16438356164383561,7,0
EXTENDED_2018_2021,A40_HALF_PRIMARY,2021,0.3231923879136458,-0.11168795004640686,0.31111476150961276,61,0.44262295081967212,0.051430664033563826,-0.010757480623448591,0.098360655737704916,6,5
HOLDOUT_O0_2022_2023,A40_HALF_PRIMARY,2022,-0.1729136755700007,-0.17960903025081754,0.10744679010178615,37,0.13513513513513514,-0.048889620933071795,-0.051182697430689199,0.13513513513513514,0,0
HOLDOUT_O0_2022_2023,A40_HALF_PRIMARY,2023,0.023348672840539431,-0.14919138329064707,0.24839049628887935,57,0.33333333333333331,0.0044807521002894072,-0.020494818098013897,0.017543859649122806,4,0
DEVELOPMENT_2024_2025,A40_HALF_PRIMARY,2024,0.49049418775000042,-0.23542285793100215,0.235884045525006,38,0.31578947368421051,0.15110238397040263,-0.026202113250630751,0.18421052631578946,10,6
DEVELOPMENT_2024_2025,A40_HALF_PRIMARY,2025,0.35444834716028506,-0.10176871214757299,0.54476359377494821,73,0.50684931506849318,0.039098036164537497,0.0048272396296711595,0.12328767123287671,8,2
EXTENDED_2018_2021,C0_ALL_ONE_CONTROL,2018,-0.037835169999999918,-0.046535273427177115,0.028754991535826592,11,0.18181818181818182,-0.034652575855173229,-0.034659885568976541,0.090909090909090912,0,0
EXTENDED_2018_2021,C0_ALL_ONE_CONTROL,2019,0.23490683088052555,-0.10205347070687709,0.30132264593262353,47,0.48936170212765956,0.039808720922941847,-0.0029697186522230348,0.063829787234042548,4,2
EXTENDED_2018_2021,C0_ALL_ONE_CONTROL,2020,0.052672287424431641,-0.20762679470782652,0.3374376298279092,74,0.47297297297297297,0.01660141512056686,-0.0031652046906428559,0.16216216216216217,7,0
EXTENDED_2018_2021,C0_ALL_ONE_CONTROL,2021,0.31776904262665284,-0.11731685902673672,0.32825032495643269,62,0.45161290322580644,0.051452685576047597,-0.0099923653982490375,0.096774193548387094,6,5
