trade_id,baseline_block,symbol,entry_signal_date,entry_execution_date,entry_year,entry_industry,execution_open,execution_price,stock_entry_gap_log,market_entry_gap_log,excess_entry_gap_log,excess_entry_gap_simple,intraday_fill_premium,action_count,false_breakout,oriented_order,mfe,round_trip_return,realized_pnl,holding_trading_days,canonical_exit_reason
EXTENDED_2018_2021:300059.SZ-002,EXTENDED_2018_2021,300059.SZ,2021-09-08,2021-09-09,2021,证券Ⅱ,35.200000000000003,35.200000000000003,-0.0025535550831271622,-0.00059891623110721692,-0.0019546388520199453,-0.0019527297895441734,0,0,True,0.42857142857142838,0.045454545454545102,-0.0360207973844337,-6599.8400000000256,7,MARKET_MA20_X2
EXTENDED_2018_2021:300059.SZ-003,EXTENDED_2018_2021,300059.SZ,2021-12-14,2021-12-15,2021,证券Ⅱ,38.310000000000002,38.310000000000002,0,-0.0013290687943185268,0.0013290687943185268,0.0013299523976617259,0,0,True,0.75,0.025841816758026302,-0.021275513836202901,-3508.2840000000142,4,MARKET_MA20_X2
EXTENDED_2018_2021:300065.SZ-001,EXTENDED_2018_2021,300065.SZ,2021-07-19,2021-07-20,2021,航海装备Ⅱ,8.1699999999999999,8.1699999999999999,-0.0073171058170670451,-0.0071481211741229456,-0.0001689846429440995,-0.00016897036584353892,0,0,False,-0.1666666666666666,0.1493268053855569,0.0016666320215891,271.23699999999371,6,MARKET_MA20_X2
EXTENDED_2018_2021:300066.SZ-001,EXTENDED_2018_2021,300066.SZ,2020-02-20,2020-02-21,2020,通用设备,5.46,5.46,-0.0072993024816117198,0.0007675501469251902,-0.0080668526285369094,-0.0080344028872569358,0,0,True,0.26666666666666661,0.069597069597069502,-0.084641308871096402,-10686.823000000022,15,MARKET_MA20_X2
EXTENDED_2018_2021:300068.SZ-001,EXTENDED_2018_2021,300068.SZ,2018-03-13,2018-03-14,2018,电池,16.300000000000001,16.300000000000001,-0.0042852835703269376,-0.0041697011477395095,-0.00011558242258742808,-0.00011557574319656503,0,0,True,0.375,0.027607361963190202,-0.044856983507290102,-4464.5899999999965,8,MARKET_EMERGENCY_X0.96
EXTENDED_2018_2021:300068.SZ-002,EXTENDED_2018_2021,300068.SZ,2019-03-15,2019-03-18,2019,电池,15.98,15.98,-0.0093429517989888824,0.0036292948273007938,-0.012972246626289676,-0.012888469684675495,0,0,True,0.75,0.0331664580725907,-0.0498011545118138,-6040.5400000000081,8,MARKET_MA20_X2
EXTENDED_2018_2021:300075.SZ-001,EXTENDED_2018_2021,300075.SZ,2020-09-08,2020-09-09,2020,软件开发,16.010000000000002,16.010000000000002,-0.011797715229714857,-0.016665437635264499,0.0048677224055496422,0.0048795890128955624,0,0,True,0.5,0.00062460961898790004,-0.14100764943987931,-18530.278000000009,2,SET_REMOVAL
EXTENDED_2018_2021:300075.SZ-002,EXTENDED_2018_2021,300075.SZ,2021-11-15,2021-11-16,2021,软件开发,14,14,-0.018401085370891291,-0.0011140788669613485,-0.017287006503929944,-0.017138443508635526,0,0,True,0.0625,0.0749999999999999,-0.0116820960149296,-2246.3280000000213,16,MARKET_MA20_X2
EXTENDED_2018_2021:300079.SZ-001,EXTENDED_2018_2021,300079.SZ,2019-02-14,2019-02-15,2019,IT服务Ⅱ,3.9399999999999999,3.9399999999999999,-0.005063301956546762,-0.00089949469152146122,-0.0041638072650253006,-0.0041551506385643444,0,0,False,-0.48275862068965503,1.0558375634517767,0.73711566190126032,76400.228000000003,29,MARKET_MA20_X2
EXTENDED_2018_2021:300085.SZ-001,EXTENDED_2018_2021,300085.SZ,2021-04-27,2021-04-28,2021,软件开发,16.600000000000001,16.600000000000001,-0.035506688456909762,-0.00092174779990674706,-0.034584940657003016,-0.033993717006780277,0,0,True,1,0.0024096385542166001,-0.1074358753727602,-14040.31700000001,3,INDIVIDUAL_MA30_X2_AND_SET_REMOVAL
EXTENDED_2018_2021:300088.SZ-001,EXTENDED_2018_2021,300088.SZ,2020-06-16,2020-06-17,2020,光学光电子,10.77,10.77,0.033997608541419623,0.0018797204642163425,0.032117888077203283,0.032639233983536513,0,0,False,-0.65384615384615385,0.27019498607242332,-0.0032384068373786002,-419.91300000001297,26,INDIVIDUAL_MA30_X2_AND_SET_REMOVAL
EXTENDED_2018_2021:300088.SZ-002,EXTENDED_2018_2021,300088.SZ,2021-07-16,2021-07-19,2021,光学光电子,8.7100000000000009,8.7100000000000009,0.0022988515871106489,-0.00023487096004608861,0.0025337225471567374,0.0025369351348253403,0,0,True,-0.14285714285714271,0.022962112514351301,-0.0260600478740548,-4316.9900000000198,7,MARKET_MA20_X2
EXTENDED_2018_2021:300094.SZ-001,EXTENDED_2018_2021,300094.SZ,2021-08-12,2021-08-13,2021,渔业,4.4100000000000001,4.4100000000000001,-0.0045248945982896893,-0.0076147878757773712,0.0030898932774876819,0.0030946719182832487,0,0,False,-0.5,0.052154195011337702,0.016106342636954801,2879.5499999999884,2,MARKET_MA20_X2
EXTENDED_2018_2021:300101.SZ-001,EXTENDED_2018_2021,300101.SZ,2021-05-27,2021-05-28,2021,军工电子Ⅱ,17.199999999999999,17.199999999999999,-0.0040615083391799551,0.00022336552371570242,-0.0042848738628956575,-0.0042757068886684745,0,0,False,-0.47826086956521741,0.14244186046511631,0.045210458146504602,5604.4620000000141,23,INDIVIDUAL_MA30_X2_AND_SET_REMOVAL
EXTENDED_2018_2021:300102.SZ-001,EXTENDED_2018_2021,300102.SZ,2021-05-12,2021-05-13,2021,光学光电子,7.3200000000000003,7.3200000000000003,-0.024292692569044472,-0.010409256146661147,-0.013883436422383325,-0.013787505980152492,0,0,False,-0.4565217391304347,0.36475409836065542,0.079256372126467703,12075.200000000026,46,INDIVIDUAL_MA30_X2_AND_SET_REMOVAL
EXTENDED_2018_2021:300107.SZ-001,EXTENDED_2018_2021,300107.SZ,2019-02-25,2019-02-26,2019,化学制品,11.4,11.4,0.0026350476380050318,0.0041533197315270611,-0.0015182720935220293,-0.0015171201015332317,0,0,False,-0.5,0.17807017543859641,0.062347455229696702,6926.8640000000014,22,MARKET_MA20_X2
EXTENDED_2018_2021:300110.SZ-001,EXTENDED_2018_2021,300110.SZ,2020-08-27,2020-08-28,2020,化学制药,4.7999999999999998,4.7999999999999998,-0.018576385572935419,-0.0036431459217970445,-0.014933239651138373,-0.014822291784838367,0,0,False,-0.59999999999999976,0.46875,0.096370909780674002,13479.758999999996,10,SET_REMOVAL
EXTENDED_2018_2021:300115.SZ-001,EXTENDED_2018_2021,300115.SZ,2020-02-18,2020-02-19,2020,消费电子,21.5,21.5,-0.012939182371197505,-0.0016167297054406019,-0.011322452665756903,-0.011258594934514862,0,0,False,0.59999999999999976,0.28186046511627882,0.0059511999628278,717.24099999999999,15,INDIVIDUAL_MA30_X2_AND_SET_REMOVAL
EXTENDED_2018_2021:300119.SZ-001,EXTENDED_2018_2021,300119.SZ,2021-04-29,2021-04-30,2021,动物保健Ⅱ,29.469999999999999,29.469999999999999,0.00067888665200751543,-0.0036289239415066943,0.0043078105935142096,0.0043171025474370078,0,0,True,0.5,0.0451306413301664,-0.036201667351989701,-4378.5130000000063,4,MARKET_MA20_X2
EXTENDED_2018_2021:300122.SZ-001,EXTENDED_2018_2021,300122.SZ,2018-01-09,2018-01-10,2018,生物制品,32.479999999999997,32.479999999999997,-0.0024600258408624229,0.00058500243037695363,-0.0030450282712393764,-0.003040396874756753,0,0,False,-0.20000000000000001,0.076662561576354704,0.047164658002096502,4600.320000000007,5,MARKET_MA20_X2
EXTENDED_2018_2021:300124.SZ-001,EXTENDED_2018_2021,300124.SZ,2020-10-09,2020-10-12,2020,自动化设备,62.200000000000003,62.200000000000003,0.0072610242370472729,0.010966254436377873,-0.0037052301993306001,-0.0036983743040861598,0,0,False,-0.375,0.26559485530546612,0.26274564619882262,31090.221999999991,16,MARKET_MA20_X2
EXTENDED_2018_2021:300131.SZ-001,EXTENDED_2018_2021,300131.SZ,2019-08-27,2019-08-28,2019,其他电子Ⅱ,6.2400000000000002,6.2400000000000002,0.0096619109117368901,0.00035701208967039213,0.0093048988220664972,0.0093483239774998783,0,0,True,-0.7142857142857143,0.0496794871794871,-0.0488838940849083,-6079.6530000000175,21,MARKET_MA20_X2
EXTENDED_2018_2021:300136.SZ-001,EXTENDED_2018_2021,300136.SZ,2019-12-30,2019-12-31,2019,消费电子,45.710000000000001,45.710000000000001,-0.006758992263567098,-0.00013034183716878592,-0.0066286504263983123,-0.0066067293855429678,0,0,True,0.27777777777777762,0.062349595274556802,-0.14849971730304251,-17666.245999999999,18,MARKET_EMERGENCY_X0.96
EXTENDED_2018_2021:300137.SZ-001,EXTENDED_2018_2021,300137.SZ,2018-05-18,2018-05-21,2018,环保设备Ⅱ,20.899999999999999,20.899999999999999,0.013487680381951429,0.0048395535421968065,0.0086481268397546225,0.0086856299211835828,0,0,True,0.83333333333333315,0.0047846889952154002,-0.094157995114932905,-9061.4020000000019,6,MARKET_MA20_X2
EXTENDED_2018_2021:300141.SZ-001,EXTENDED_2018_2021,300141.SZ,2021-07-14,2021-07-15,2021,电网设备,11.01,11.01,-0.020674893730956552,-0.0045533216674852111,-0.01612157206347134,-0.015992315061441175,0,0,False,-0.1111111111111111,0.1607629427792916,-0.056014211203708301,-9506.9309999999914,9,MARKET_MA20_X2
