archetype,count,cycle_share,breadth_complete_count,breadth_missing_count,breadth_composite_mean,breadth_composite_median,breadth_composite_p25,breadth_composite_p75,mfe_mean,mfe_median,mae_mean,mae_median,round_trip_return_mean,round_trip_return_median,realized_pnl_sum,positive_pnl_capture,holding_days_mean,holding_days_median,time_to_mfe_fraction_median,return_5d_mean,return_5d_observed,return_10d_mean,return_10d_observed,return_20d_mean,return_20d_observed,opportunity20_rate,converted20_rate,false_breakout_rate,severe_loss_rate,entry_year_counts_json,exit_year_counts_json,breadth_tercile_counts_json,exit_reason_counts_json
all_cycles,399,1,383,16,0.50812983156709157,0.5,0.31045751633986929,0.68887555022008806,0.16525557990337297,0.062801932367149801,-0.058348262538653106,-0.050665301944728701,0.03241642144190069,-0.019669200950819799,1432155.75327,1,12.912280701754385,9,0.29999999999999999,0.040250012730169905,295,0.067974208309898268,192,0.2068374106995565,91,0.21052631578947367,0.097744360902255634,0.53383458646616544,0.11027568922305764,"{""2018"":11,""2019"":57,""2020"":65,""2021"":61,""2022"":37,""2023"":57,""2024"":38,""2025"":73}","{""2018"":11,""2019"":47,""2020"":74,""2021"":62,""2022"":37,""2023"":57,""2024"":38,""2025"":73}","{""HIGH"":127,""LOW"":129,""MIDDLE"":127}","{""INDIVIDUAL_MA30_X2_AND_SET_REMOVAL"":95,""MARKET_EMERGENCY_X0.96"":14,""MARKET_MA20_X2"":283,""SET_REMOVAL"":7}"
winner20,39,0.097744360902255634,36,3,0.61105510999145884,0.65350877192982459,0.48590739142939315,0.69561841129894586,0.86750347983241261,0.70874587458745886,-0.020555229828500159,-0.0147194112235509,0.53571420223533295,0.35007052026407781,2487134.42105,0.73623753073291898,28.641025641025642,29,0.79411764705882348,0.27274061691192297,39,0.26709285185903742,36,0.45718674981937368,29,1,1,0,0,"{""2019"":6,""2020"":5,""2021"":6,""2023"":4,""2024"":10,""2025"":8}","{""2019"":4,""2020"":7,""2021"":6,""2023"":4,""2024"":10,""2025"":8}","{""HIGH"":19,""LOW"":3,""MIDDLE"":14}","{""INDIVIDUAL_MA30_X2_AND_SET_REMOVAL"":2,""MARKET_EMERGENCY_X0.96"":2,""MARKET_MA20_X2"":35}"
winner50,15,0.037593984962406013,13,2,0.61509291981356939,0.65350877192982459,0.5300546448087432,0.65350877192982459,1.3957444259251324,1.1167532986805275,-0.018322227914026126,-0.0113914437600203,0.89304187293507542,0.78081811710915516,1540130.8989999997,0.45590707140248898,31.466666666666665,34,0.79411764705882348,0.3958694506863033,15,0.34973954184734962,13,0.61674864789342054,12,1,1,0,0,"{""2019"":2,""2021"":5,""2024"":6,""2025"":2}","{""2019"":2,""2021"":5,""2024"":6,""2025"":2}","{""HIGH"":8,""MIDDLE"":5}","{""MARKET_MA20_X2"":15}"
annual_top10_pnl,80,0.20050125313283207,69,11,0.5812163119484095,0.64615384615384619,0.42397660818713451,0.75146198830409361,0.51329698121610912,0.35541150661665843,-0.027485812359892059,-0.02277109137648985,0.29188710692576275,0.1899846582413045,2798431.2874799999,0.84061741065454954,22.087499999999999,21.5,0.62731481481481488,0.16703892671522885,74,0.19397167776569754,60,0.35559396902423418,44,0.67500000000000004,0.48749999999999999,0.16250000000000001,0,"{""2018"":10,""2019"":12,""2020"":8,""2021"":10,""2022"":10,""2023"":10,""2024"":10,""2025"":10}","{""2018"":10,""2019"":10,""2020"":10,""2021"":10,""2022"":10,""2023"":10,""2024"":10,""2025"":10}","{""HIGH"":33,""LOW"":12,""MIDDLE"":24}","{""INDIVIDUAL_MA30_X2_AND_SET_REMOVAL"":6,""MARKET_EMERGENCY_X0.96"":5,""MARKET_MA20_X2"":69}"
annual_top20_pnl,151,0.37844611528822053,137,14,0.54128237478618624,0.56666666666666665,0.36885245901639341,0.73515981735159819,0.33247943467300106,0.17025956885173779,-0.030356036080376604,-0.0231634679020515,0.17054071150554267,0.067951581945751099,3150359.9532700004,0.9627913170414919,18.132450331125828,15,0.59999999999999998,0.1157553240020658,123,0.1373119502115126,99,0.27725376568110743,63,0.45033112582781459,0.25827814569536423,0.19205298013245034,0.0066225165562913907,"{""2018"":11,""2019"":25,""2020"":16,""2021"":19,""2022"":20,""2023"":20,""2024"":20,""2025"":20}","{""2018"":11,""2019"":20,""2020"":20,""2021"":20,""2022"":20,""2023"":20,""2024"":20,""2025"":20}","{""HIGH"":54,""LOW"":34,""MIDDLE"":49}","{""INDIVIDUAL_MA30_X2_AND_SET_REMOVAL"":16,""MARKET_EMERGENCY_X0.96"":9,""MARKET_MA20_X2"":125,""SET_REMOVAL"":1}"
global_top10_pnl,10,0.025062656641604009,10,0,0.59514854956839669,0.65350877192982459,0.4849726775956284,0.65350877192982459,1.604932622887596,1.4242647583878241,-0.02146883752452021,-0.0127942134505514,1.0125206047724042,0.845472604885115,1206235.8169999998,0.35706798630319447,30,34,0.82563025210084029,0.48969334333658532,10,0.40247342392220026,8,0.64936967635844767,7,1,1,0,0,"{""2021"":4,""2024"":4,""2025"":2}","{""2021"":4,""2024"":4,""2025"":2}","{""HIGH"":6,""MIDDLE"":4}","{""MARKET_MA20_X2"":10}"
global_top20_pnl,20,0.050125313283208017,18,2,0.60132614571874909,0.64983130904183539,0.4849726775956284,0.67365116558519578,1.1966857101512467,0.97871200263202496,-0.021978406925252787,-0.0153387150342283,0.76617477490639785,0.66755052516716717,1862949.8322999999,0.55146741277973088,33,33.5,0.79705882352941182,0.31945933714031294,20,0.30813895880388953,18,0.517322982364539,15,1,1,0,0,"{""2019"":2,""2020"":1,""2021"":6,""2024"":5,""2025"":6}","{""2019"":2,""2020"":1,""2021"":6,""2024"":5,""2025"":6}","{""HIGH"":9,""LOW"":1,""MIDDLE"":8}","{""INDIVIDUAL_MA30_X2_AND_SET_REMOVAL"":1,""MARKET_MA20_X2"":19}"
failed_opportunity20,45,0.11278195488721804,44,1,0.58447070140804902,0.64615384615384619,0.37899543378995437,0.75769230769230766,0.30226648345386858,0.27027027027027017,-0.03482024945637377,-0.0231634679020515,0.08252666157173956,0.089723570912732198,493574.92922000022,0.1499751066381188,24.800000000000001,23,0.6785714285714286,0.08742471382625211,45,0.090784898754539045,41,0.13358098132419882,32,1,0,0,0,"{""2019"":9,""2020"":10,""2021"":7,""2022"":1,""2023"":5,""2024"":1,""2025"":12}","{""2019"":4,""2020"":15,""2021"":7,""2022"":1,""2023"":5,""2024"":1,""2025"":12}","{""HIGH"":19,""LOW"":10,""MIDDLE"":15}","{""INDIVIDUAL_MA30_X2_AND_SET_REMOVAL"":14,""MARKET_EMERGENCY_X0.96"":5,""MARKET_MA20_X2"":23,""SET_REMOVAL"":3}"
lost_opportunity20,6,0.015037593984962405,6,0,0.55872694556905089,0.58214125056230315,0.49871794871794872,0.63081421502474133,0.23829695689738828,0.22937916935657404,-0.043714954696355383,-0.039528817762262899,-0.017172392693425069,-0.012282650899115351,-13066.248999999983,0,18.166666666666668,19.5,0.68406593406593408,0.073004583678273324,6,0.054407927108235742,5,0.060307442994134632,3,1,0,0,0,"{""2020"":4,""2023"":2}","{""2020"":4,""2023"":2}","{""MIDDLE"":6}","{""INDIVIDUAL_MA30_X2_AND_SET_REMOVAL"":2,""MARKET_MA20_X2"":2,""SET_REMOVAL"":2}"
false_breakout,213,0.53383458646616544,206,7,0.47572863072855232,0.4324324324324324,0.29609220737475317,0.67884615384615388,0.035015345859151406,0.028799999999999899,-0.080489637341564377,-0.0742049469964665,-0.064501038511145636,-0.057861956500383102,-1809331.2860000003,0,7.7981220657276999,7,0,-0.032676673188721264,138,-0.032205346851994616,63,-0.017787399822389298,7,0,0,1,0.19718309859154928,"{""2018"":9,""2019"":23,""2020"":30,""2021"":33,""2022"":30,""2023"":32,""2024"":25,""2025"":31}","{""2018"":9,""2019"":22,""2020"":31,""2021"":33,""2022"":30,""2023"":32,""2024"":25,""2025"":31}","{""HIGH"":57,""LOW"":85,""MIDDLE"":64}","{""INDIVIDUAL_MA30_X2_AND_SET_REMOVAL"":65,""MARKET_EMERGENCY_X0.96"":5,""MARKET_MA20_X2"":139,""SET_REMOVAL"":4}"
