baseline_block,source_execution_ledger_sha256,strategy_sha256,feature_artifact_sha256,trade_id,symbol,entry_signal_date,entry_execution_date,exit_signal_date,exit_execution_date,entry_year,entry_quarter,canonical_exit_reason,breadth_above_ma20,breadth_positive_return20,breadth_above_ma20_change20,breadth_above_ma20_within_year_rank,breadth_positive_return20_within_year_rank,breadth_above_ma20_change20_within_year_rank,breadth_composite,breadth_tercile,holding_trading_days,mfe,mae,days_to_mfe,days_to_mae,return_5d,return_10d,return_20d,round_trip_return,realized_pnl,giveback_from_peak,opportunity20,opportunity50,converted20,converted50,conversion20_within_opportunity,conversion50_within_opportunity,capture_ratio_opportunity20,false_breakout,severe_loss,extreme_loss
EXTENDED_2018_2021,878e5d52661323507d62ae5d72bcf8f050d005f8c64a631ab6fb5ae59b7bd249,dd6198c5169c631c39e906cd6c5f0d9463036e09c15eca69a813df743edfc84a,5fe1ec1cb1bdfa922dd838bd1f559de9463d4926f56dfed09427d826c7465bc6,EXTENDED_2018_2021:300122.SZ-001,300122.SZ,2018-01-09,2018-01-10,2018-01-16,2018-01-17,2018,2018Q1,MARKET_MA20_X2,,,,,,,,,5,0.0766625615763547,-0.0049261083743841,1,0,0.0406403940886699,,,0.0471646580020965,4600.320000000007,0.0020964257417458,False,False,False,False,,,,False,False,False
EXTENDED_2018_2021,878e5d52661323507d62ae5d72bcf8f050d005f8c64a631ab6fb5ae59b7bd249,dd6198c5169c631c39e906cd6c5f0d9463036e09c15eca69a813df743edfc84a,5fe1ec1cb1bdfa922dd838bd1f559de9463d4926f56dfed09427d826c7465bc6,EXTENDED_2018_2021:300068.SZ-001,300068.SZ,2018-03-13,2018-03-14,2018-03-23,2018-03-26,2018,2018Q1,MARKET_EMERGENCY_X0.96,,,,,,,,,8,0.0276073619631902,-0.0588957055214725,4,7,0.014723926380368,,,-0.0448569835072902,-4464.5899999999965,0.0595809098876582,False,False,False,False,,,,True,False,False
EXTENDED_2018_2021,878e5d52661323507d62ae5d72bcf8f050d005f8c64a631ab6fb5ae59b7bd249,dd6198c5169c631c39e906cd6c5f0d9463036e09c15eca69a813df743edfc84a,5fe1ec1cb1bdfa922dd838bd1f559de9463d4926f56dfed09427d826c7465bc6,EXTENDED_2018_2021:300144.SZ-001,300144.SZ,2018-03-07,2018-03-08,2018-03-23,2018-03-26,2018,2018Q1,MARKET_EMERGENCY_X0.96,,,,,,,,,12,0.0659898477157361,-0.03248730964467,3,11,0.0279187817258883,0.0055837563451777,,-0.0251574640381709,-2530.6520000000028,0.0728732000787802,False,False,False,False,,,,True,False,False
EXTENDED_2018_2021,878e5d52661323507d62ae5d72bcf8f050d005f8c64a631ab6fb5ae59b7bd249,dd6198c5169c631c39e906cd6c5f0d9463036e09c15eca69a813df743edfc84a,5fe1ec1cb1bdfa922dd838bd1f559de9463d4926f56dfed09427d826c7465bc6,EXTENDED_2018_2021:300158.SZ-001,300158.SZ,2018-03-09,2018-03-12,2018-03-23,2018-03-26,2018,2018Q1,MARKET_EMERGENCY_X0.96,,,,,,,,,10,0.0227420402858999,-0.1137102014294997,0,9,-0.0493827160493827,-0.0994152046783626,,-0.1098123748468913,-11480.603000000005,0.1169598732224599,False,False,False,False,,,,True,True,False
EXTENDED_2018_2021,878e5d52661323507d62ae5d72bcf8f050d005f8c64a631ab6fb5ae59b7bd249,dd6198c5169c631c39e906cd6c5f0d9463036e09c15eca69a813df743edfc84a,5fe1ec1cb1bdfa922dd838bd1f559de9463d4926f56dfed09427d826c7465bc6,EXTENDED_2018_2021:300324.SZ-001,300324.SZ,2018-03-19,2018-03-20,2018-03-23,2018-03-26,2018,2018Q1,MARKET_EMERGENCY_X0.96,0.8666666666666667,0.9523809523809523,,1.0,1.0,,,,4,0.0619883040935671,-0.0374269005847953,2,3,,,,-0.0148377937851622,-1473.0840000000026,0.0487559224401328,False,False,False,False,,,,True,False,False
EXTENDED_2018_2021,878e5d52661323507d62ae5d72bcf8f050d005f8c64a631ab6fb5ae59b7bd249,dd6198c5169c631c39e906cd6c5f0d9463036e09c15eca69a813df743edfc84a,5fe1ec1cb1bdfa922dd838bd1f559de9463d4926f56dfed09427d826c7465bc6,EXTENDED_2018_2021:300014.SZ-001,300014.SZ,2018-05-11,2018-05-14,2018-05-28,2018-05-29,2018,2018Q2,MARKET_MA20_X2,0.44,0.4742857142857143,-0.22666666666666663,0.6,0.4,0.6666666666666666,0.5555555555555555,MIDDLE,11,0.0299644489588624,-0.090401218892839,0,9,-0.0030472320975115,-0.0868461147790756,,-0.0628208764318465,-6190.900000000009,0.065868108529358,False,False,False,False,,,,True,False,False
EXTENDED_2018_2021,878e5d52661323507d62ae5d72bcf8f050d005f8c64a631ab6fb5ae59b7bd249,dd6198c5169c631c39e906cd6c5f0d9463036e09c15eca69a813df743edfc84a,5fe1ec1cb1bdfa922dd838bd1f559de9463d4926f56dfed09427d826c7465bc6,EXTENDED_2018_2021:300137.SZ-001,300137.SZ,2018-05-18,2018-05-21,2018-05-28,2018-05-29,2018,2018Q2,MARKET_MA20_X2,0.3473053892215569,0.41916167664670656,-0.3251084038818914,0.4,0.2,0.3333333333333333,0.3111111111111111,LOW,6,0.0047846889952154,-0.1095693779904305,0,5,-0.0937799043062199,,,-0.0941579951149329,-9061.402000000002,0.0506173252584736,False,False,False,False,,,,True,False,False
EXTENDED_2018_2021,878e5d52661323507d62ae5d72bcf8f050d005f8c64a631ab6fb5ae59b7bd249,dd6198c5169c631c39e906cd6c5f0d9463036e09c15eca69a813df743edfc84a,5fe1ec1cb1bdfa922dd838bd1f559de9463d4926f56dfed09427d826c7465bc6,EXTENDED_2018_2021:300498.SZ-001,300498.SZ,2018-05-17,2018-05-18,2018-05-28,2018-05-29,2018,2018Q2,MARKET_MA20_X2,0.3391812865497076,0.5847953216374269,-0.12510442773600672,0.2,0.6,1.0,0.6,MIDDLE,7,0.0337640683618174,-0.0404335139641517,3,1,-0.0050020842017506,,,0.0126469807930079,1273.3559999999998,0.0052771542632655,False,False,False,False,,,,False,False,False
EXTENDED_2018_2021,878e5d52661323507d62ae5d72bcf8f050d005f8c64a631ab6fb5ae59b7bd249,dd6198c5169c631c39e906cd6c5f0d9463036e09c15eca69a813df743edfc84a,5fe1ec1cb1bdfa922dd838bd1f559de9463d4926f56dfed09427d826c7465bc6,EXTENDED_2018_2021:300188.SZ-001,300188.SZ,2018-08-29,2018-08-30,2018-08-31,2018-09-03,2018,2018Q3,MARKET_MA20_X2,,,,,,,,,2,0.0,-0.0394805194805195,0,1,,,,-0.0346598855689765,-3339.350000000006,0.0128417037507945,False,False,False,False,,,,True,False,False
EXTENDED_2018_2021,878e5d52661323507d62ae5d72bcf8f050d005f8c64a631ab6fb5ae59b7bd249,dd6198c5169c631c39e906cd6c5f0d9463036e09c15eca69a813df743edfc84a,5fe1ec1cb1bdfa922dd838bd1f559de9463d4926f56dfed09427d826c7465bc6,EXTENDED_2018_2021:300498.SZ-002,300498.SZ,2018-09-26,2018-09-27,2018-10-09,2018-10-10,2018,2018Q3,MARKET_MA20_X2,,,,,,,,,4,0.0021079258010119,-0.0379426644182123,0,2,,,,-0.0196692009508198,-1868.0800000000015,0.0141885938681892,False,False,False,False,,,,True,False,False
EXTENDED_2018_2021,878e5d52661323507d62ae5d72bcf8f050d005f8c64a631ab6fb5ae59b7bd249,dd6198c5169c631c39e906cd6c5f0d9463036e09c15eca69a813df743edfc84a,5fe1ec1cb1bdfa922dd838bd1f559de9463d4926f56dfed09427d826c7465bc6,EXTENDED_2018_2021:300498.SZ-003,300498.SZ,2018-12-05,2018-12-06,2018-12-07,2018-12-10,2018,2018Q4,MARKET_MA20_X2,0.5409836065573771,0.680327868852459,,0.8,0.8,,,,2,0.0104089219330856,-0.0609665427509292,0,1,,,,-0.0350173989579193,-3300.1849999999977,0.0272107075081053,False,False,False,False,,,,True,False,False
