block,window_sessions,start_date,end_date,control_return,candidate_return,active_return
DEVELOPMENT_2024_2025,126,2024-03-19,2024-09-23,-0.042753995953041635,-0.042753995953041635,0.0
DEVELOPMENT_2024_2025,126,2024-03-20,2024-09-24,-0.04103296639636367,-0.04103296639636367,0.0
DEVELOPMENT_2024_2025,126,2024-03-21,2024-09-25,-0.03274603173865631,-0.03274603173865631,0.0
DEVELOPMENT_2024_2025,126,2024-03-22,2024-09-26,0.024976205591566103,0.024976205591566103,0.0
DEVELOPMENT_2024_2025,126,2024-03-25,2024-09-27,0.14492112502837262,0.14492112502837262,0.0
DEVELOPMENT_2024_2025,126,2024-03-26,2024-09-30,0.34250008562238343,0.34250008562238343,0.0
DEVELOPMENT_2024_2025,126,2024-03-27,2024-10-08,0.5779417548542822,0.5779417548542822,0.0
DEVELOPMENT_2024_2025,126,2024-03-28,2024-10-09,0.4909078876021198,0.4909078876021198,0.0
DEVELOPMENT_2024_2025,126,2024-03-29,2024-10-10,0.3768767754080411,0.3768767754080411,0.0
DEVELOPMENT_2024_2025,126,2024-04-01,2024-10-11,0.3197746353612041,0.3197746353612041,0.0
DEVELOPMENT_2024_2025,126,2024-04-02,2024-10-14,0.3892631603239278,0.3892631603239278,0.0
DEVELOPMENT_2024_2025,126,2024-04-03,2024-10-15,0.35535304187954986,0.35535304187954986,0.0
DEVELOPMENT_2024_2025,126,2024-04-08,2024-10-16,0.40953215607905524,0.40953215607905524,0.0
DEVELOPMENT_2024_2025,126,2024-04-09,2024-10-17,0.4397243466384455,0.4397243466384455,0.0
DEVELOPMENT_2024_2025,126,2024-04-10,2024-10-18,0.556904981450332,0.556904981450332,0.0
DEVELOPMENT_2024_2025,126,2024-04-11,2024-10-21,0.589281643305611,0.589281643305611,0.0
DEVELOPMENT_2024_2025,126,2024-04-12,2024-10-22,0.5764122799364648,0.5764122799364648,0.0
DEVELOPMENT_2024_2025,126,2024-04-15,2024-10-23,0.5778441098093572,0.5778441098093572,0.0
DEVELOPMENT_2024_2025,126,2024-04-16,2024-10-24,0.5463529084517209,0.5463529084517209,0.0
DEVELOPMENT_2024_2025,126,2024-04-17,2024-10-25,0.5629301376547455,0.5629301376547455,0.0
DEVELOPMENT_2024_2025,126,2024-04-18,2024-10-28,0.6084136272853564,0.6084136272853564,0.0
DEVELOPMENT_2024_2025,126,2024-04-19,2024-10-29,0.5517511988720079,0.5517511988720079,0.0
DEVELOPMENT_2024_2025,126,2024-04-22,2024-10-30,0.5350652995169998,0.5350652995169998,0.0
DEVELOPMENT_2024_2025,126,2024-04-23,2024-10-31,0.6153143700966588,0.6153143700966588,0.0
DEVELOPMENT_2024_2025,126,2024-04-24,2024-11-01,0.5347928060922862,0.5347928060922862,0.0
DEVELOPMENT_2024_2025,126,2024-04-25,2024-11-04,0.6251379505949368,0.6251379505949368,0.0
DEVELOPMENT_2024_2025,126,2024-04-26,2024-11-05,0.7719422700785226,0.7719422700785226,0.0
DEVELOPMENT_2024_2025,126,2024-04-29,2024-11-06,0.8162019100382794,0.8162019100382794,0.0
DEVELOPMENT_2024_2025,126,2024-04-30,2024-11-07,0.9321585090929727,0.9321585090929727,0.0
DEVELOPMENT_2024_2025,126,2024-05-06,2024-11-08,0.82547353400072,0.82547353400072,0.0
DEVELOPMENT_2024_2025,126,2024-05-07,2024-11-11,0.8058874831636982,0.8058874831636982,0.0
DEVELOPMENT_2024_2025,126,2024-05-08,2024-11-12,0.8036042549564348,0.8036042549564348,0.0
DEVELOPMENT_2024_2025,126,2024-05-09,2024-11-13,0.8146007428905795,0.8146007428905795,0.0
DEVELOPMENT_2024_2025,126,2024-05-10,2024-11-14,0.8050445449251045,0.8050445449251045,0.0
DEVELOPMENT_2024_2025,126,2024-05-13,2024-11-15,0.716697936929205,0.716697936929205,0.0
DEVELOPMENT_2024_2025,126,2024-05-14,2024-11-18,0.6237155745208132,0.6237155745208132,0.0
DEVELOPMENT_2024_2025,126,2024-05-15,2024-11-19,0.6631717585163879,0.6631717585163879,0.0
DEVELOPMENT_2024_2025,126,2024-05-16,2024-11-20,0.6724913257253258,0.6724913257253258,0.0
DEVELOPMENT_2024_2025,126,2024-05-17,2024-11-21,0.6589524072060493,0.6589524072060493,0.0
DEVELOPMENT_2024_2025,126,2024-05-20,2024-11-22,0.6475199487955614,0.6475199487955614,0.0
DEVELOPMENT_2024_2025,126,2024-05-21,2024-11-25,0.6561265451877831,0.6561265451877831,0.0
DEVELOPMENT_2024_2025,126,2024-05-22,2024-11-26,0.6633727453764144,0.6633727453764144,0.0
DEVELOPMENT_2024_2025,126,2024-05-23,2024-11-27,0.6979662625316243,0.6979662625316243,0.0
DEVELOPMENT_2024_2025,126,2024-05-24,2024-11-28,0.726260271874317,0.726260271874317,0.0
