block,arm,total_return,annualized_return,max_drawdown,trade_count,win_rate,mean_trade_return,median_trade_return,severe_loss_rate,winner20_count,winner50_count,average_invested_fraction,exposure_normalized_return,turnover,filled_side_cost,same_day_fill_count,stale_held_valuation_count,corporate_actions_applied,positive_round_trip_pnl,top5_positive_pnl_concentration,return_ex_best5,top10_positive_pnl_concentration,return_ex_best10,top20_positive_pnl_concentration,return_ex_best20,baseline_winner20_entry_retention,baseline_top20_positive_pnl_capture
EXTENDED_2018_2021,C0_ALL_ONE_CONTROL,0.64822372678999929,0.1336456034770972,-0.20762679470782652,194,0.45360824742268041,0.030455684400042576,-0.0097051242637172207,0.1134020618556701,17,7,0.24899523285031974,2.6033579814745713,41.938112946806733,51190.678800000002,0,0,3040,1563968.8797900002,0.34360119689348045,0.11084214778999935,0.53449942118557037,-0.18771673421000068,0.73517870518906192,-0.50157288921000065,,
EXTENDED_2018_2021,A40_HALF_PRIMARY,0.46685378970999936,0.10095073736788263,-0.21674356310106602,175,0.44571428571428573,0.027501844517638794,-0.0083387436301044452,0.12,15,6,0.21743352550647149,2.1471104266122216,35.266957445394311,39856.833720000002,0,0,3040,1215908.8687100001,0.38686430546316758,-0.0035379502900006465,0.57947811068071797,-0.23773878429000062,0.77772112724472531,-0.47878422629000061,0.88235294117647056,0.78236403332743854
EXTENDED_2018_2021,N30_HALF_NEIGHBOR,0.52638576036000173,0.11200062543057476,-0.20633248881164601,175,0.44571428571428573,0.027666994180934143,-0.0083406100255049229,0.12,15,6,0.22542184867914072,2.3351142023027447,37.417981532658082,42791.911379999998,0,0,3040,1305340.6803600003,0.37213072748643122,0.040628383360001685,0.55478700073935994,-0.19780028063999833,0.75597751364635923,-0.46042244163999835,0.88235294117647056,0.82632047161982614
EXTENDED_2018_2021,N50_HALF_NEIGHBOR,0.48197349703999981,0.10378851531749866,-0.21326817552760335,175,0.44,0.027396046696626191,-0.0082934204571910603,0.12,15,6,0.20944994322824217,2.3011393061815384,33.73769732551127,38521.646059999999,0,0,3040,1211614.3210400001,0.39017745563969186,0.009228904039999819,0.5865164967594827,-0.22865828996000015,0.78843272930286101,-0.47330288896000028,0.88235294117647056,0.79182569015318793
EXTENDED_2018_2021,Z40_ZERO_SEVERITY,0.35781860966999979,0.079809409552624944,-0.23691423214873686,156,0.42307692307692307,0.022130990838694083,-0.013784026072781997,0.12820512820512819,13,5,0.20841798722096871,1.7168317113178608,33.511021753515394,37265.522680000002,0,0,3040,1072562.3056700001,0.40788911346899726,-0.079667878330000219,0.59651820562567015,-0.2819843323300002,0.80465807947714418,-0.5052273153300002,0.76470588235294112,0.67712951418183687
HOLDOUT_O0_2022_2023,C0_ALL_ONE_CONTROL,-0.15522057457000038,-0.081683286259963572,-0.19341335385754299,94,0.25531914893617019,-0.016552130299664392,-0.033237367977433055,0.063829787234042548,4,0,0.17835449106928172,-0.8702924924369021,18.574266065008864,16538.564760000001,0,0,1873,182978.08443000008,0.66799564210521434,-0.27744913757000039,0.88973581692665216,-0.31802273000000042,0.9958255765854177,-0.33743483100000043,,
HOLDOUT_O0_2022_2023,A40_HALF_PRIMARY,-0.15360230757000037,-0.080795033940517791,-0.19196949932134932,94,0.25531914893617019,-0.016526735157522982,-0.033237367977433055,0.063829787234042548,4,0,0.17791864319533277,-0.86332890590540279,18.384292754332368,16375.297760000001,0,0,1873,183128.93343000006,0.66825821407832353,-0.27597972157000039,0.88982664496480479,-0.31655531200000042,0.9958290151878596,-0.33596741300000044,1,1.0008278660679766
HOLDOUT_O0_2022_2023,N30_HALF_NEIGHBOR,-0.15522057457000038,-0.081683286259963572,-0.19341335385754299,94,0.25531914893617019,-0.016552130299664392,-0.033237367977433055,0.063829787234042548,4,0,0.17835449106928172,-0.8702924924369021,18.574266065008864,16538.564760000001,0,0,1873,182978.08443000008,0.66799564210521434,-0.27744913757000039,0.88973581692665216,-0.31802273000000042,0.9958255765854177,-0.33743483100000043,1,1
HOLDOUT_O0_2022_2023,N50_HALF_NEIGHBOR,-0.13334077857000071,-0.069743988215767327,-0.17978611822726986,94,0.25531914893617019,-0.016490433666686653,-0.033237367977433069,0.063829787234042548,4,0,0.17166488290022452,-0.77675047055198443,16.708470144188485,14984.768760000001,0,0,1873,179742.87543000004,0.68406783693568274,-0.25629709857000071,0.89493319301351271,-0.29419864400000073,0.99682664473551186,-0.31251326600000073,1,0.98298209448177121
HOLDOUT_O0_2022_2023,Z40_ZERO_SEVERITY,-0.15221768757000043,-0.080035695268712348,-0.19062656645550791,92,0.2608695652173913,-0.016510011293057535,-0.034339557642721431,0.065217391304347824,4,0,0.17748057557527003,-0.85765829345896205,18.200163390420226,16216.67776,0,0,1873,183128.93343000006,0.66825821407832353,-0.27459510157000044,0.88982664496480479,-0.31517069200000047,0.9958290151878596,-0.33458279300000049,1,1.0008278660679766
