trade_id,baseline_block,symbol,entry_year,entry_industry,canonical_exit_reason,holding_trading_days,mfe,mae,days_to_mfe,days_to_mae,excursion_order_days,normalized_excursion_order,excursion_order_sign,mae_before_mfe,round_trip_return,realized_pnl,extreme_winner,false_breakout
DEVELOPMENT_2024_2025:300001.SZ-001,DEVELOPMENT_2024_2025,300001.SZ,2025,电网设备,INDIVIDUAL_MA30_X2_AND_SET_REMOVAL,19,0.063749999999999904,-0.015833333333333199,5,9,-4,-0.21052631578947367,-1,False,-0.014488541120456999,-2192.4520000000002,False,True
DEVELOPMENT_2024_2025:300003.SZ-001,DEVELOPMENT_2024_2025,300003.SZ,2024,医疗器械,MARKET_MA20_X2,11,0.076375404530744304,-0.0084142394822005005,1,10,-9,-0.81818181818181823,-1,False,-0.0015255864263253999,-158.07899999999609,False,True
DEVELOPMENT_2024_2025:300003.SZ-002,DEVELOPMENT_2024_2025,300003.SZ,2025,医疗器械,MARKET_MA20_X2,12,0.054093567251461902,-0.071637426900584805,8,2,6,0.5,1,True,-0.046051858781275101,-7585.3190000000013,False,True
DEVELOPMENT_2024_2025:300009.SZ-001,DEVELOPMENT_2024_2025,300009.SZ,2025,生物制品,INDIVIDUAL_MA30_X2_AND_SET_REMOVAL,13,0.061590145576707798,-0.059350503919372799,9,12,-3,-0.23076923076923078,-1,False,-0.056748144633203802,-9030.2169999999824,False,True
DEVELOPMENT_2024_2025:300014.SZ-001,DEVELOPMENT_2024_2025,300014.SZ,2025,电池,MARKET_MA20_X2,15,0.053793657165796802,-0.0365315134484143,11,14,-3,-0.20000000000000001,-1,False,-0.019569871082470599,-3024.0219999999972,False,True
DEVELOPMENT_2024_2025:300033.SZ-001,DEVELOPMENT_2024_2025,300033.SZ,2024,软件开发,MARKET_MA20_X2,34,1.8731752594717743,-0.0113914437600203,27,1,26,0.76470588235294112,1,True,1.247462435463448,118387.68799999999,True,False
DEVELOPMENT_2024_2025:300035.SZ-001,DEVELOPMENT_2024_2025,300035.SZ,2025,电池,MARKET_MA20_X2,17,0.1927710843373493,-0.015662650602409602,1,0,1,0.058823529411764705,1,True,0.0283020685866344,4567.6489999999912,False,False
DEVELOPMENT_2024_2025:300035.SZ-002,DEVELOPMENT_2024_2025,300035.SZ,2025,电池,MARKET_MA20_X2,26,0.17702448210922789,-0.040489642184557403,4,2,2,0.076923076923076927,1,True,0.062491234787958698,11055.120000000015,False,False
DEVELOPMENT_2024_2025:300043.SZ-001,DEVELOPMENT_2024_2025,300043.SZ,2024,游戏Ⅱ,MARKET_MA20_X2,2,0.011152416356877399,-0.0631970260223048,0,1,-1,-0.5,-1,False,-0.050228581827094797,-4841.9499999999971,False,True
DEVELOPMENT_2024_2025:300054.SZ-001,DEVELOPMENT_2024_2025,300054.SZ,2024,电子化学品Ⅱ,MARKET_MA20_X2,17,0.085982982534706695,-0.012987012987012899,3,16,-13,-0.76470588235294112,-1,False,-0.012575144328340501,-1266.0979999999836,False,True
DEVELOPMENT_2024_2025:300057.SZ-001,DEVELOPMENT_2024_2025,300057.SZ,2025,工业金属,INDIVIDUAL_MA30_X2_AND_SET_REMOVAL,67,0.31826741996233521,-0.015065913370997899,42,0,42,0.62686567164179108,1,True,0.13893205909396539,22573.446999999996,False,False
DEVELOPMENT_2024_2025:300072.SZ-001,DEVELOPMENT_2024_2025,300072.SZ,2025,化学制品,INDIVIDUAL_MA30_X2_AND_SET_REMOVAL,27,0.060439560439560398,-0.074175824175824107,12,9,3,0.1111111111111111,1,True,-0.050475269518958303,-7591.1899999999896,False,True
DEVELOPMENT_2024_2025:300092.SZ-001,DEVELOPMENT_2024_2025,300092.SZ,2025,专用设备,MARKET_MA20_X2,5,0.037234042553191397,-0.030395136778115499,3,4,-1,-0.20000000000000001,-1,False,0.0048272396296710996,763.07999999998719,False,False
