outcome_class,sessions_before_entry,feature,count,mean,median,p25,p75
extreme_winner,1,amount_ratio5_to_prior15,15,1.4942244675661844,1.502560056551022,1.2629802760261373,1.777417507190737
extreme_winner,1,distance_to_prior_high20,15,0.045456227878961822,0.028263465272859358,0.0082148800382666996,0.1003917552437024
extreme_winner,1,downside_amount_share20,15,0.34627155381109803,0.35033627364137926,0.3101932733962709,0.38867973739147832
extreme_winner,1,higher_low10,15,0.035964143551352509,0.044637814852061641,0.0059618275735093904,0.048984292490170604
extreme_winner,1,lower_high10,15,0.068830192353776826,0.048223628952832269,0.02955965664639517,0.12336048762429404
extreme_winner,1,range_width20,15,0.20060549993758009,0.18351063829787231,0.15885905086672356,0.24715119066818642
extreme_winner,1,realized_vol20,15,0.50698838564862814,0.48690890768558281,0.39070196207802232,0.58197630987614879
extreme_winner,1,relative_strength20,15,0.10717905906908309,0.095592099577963621,0.058059433650900827,0.14975150135075813
extreme_winner,3,amount_ratio5_to_prior15,15,0.99019204063151345,1.0040123575524671,0.90912866567090078,1.1162506709591711
extreme_winner,3,distance_to_prior_high20,15,-0.049135567917589378,-0.039111130116625648,-0.056122294771924069,-0.02281718053346736
extreme_winner,3,downside_amount_share20,15,0.4103510232813215,0.40511906388383906,0.36942133890422546,0.42966185433498627
extreme_winner,3,higher_low10,15,0.03072573299010873,0.03957554328208162,0.0061155164218233381,0.050605700557791344
extreme_winner,3,lower_high10,15,-0.0030818653842236764,0.005641385008492603,-0.018539680375085927,0.022067305848261692
extreme_winner,3,range_width20,15,0.15838704889711147,0.15129533678756468,0.12058280590717282,0.17895886793581217
extreme_winner,3,realized_vol20,15,0.39497421325694293,0.37763865220182835,0.34482720978865145,0.45878216135181843
extreme_winner,3,relative_strength20,15,0.043594855682289956,0.049431960946113171,0.011192685436697387,0.10007825640646417
extreme_winner,5,amount_ratio5_to_prior15,15,0.93017070340082364,0.95390456461604289,0.71890524861974592,1.0883539341433004
extreme_winner,5,distance_to_prior_high20,15,-0.071574029788852231,-0.051657053582977057,-0.091706756613492688,-0.042750069064364175
extreme_winner,5,downside_amount_share20,15,0.42763259330667347,0.420176501422311,0.37648595534051077,0.48955126890441147
extreme_winner,5,higher_low10,15,0.029587861500019828,0.037631068217646814,-0.00026191112735734958,0.044499957498790384
extreme_winner,5,lower_high10,15,0.029460810072266409,0.024864533065295291,-0.0099359794333154332,0.050441561659242164
extreme_winner,5,range_width20,15,0.16845082941663253,0.16633064516129042,0.13948742215166668,0.18869146215180932
extreme_winner,5,realized_vol20,15,0.38449332485859594,0.35267801584420444,0.33199821895330633,0.45382582661409693
extreme_winner,5,relative_strength20,15,0.033716973046452971,0.04127779846874681,-0.0085166506715174811,0.060927700771323853
extreme_winner,10,amount_ratio5_to_prior15,15,1.3273044161104262,1.1748539096675088,0.92440534310925671,1.4944063352851913
extreme_winner,10,distance_to_prior_high20,15,-0.086693567279417155,-0.085157808340306715,-0.11396060936114544,-0.054725193246964579
extreme_winner,10,downside_amount_share20,15,0.42295745524792888,0.39342557532750233,0.38510901073096249,0.43967824834356817
extreme_winner,10,higher_low10,15,0.011815801913600795,0.0069444723528114356,-0.015130112572838316,0.033463701775468008
extreme_winner,10,lower_high10,15,0.02828755992273347,0.047597408448753105,-0.002386639376328774,0.061550968707622375
extreme_winner,10,range_width20,15,0.18017022993352547,0.1778242677824271,0.15914181862325288,0.20047846889952126
extreme_winner,10,realized_vol20,15,0.40719820738295848,0.3903871202212128,0.35739488704329525,0.47429338595336989
extreme_winner,10,relative_strength20,15,0.023905712348370821,0.038451952815973557,-0.0088802767895086142,0.066440220430807911
extreme_winner,20,amount_ratio5_to_prior15,15,1.1217229847658277,0.87238875027657603,0.68006236717926205,1.2837653301204661
extreme_winner,20,distance_to_prior_high20,15,-0.078386946958133558,-0.092904963124827447,-0.11638270484378202,-0.038727583097155585
extreme_winner,20,downside_amount_share20,15,0.45517625657186334,0.44592815379377909,0.40129769217398875,0.50482028052316075
extreme_winner,20,higher_low10,15,-0.0054301592113598952,-0.0040941715326633377,-0.013788315584933368,0.0079883112313255192
extreme_winner,20,lower_high10,15,-0.010810186181862958,-0.022439236191277637,-0.037641995138978174,-4.9960036108132054e-16
extreme_winner,20,range_width20,15,0.15974534338876153,0.15400202634245219,0.14400555892371275,0.16784648014344869
extreme_winner,20,realized_vol20,15,0.42082117869688684,0.38991093710967978,0.32677267933434834,0.4432894939274753
extreme_winner,20,relative_strength20,15,0.0052621812322770408,0.030285682148169596,-0.02224811064813299,0.043706460075192355
extreme_winner,40,amount_ratio5_to_prior15,15,1.8632250501799632,1.0930875148281116,0.65167375866556032,1.3497290870188121
extreme_winner,40,distance_to_prior_high20,15,-0.095675085569500815,-0.0947623846660028,-0.12259297380860164,-0.05493884641738532
extreme_winner,40,downside_amount_share20,15,0.43312024819928613,0.4282620770531092,0.40518287294050576,0.4639695522487135
extreme_winner,40,higher_low10,15,-0.00367368905204319,-0.0018088639240260052,-0.037425199963264724,0.018111201255421122
extreme_winner,40,lower_high10,15,0.014328624378317471,0.024966622730460946,-0.02492025077199396,0.064310808796497657
extreme_winner,40,range_width20,15,0.20494822410701299,0.20639810426540284,0.15550620486512806,0.22985710854947161
