cohort_type,cohort,baseline_blocks,count,breadth_composite_median,mfe_mean,mfe_median,mae_mean,round_trip_return_mean,round_trip_return_median,opportunity20_rate,opportunity50_rate,converted20_rate,converted50_rate,severe_loss_rate,extreme_loss_rate,false_breakout_rate,return_5d_mean,return_5d_observed,return_10d_mean,return_10d_observed,return_20d_mean,return_20d_observed
ENTRY_YEAR,2018,EXTENDED_2018_2021,11,0.5555555555555555,0.030547288153158245,0.0276073619631902,-0.05693091482290034,-0.0346525758551732,-0.0346598855689765,0.0,0.0,0.0,0.0,0.09090909090909091,0.0,0.8181818181818182,-0.009704119208562642,7,-0.0602258543707535,3,,0
ENTRY_YEAR,2019,EXTENDED_2018_2021,57,0.5188075230092036,0.16539158086362205,0.0738636363636364,-0.04895871498332835,0.04734456417380526,0.008258955843745,0.2631578947368421,0.05263157894736842,0.10526315789473684,0.03508771929824561,0.07017543859649122,0.0,0.40350877192982454,0.025078866078891968,43,0.0772007589143829,35,0.1799499446423138,25
ENTRY_YEAR,2020,EXTENDED_2018_2021,65,0.5666666666666667,0.14186987500036957,0.0682222222222221,-0.06752631920930545,0.007188566299835219,-0.011107613745866,0.23076923076923078,0.046153846153846156,0.07692307692307693,0.0,0.16923076923076924,0.015384615384615385,0.46153846153846156,0.04198562128348477,42,0.06363866752110854,29,0.2338139441201311,11
ENTRY_YEAR,2021,EXTENDED_2018_2021,61,0.46994535519125685,0.17978167659715483,0.0592901878914404,-0.0599789204095852,0.05120793673145866,-0.0116820960149297,0.21311475409836064,0.08196721311475409,0.09836065573770492,0.08196721311475409,0.09836065573770492,0.0,0.5409836065573771,0.004249178767279391,45,0.035535654818100754,25,0.17560286963489097,11
ENTRY_YEAR,2022,HOLDOUT_O0_2022_2023,37,0.5315315315315315,0.047277366092690475,0.0334728033472804,-0.07429814214783628,-0.04888962093307176,-0.0511826974306892,0.02702702702702703,0.0,0.0,0.0,0.13513513513513514,0.0,0.8108108108108109,-0.012804331152721561,23,-0.003365905772680502,5,0.1191979907982013,2
ENTRY_YEAR,2023,HOLDOUT_O0_2022_2023,57,0.5350877192982456,0.0980966963231408,0.048659384309831,-0.04633940719723166,0.004438872392196566,-0.0209649931233275,0.15789473684210525,0.05263157894736842,0.07017543859649122,0.0,0.017543859649122806,0.0,0.5614035087719298,0.020071286224953036,36,0.057859887738098095,30,0.11808776213969241,8
ENTRY_YEAR,2024,DEVELOPMENT_2024_2025,38,0.4517543859649123,0.39789670750304695,0.0636581184080087,-0.06004618924448346,0.1511023839704026,-0.026202113250630703,0.2894736842105263,0.2894736842105263,0.2631578947368421,0.15789473684210525,0.18421052631578946,0.0,0.6578947368421053,0.16557904708443388,33,0.1931129276839703,22,0.6058288168738187,10
ENTRY_YEAR,2025,DEVELOPMENT_2024_2025,73,0.45662100456621,0.1852679840290381,0.1088201603665519,-0.05676729289354655,0.03890080875346942,0.0048272396296711,0.273972602739726,0.0958904109589041,0.1095890410958904,0.0273972602739726,0.1232876712328767,0.0136986301369863,0.4246575342465753,0.04570465104032944,66,0.04251941292366914,43,0.10743685661851761,24
ENTRY_QUARTER,2018Q1,EXTENDED_2018_2021,5,,0.05099802312694961,0.0619883040935671,-0.04948924511096432,-0.02949999163508362,-0.0251574640381709,0.0,0.0,0.0,0.0,0.2,0.0,0.8,0.008475096536385875,4,-0.04691572416659245,2,,0
ENTRY_QUARTER,2018Q2,EXTENDED_2018_2021,3,0.5555555555555555,0.02283773543863173,0.0299644489588624,-0.08013470361580707,-0.04811063025125717,-0.0628208764318465,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,-0.03394307353516066,3,-0.0868461147790756,1,,0
ENTRY_QUARTER,2018Q3,EXTENDED_2018_2021,2,,0.00105396290050595,0.00105396290050595,-0.038711591949365895,-0.02716454325989815,-0.02716454325989815,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,0,,0,,0
ENTRY_QUARTER,2018Q4,EXTENDED_2018_2021,1,,0.0104089219330856,0.0104089219330856,-0.0609665427509292,-0.0350173989579193,-0.0350173989579193,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,0,,0,,0
ENTRY_QUARTER,2019Q1,EXTENDED_2018_2021,13,0.915766306522609,0.3206064417976323,0.1780701754385965,-0.028117111894838183,0.19171849173762856,0.0623474552296968,0.46153846153846156,0.15384615384615385,0.23076923076923078,0.15384615384615385,0.0,0.0,0.07692307692307693,0.045200613900723684,12,0.1437431423009248,11,0.2542041643811626,9
ENTRY_QUARTER,2019Q2,EXTENDED_2018_2021,5,0.2845138055222089,0.04767330729959228,0.0551158018176489,-0.08813678152099544,-0.07878700265274054,-0.0763163507005992,0.0,0.0,0.0,0.0,0.2,0.0,0.8,-0.041710530057166406,3,,0,,0
ENTRY_QUARTER,2019Q3,EXTENDED_2018_2021,15,0.6694677871148459,0.1172006105976917,0.0738636363636364,-0.027776785174634853,0.035043028787208705,0.0092219813602678,0.13333333333333333,0.0,0.06666666666666667,0.0,0.0,0.0,0.3333333333333333,0.02503661636015997,12,0.05233188688657532,10,0.09381973059086401,7
ENTRY_QUARTER,2019Q4,EXTENDED_2018_2021,24,0.3283313325330132,0.13596086126641252,0.049669054311360955,-0.06532452559134662,0.0031078894488875235,-0.01189523513255635,0.2916666666666667,0.041666666666666664,0.08333333333333333,0.0,0.125,0.0,0.5416666666666666,0.022542254277078132,16,0.042680937701962476,14,0.17268589138792603,9
ENTRY_QUARTER,2020Q1,EXTENDED_2018_2021,9,0.7000000000000001,0.11827088454949689,0.1076923076923075,-0.11811222527189795,-0.06679247087475854,-0.0846413088710964,0.1111111111111111,0.0,0.0,0.0,0.4444444444444444,0.0,0.4444444444444444,0.014144679456433492,9,0.016930246571171974,8,,0
ENTRY_QUARTER,2020Q2,EXTENDED_2018_2021,16,0.6461538461538462,0.2660507235751727,0.2214929775115831,-0.048104581591862074,0.0839149750578068,0.0090607738453291,0.5625,0.125,0.25,0.0,0.0625,0.0625,0.1875,0.06407600253705598,13,0.13021106885435818,11,0.2503436120595647,10
ENTRY_QUARTER,2020Q3,EXTENDED_2018_2021,14,0.6230769230769231,0.1005855329312257,0.04907834101382485,-0.0970373988869301,-0.07300886111109628,-0.0835440717590312,0.21428571428571427,0.0,0.0,0.0,0.35714285714285715,0.0,0.7857142857142857,0.0668600926316672,9,0.00646568918039887,3,,0
ENTRY_QUARTER,2020Q4,EXTENDED_2018_2021,26,0.2358974358974359,0.09584980291687026,0.06075989300852275,-0.046077070433498374,0.02876436546125211,0.012179603614400401,0.07692307692307693,0.038461538461538464,0.038461538461538464,0.0,0.038461538461538464,0.0,0.46153846153846156,0.01830591928470243,11,0.036908651514805005,7,0.0685172647257956,1
ENTRY_QUARTER,2021Q1,EXTENDED_2018_2021,4,0.12978142076502733,0.1372467360234877,0.1393656336254005,-0.06298455445943585,0.028543077571787402,0.0187169453233538,0.25,0.0,0.0,0.0,0.0,0.0,0.25,0.04564634030878031,3,0.044329580608710145,2,,0
ENTRY_QUARTER,2021Q2,EXTENDED_2018_2021,25,0.46994535519125685,0.32900390521994716,0.0834227467811159,-0.05372638518298829,0.15186594194891845,0.0387690699783401,0.36,0.2,0.2,0.2,0.08,0.0,0.44,0.014863618150294609,21,0.05701809086336735,14,0.16054777198299547,10
ENTRY_QUARTER,2021Q3,EXTENDED_2018_2021,11,0.551912568306011,0.09813865277284109,0.0521541950113377,-0.03408275140684509,0.016378447023280007,0.0016666320215891,0.18181818181818182,0.0,0.09090909090909091,0.0,0.0,0.0,0.36363636363636365,0.03760698801626662,7,0.303657499291182,1,,0
ENTRY_QUARTER,2021Q4,EXTENDED_2018_2021,21,0.7814207650273225,0.05300345320631253,0.0287999999999999,-0.08041457295699765,-0.046061887411772015,-0.0508304423778998,0.047619047619047616,0.0,0.0,0.0,0.19047619047619047,0.0,0.8095238095238095,-0.03722220526205868,14,-0.03777232026790328,8,0.326153846153846,1
ENTRY_QUARTER,2022Q2,HOLDOUT_O0_2022_2023,9,0.8378378378378378,0.0671018695102879,0.0445804195804195,-0.07274227786155192,-0.03666224868626854,-0.0463058493230905,0.1111111111111111,0.0,0.0,0.0,0.1111111111111111,0.0,0.7777777777777778,-0.012425088234683052,8,-0.003365905772680502,5,0.1191979907982013,2
ENTRY_QUARTER,2022Q3,HOLDOUT_O0_2022_2023,23,0.5225225225225225,0.04140696664331005,0.0259975816203144,-0.07954073343374897,-0.058905112326391264,-0.0638941925823311,0.0,0.0,0.0,0.0,0.17391304347826086,0.0,0.8260869565217391,-0.015934092385085776,13,,0,,0
ENTRY_QUARTER,2022Q4,HOLDOUT_O0_2022_2023,5,0.41441441441441446,0.038597097408165,0.0362295081967212,-0.0529827779479498,-0.0248276305680478,-0.0334105239023272,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0060221451854918,2,,0,,0
ENTRY_QUARTER,2023Q1,HOLDOUT_O0_2022_2023,23,0.6052631578947368,0.16081863520541462,0.0990654205607477,-0.04982851199611713,0.030453754765699635,-0.0263626596143771,0.30434782608695654,0.13043478260869565,0.13043478260869565,0.0,0.043478260869565216,0.0,0.4782608695652174,0.03369799018622213,22,0.08241357230508248,20,0.13765286023512013,7
ENTRY_QUARTER,2023Q2,HOLDOUT_O0_2022_2023,9,0.25146198830409355,0.044325794971057444,0.0149497145963577,-0.06301231910989119,-0.04381326632689635,-0.0518644083802761,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,-0.04440135093095014,4,,0,,0
