decision_at,ATRDR Bull,ATRDR Fast Bear,ATRDR Slow Bear,IFCGR,MCB,OGR,SMV6
2018-11-01 15:00:00,0,0,5,0,0,0,0
2018-11-02 15:00:00,0,0,138,1,0,1,0
2018-11-05 15:00:00,0,0,9,0,0,0,0
2018-11-06 15:00:00,0,0,4,0,0,0,0
2018-11-08 15:00:00,2,0,0,0,0,0,0
2018-11-09 15:00:00,2,0,0,0,0,0,0
2018-11-12 15:00:00,4,0,0,0,12,0,0
2018-11-13 15:00:00,15,0,0,0,14,0,0
2018-11-14 15:00:00,5,0,0,0,0,0,0
2018-11-15 15:00:00,5,0,0,0,9,0,0
2018-11-16 15:00:00,7,0,0,0,6,0,0
2018-12-07 15:00:00,2,0,0,0,0,0,0
2019-01-11 15:00:00,0,0,0,1,0,1,0
2019-01-21 15:00:00,2,0,0,0,0,0,0
2019-02-01 15:00:00,0,0,0,1,0,1,0
2019-02-12 00:00:00,0,0,0,0,0,0,1
2019-02-12 15:00:00,0,0,0,1,0,1,0
2019-02-14 00:00:00,0,0,0,0,0,0,2
2019-02-14 15:00:00,7,0,0,0,6,0,0
2019-02-18 15:00:00,20,0,0,0,20,0,0
2019-02-19 15:00:00,9,0,0,0,8,0,0
2019-02-20 15:00:00,4,0,0,0,0,0,0
2019-02-21 15:00:00,1,0,0,0,0,0,0
2019-02-22 15:00:00,41,0,0,0,19,0,0
2019-02-25 15:00:00,32,0,0,0,31,0,0
2019-02-26 15:00:00,2,0,0,0,1,0,0
2019-02-27 15:00:00,1,0,0,0,0,0,0
2019-02-28 15:00:00,1,0,0,0,0,0,0
2019-04-18 15:00:00,1,0,0,0,0,0,0
2019-05-15 15:00:00,0,0,0,1,0,1,0
2019-05-16 15:00:00,0,0,0,2,0,2,0
2019-05-21 15:00:00,0,0,0,4,0,4,0
2019-05-22 15:00:00,0,0,0,2,0,2,0
2019-05-29 15:00:00,0,1,0,0,0,0,0
2019-06-13 15:00:00,0,0,1,0,0,0,0
2019-06-19 15:00:00,0,0,1,0,0,0,0
2019-06-21 15:00:00,12,0,0,0,0,0,0
2019-06-24 15:00:00,7,0,0,0,0,0,0
2019-07-02 15:00:00,13,0,0,0,6,0,0
2019-07-03 15:00:00,1,0,0,0,0,0,0
2019-07-04 15:00:00,1,0,0,0,0,0,0
2019-07-05 15:00:00,2,0,0,0,0,0,0
2019-07-08 15:00:00,2,0,0,0,0,0,0
2019-07-23 15:00:00,0,0,1,0,0,0,0
2019-07-31 00:00:00,0,0,0,0,0,0,1
2019-08-14 15:00:00,0,0,3,0,0,0,0
2019-08-15 15:00:00,0,0,1,0,0,0,0
2019-08-16 15:00:00,0,0,0,1,0,1,0
2019-08-19 15:00:00,0,0,3,6,0,7,0
